"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"POM00008548","1999","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       146","S","         9","S","   40.0","S,0708, ","     20.54","S"
"POM00008548","2001","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       159","S","        15","S","   36.0","S,0619, ","     20.28","S"
"POM00008548","2002","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       145","S","         8","S","   35.8","S,0813, ","     20.24","S"
"POM00008548","2003","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       166","S","        29","S","   40.9","S,0801, ","     20.79","S"
"POM00008548","2004","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       159","S","        10","S","   36.4","S,0714, ","     20.21","S"
"POM00008548","2006","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       176","S","        30","S","   39.2","S,0716, ","     21.20","S"
"POM00008548","2007","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       164","S","        11","S","   39.3","S,0730, ","     20.71","S"
"POM00008548","2008","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       154","S","         8","S","   35.2","S,0719,+","     20.27","S"
"POM00008548","2009","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       178","S","        18","S","   37.6","S,0830, ","     20.93","S"
"POM00008548","2010","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       159","S","        29","S","   39.2","S,0830,+","     20.62","S"
"POM00008548","2011","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       190","S","        19","S","   38.9","S,0626, ","     21.55","S"
"POM00008548","2012","40.15","-8.467","179.0","COIMBRA CERNACHE, PO","         0","S","       164","S","        15","S","   39.4","S,0717, ","     20.40","S"
