"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00023371","1988","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    559.1"," ,a"
"ASN00023371","1989","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    522.4"," ,a"
"ASN00023371","1991","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    466.2"," ,a"
"ASN00023371","1992","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    856.4"," ,a"
"ASN00023371","1993","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    457.2"," ,a"
"ASN00023371","1994","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    327.9"," ,a"
"ASN00023371","1995","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    496.2"," ,a"
"ASN00023371","1996","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    509.7"," ,a"
"ASN00023371","1997","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    484.4"," ,a"
"ASN00023371","1998","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    461.1"," ,a"
"ASN00023371","1999","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    439.8"," ,a"
"ASN00023371","2001","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    600.4"," ,a"
"ASN00023371","2003","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    590.0"," ,a"
"ASN00023371","2005","-34.5654","138.9373","228.0","ROWLAND FLAT JACOBS CREEK, AS","    649.4"," ,a"
