"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087467","2001","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        16","S","   -6.2","S,0727, ","-0.4","S,0504","-2.3","S,0620","-6.2","S,0727","","","-0.9","S,0917","-2.7","S,0916","","","","","     11.57","S"
"ARM00087467","2002","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        26","S","   -3.9","S,0624, ","-0.4","S,0521","-3.6","S,0610","","","","","-0.2","S,0907","-2.6","S,0901","","","","","     10.71","S"
"ARM00087467","2004","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        19","S","   -6.5","S,0711, ","0.0","S,0515","-2.2","S,0612","-6.5","S,0711","","","-1.5","S,0913","-2.9","S,0822","","","","","     10.52","S"
"ARM00087467","2007","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        34","S","   -8.4","S,0710, ","-0.3","S,0509","-3.8","S,0529","-8.4","S,0710","-8.4","S,0710","-4.0","S,0827","-4.0","S,0827","-6.5","S,0811","","","      9.70","S"
"ARM00087467","2009","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        43","S","   -5.9","S,0802, ","-1.3","S,0515","-3.8","S,0602","-5.6","S,0624","","","0.0","S,0928","-2.9","S,0820","-5.9","S,0802","","","     10.18","S"
"ARM00087467","2012","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        30","S","   -7.5","S,0607, ","-7.5","S,0607","-7.5","S,0607","-7.5","S,0607","-7.5","S,0607","-0.3","S,0926","-2.9","S,0826","","","","","     10.60","S"
"ARM00087467","2013","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        31","S","   -7.9","S,0723, ","-3.3","S,0516","-3.3","S,0516","-7.9","S,0723","-7.9","S,0723","-3.4","S,0924","-3.4","S,0924","","","","","     10.13","S"
"ARM00087467","2014","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        17","S","   -4.6","S,0813, ","-0.8","S,0606","-3.5","S,0630","","","","","-3.1","S,0827","-3.1","S,0827","-4.6","S,0813","","","     10.80","S"
"ARM00087467","2015","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        17","S","   -5.4","S,0623, ","-1.0","S,0612","-4.8","S,0618","-4.8","S,0618","","","-0.4","S,0911","","","","","","","     11.61","S"
"ARM00087467","2016","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        11","S","   -2.6","S,0907, ","-0.5","S,0611","","","","","","","-0.5","S,0908","-2.6","S,0907","","","","","     10.66","S"
"ARM00087467","2017","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        11","S","   -6.2","S,0718,+","0.0","S,0601","-5.0","S,0619","-5.0","S,0619","","","-1.0","S,0803","","","","","","","     10.96","S"
"ARM00087467","2018","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        35","S","   -7.0","S,0902, ","-1.0","S,0602","-3.9","S,0614","-5.6","S,0615","","","-7.0","S,0902","-7.0","S,0902","-7.0","S,0902","-7.0","S,0902","     10.28","S"
"ARM00087467","2019","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        20","S","   -5.5","S,0903, ","-2.1","S,0626","-4.4","S,0705","-4.4","S,0705","","","-1.0","S,0920","-4.2","S,0904","-5.5","S,0903","","","     10.58","S"
"ARM00087467","2021","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        40","S","   -6.4","S,0629, ","-1.2","S,0511","-2.4","S,0512","-6.4","S,0629","","","-0.2","S,0915","-3.0","S,0815","","","","","      9.56","S"
"ARM00087467","2022","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        42","S","   -6.5","S,0712, ","-0.3","S,0518","-5.8","S,0530","-5.8","S,0530","","","-0.4","S,1009","-4.6","S,0829","-4.6","S,0829","","","      8.62","S"
"ARM00087467","2023","-32.684","-62.158","110.0","MARCOS JUAREZ, AR","         0","S","        13","S","   -4.4","S,0614, ","-0.8","S,0611","-3.2","S,0612","-4.4","S,0614","","","-0.6","S,0819","","","","","","","     10.87","S"
