"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000FMIL","1991","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2297.8","","    2297.8","U","         0","U","         0","U","         0","U","       348","U","       129","U","    3.3","U,0216, ","   36.7","U,0708,+","","","","","","","","","     24.48","U","     29.76","U","     19.21","U"
"USR0000FMIL","1994","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2327.3","","    2327.3","U","         0","U","         0","U","         0","U","       343","U","       139","U","    5.6","U,0106, ","   36.7","U,0903,+","","","","","     116.3","3","     116.3","U","     24.60","U","     29.84","U","     19.37","U"
"USR0000FMIL","1995","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","     109.8","8","     109.8","U","","","","","",""
"USR0000FMIL","1996","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2044.2","","    2044.2","U","         0","U","         0","U","         0","U","       347","U","       123","U","    0.6","U,0217,+","   36.7","U,0722, ","","","","","","","","","     23.33","U","     29.18","U","     17.48","U"
"USR0000FMIL","1999","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2137.0","","    2137.0","U","         0","U","         0","U","         0","U","       354","U","       136","U","    2.2","U,0106, ","   37.2","U,0728,+","","","","","","","","","     23.86","U","     29.92","U","     17.81","U"
"USR0000FMIL","2000","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   1893.4","","    1893.4","U","         0","U","         0","U","         0","U","       352","U","       129","U","    0.6","U,1231, ","   37.2","U,0527, ","","","","","     111.8","8","     111.8","U","     23.10","U","     29.75","U","     16.45","U"
"USR0000FMIL","2001","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   1997.0","","    1997.0","U","         0","U","         4","U","         0","U","       351","U","       136","U","   -0.6","U,0105, ","   38.9","U,0816, ","","","0.0","U,0308","     245.8","8","     245.8","U","     23.26","U","     30.12","U","     16.41","U"
"USR0000FMIL","2002","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2377.5","","    2377.5","U","         0","U","         0","U","         0","U","       349","U","       188","U","    1.7","U,0109, ","   38.3","U,0928,+","","","","","     101.8","8","     101.8","U","     24.46","U","     30.86","U","     18.05","U"
"USR0000FMIL","2003","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2501.2","","    2501.2","U","         0","U","         0","U","         0","U","       347","U","       189","U","    0.6","U,0124, ","   37.8","U,0711,+","","","","","     164.1","1","     164.1","U","     24.69","U","     30.82","U","     18.56","U"
"USR0000FMIL","2004","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","","","","","         0","U","         0","U","","","","","","","    2.2","U,1215, ","","","","","","","     133.8","8","     133.8","U","","","","","     17.27","U"
"USR0000FMIL","2006","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2162.9","","    2162.9","U","         0","U","         0","U","         0","U","       350","U","       170","U","    0.6","U,0214, ","   38.9","U,0731,+","","","","","","","","","     23.88","U","     30.78","U","     16.98","U"
"USR0000FMIL","2007","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2049.4","","    2049.4","U","         0","U","         0","U","         0","U","       354","U","       162","U","    2.2","U,1205,+","   38.3","U,0809, ","","","","","     123.9","9","     123.9","U","     23.59","U","     31.14","U","     16.04","U"
"USR0000FMIL","2008","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2018.3","","    2018.3","U","         0","U","         3","U","         0","U","       358","U","       146","U","   -0.6","U,0128,+","   38.9","U,0807,+","","","0.0","U,0129","     132.9","9","     132.9","U","     23.44","U","     30.64","U","     16.23","U"
"USR0000FMIL","2009","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","     166.7","7","     166.7","U","","","","","",""
"USR0000FMIL","2010","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2174.5","","    2174.5","U","         0","U","         5","U","         0","U","       323","U","       154","U","   -1.7","U,0111, ","   38.3","U,0812,+","0.0","U,1214","-1.7","U,0111","","","","","     23.17","U","     29.34","U","     16.99","U"
"USR0000FMIL","2011","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","","","     223.6","6","     223.6","U","","","","","",""
"USR0000FMIL","2012","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   1993.4","","    1993.4","U","         0","U","         0","U","         0","U","       361","U","       140","U","    0.6","U,0104, ","   37.8","U,0808,+","","","","","","","","","     23.55","U","     30.49","U","     16.61","U"
"USR0000FMIL","2013","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2219.2","","    2219.2","U","         0","U","         0","U","         0","U","       359","U","       130","U","    2.8","U,0328,+","   36.7","U,0510, ","","","","","     114.5","5","     114.5","U","     24.15","U","     30.23","U","     18.06","U"
"USR0000FMIL","2014","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2116.0","","    2116.0","U","         0","U","         0","U","         0","U","       344","U","       135","U","    3.3","U,0123,+","   36.1","U,0905,+","","","","","      96.7","7","      96.7","U","     23.74","U","     29.79","U","     17.69","U"
"USR0000FMIL","2015","26.2483","-81.2967","4.6","MILES CITY FLORIDA, FL US","   2305.3","","    2305.3","U","         0","U","         0","U","         0","U","       347","U","       160","U","    0.6","U,0220, ","   37.8","U,0712, ","","","","","     130.7","7","     130.7","U","     24.45","U","     30.67","U","     18.23","U"
