"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000AHOR","1988","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1264.0","","    1264.0","U","         0","U","        18","U","         0","U","       228","U","        91","U","   -4.4","U,1230, ","   40.6","U,0622, ","0.0","U,1125","-2.2","U,1226","-4.4","U,1230","-0.6","U,0312","-2.8","U,0122","","","","","","","    1394.4","4","    1394.4","U","     18.15","U","     24.30","U","     11.99","U"
"USR0000AHOR","1989","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1441.0","","    1441.0","U","         0","U","        16","U","         0","U","       254","U","       115","U","   -3.9","U,0206, ","   40.6","U,0704, ","0.0","U,1201","-3.3","U,1212","","","-1.7","U,0304","-3.9","U,0206","","","","","","","    1108.9","9","    1108.9","U","     19.24","U","     25.51","U","     12.96","U"
"USR0000AHOR","1990","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1279.3","3","    1279.3","U","","","","","",""
"USR0000AHOR","1991","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1160.1","","    1160.1","U","         0","U","        15","U","         0","U","       210","U","        92","U","   -3.9","U,0130, ","   38.3","U,0703, ","-1.1","U,1130","-2.2","U,1202","","","0.0","U,0329","-3.9","U,0130","","","","","","","","","","","     17.60","U","     23.57","U","     11.64","U"
"USR0000AHOR","1992","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1179.2","","    1179.2","U","         0","U","        18","U","         0","U","       218","U","        85","U","   -4.4","U,0113, ","   39.4","U,0816, ","-1.7","U,1124","-2.2","U,1125","","","0.0","U,0117","-2.8","U,0114","-4.4","U,0113","","","","","    1368.8","8","    1368.8","U","     17.77","U","     23.62","U","     11.91","U"
"USR0000AHOR","1994","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1375.9","","    1375.9","U","         0","U","        10","U","         0","U","       221","U","       107","U","   -3.3","U,1120, ","   43.3","U,0629, ","-1.7","U,1119","-3.3","U,1120","","","-1.1","U,0201","","","","","","","","","    1226.1","1","    1226.1","U","     18.58","U","     24.63","U","     12.53","U"
"USR0000AHOR","1995","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1277.7","","    1277.7","U","         0","U","         4","U","         0","U","       242","U","        92","U","   -1.7","U,0118, ","   43.9","U,0728, ","0.0","U,1218","","","","","-1.7","U,0118","","","","","","","","","    1281.4","4","    1281.4","U","     18.88","U","     24.99","U","     12.78","U"
"USR0000AHOR","1996","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1408.5","","    1408.5","U","         0","U","        10","U","         0","U","       236","U","       108","U","   -3.3","U,1218, ","   39.4","U,0512, ","0.0","U,1129","-3.3","U,1218","","","-1.7","U,0227","","","","","","","","","     911.6","6","     911.6","U","     19.27","U","     25.44","U","     13.09","U"
"USR0000AHOR","1997","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1389.5","","    1389.5","U","         0","U","        17","U","         1","U","       232","U","       115","U","   -5.0","U,0108,+","   41.1","U,0715, ","0.0","U,1210","-2.2","U,1226","","","-1.7","U,0301","-5.0","U,0108","-5.0","U,0108","","","","","    1148.8","8","    1148.8","U","     18.70","U","     24.80","U","     12.60","U"
"USR0000AHOR","1998","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1263.9","","    1263.9","U","         0","U","        15","U","         0","U","       219","U","       101","U","   -3.9","U,1207, ","   42.8","U,0715, ","-1.7","U,1206","-3.9","U,1207","","","-0.6","U,0330","","","","","","","","","    1490.9","9","    1490.9","U","     17.98","U","     24.07","U","     11.89","U"
"USR0000AHOR","1999","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1238.8","","    1238.8","U","         0","U","        13","U","         0","U","       257","U","        90","U","   -2.8","U,0211, ","   40.0","U,0822, ","0.0","U,1123","","","","","0.0","U,0410","-2.8","U,0211","","","","","","","    1095.1","1","    1095.1","U","     18.84","U","     25.43","U","     12.25","U"
"USR0000AHOR","2000","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1463.3","","    1463.3","U","         0","U","         7","U","         0","U","       233","U","       126","U","   -1.7","U,0104,+","   40.0","U,0719, ","-0.6","U,1117","","","","","0.0","U,0321","","","","","","","","","     957.1","1","     957.1","U","     19.04","U","     25.33","U","     12.75","U"
"USR0000AHOR","2001","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1408.1","","    1408.1","U","         0","U","        29","U","         0","U","       232","U","       109","U","   -3.3","U,0209, ","   41.1","U,0702, ","0.0","U,1128","-2.2","U,1213","","","0.0","U,0421","-3.3","U,0209","","","","","","","    1510.9","9","    1510.9","U","     18.42","U","     24.59","U","     12.24","U"
"USR0000AHOR","2002","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1395.3","","    1395.3","U","         0","U","        17","U","         0","U","       247","U","       104","U","   -5.0","U,0131, ","   39.4","U,0626, ","0.0","U,1219","","","","","0.0","U,0304","-2.8","U,0303","-5.0","U,0131","","","","","    1118.3","3","    1118.3","U","     18.95","U","     25.40","U","     12.52","U"
"USR0000AHOR","2003","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1482.3","","    1482.3","U","         0","U","        11","U","         0","U","       238","U","       123","U","   -4.4","U,1228, ","   40.6","U,0715, ","-0.6","U,1123","-4.4","U,1228","-4.4","U,1228","0.0","U,0303","","","","","","","","","    1185.4","4","    1185.4","U","     19.13","U","     25.37","U","     12.88","U"
"USR0000AHOR","2004","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1256.9","","    1256.9","U","         0","U","        18","U","         0","U","       227","U","        98","U","   -3.3","U,1224,+","   38.3","U,0808,+","0.0","U,1128","-3.3","U,1130","","","-0.6","U,0214","","","","","","","","","    1224.3","3","    1224.3","U","     18.10","U","     24.22","U","     11.97","U"
"USR0000AHOR","2005","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1419.8","","    1419.8","U","         0","U","         7","U","         0","U","       238","U","       104","U","   -1.7","U,1128, ","   41.7","U,0718,+","-1.7","U,1128","","","","","0.0","U,0113","","","","","","","","","    1336.2","2","    1336.2","U","     19.15","U","     25.50","U","     12.79","U"
"USR0000AHOR","2006","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1281.5","","    1281.5","U","         0","U","        15","U","         0","U","       251","U","        88","U","   -5.0","U,1130, ","   41.1","U,0724,+","-1.7","U,1129","-5.0","U,1130","-5.0","U,1130","-1.7","U,0313","","","","","","","","","     962.0","0","     962.0","U","     18.92","U","     25.37","U","     12.46","U"
"USR0000AHOR","2007","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1445.6","","    1445.6","U","         0","U","        27","U","         0","U","       251","U","       104","U","   -6.7","U,0114, ","   41.7","U,0704, ","0.0","U,1214","-2.8","U,1226","","","0.0","U,0303","-2.2","U,0123","-4.4","U,0115","-6.7","U,0114","","","    1210.9","9","    1210.9","U","     18.95","U","     25.21","U","     12.68","U"
"USR0000AHOR","2008","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1244.2","","    1244.2","U","         0","U","        18","U","         0","U","       248","U","        94","U","   -3.9","U,1227, ","   40.6","U,0620, ","0.0","U,1214","-3.3","U,1226","","","0.0","U,0317","-2.2","U,0131","","","","","","","    1203.1","1","    1203.1","U","     18.48","U","     24.94","U","     12.02","U"
"USR0000AHOR","2009","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1385.3","","    1385.3","U","         0","U","        11","U","         0","U","       243","U","       112","U","   -2.2","U,1225,+","   40.0","U,0712, ","-1.1","U,1204","-2.2","U,1225","","","-2.2","U,0211","-2.2","U,0211","","","","","","","    1066.6","6","    1066.6","U","     18.96","U","     25.37","U","     12.55","U"
"USR0000AHOR","2010","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1344.9","","    1344.9","U","         0","U","        12","U","         1","U","       227","U","        99","U","   -6.1","U,1231, ","   40.6","U,0715, ","-0.6","U,1126","-3.3","U,1130","-5.0","U,1230","0.0","U,0308","","","","","","","","","    1353.7","7","    1353.7","U","     18.48","U","     24.78","U","     12.18","U"
"USR0000AHOR","2011","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1412.8","","    1412.8","U","         0","U","        22","U","         1","U","       237","U","       114","U","  -11.7","U,0203, ","   41.1","U,0628, ","-0.6","U,1203","-2.8","U,1204","","","0.0","U,0410","-2.8","U,0228","-7.8","U,0204","-7.8","U,0204","-11.7","U,0203","    1103.4","4","    1103.4","U","     18.67","U","     24.99","U","     12.34","U"
"USR0000AHOR","2012","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1469.5","","    1469.5","U","         0","U","        12","U","         0","U","       260","U","       106","U","   -1.1","U,1228,+","   40.0","U,0808, ","0.0","U,1219","","","","","0.0","U,0414","","","","","","","","","    1208.0","0","    1208.0","U","     19.57","U","     25.86","U","     13.28","U"
"USR0000AHOR","2013","32.9375","-110.4961","1231.4","HORSE CAMP CANYON ARIZONA, AZ US","   1339.6","","    1339.6","U","         0","U","        27","U","         0","U","       249","U","        92","U","   -7.2","U,0115, ","   41.1","U,0629, ","-1.7","U,1206","","","","","-0.6","U,0226","-2.8","U,0221","-7.2","U,0115","-7.2","U,0115","","","    1121.4","4","    1121.4","U","     18.63","U","     24.64","U","     12.61","U"
