"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00513099","1931","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","     30.6","","      30.6","6","        54","6","        50","6","        16","6","","","","","         0","6","         3","6","         0","6","       178","6","         0","6","         1"," ","   -2.8","6,0120, ","","","",""," 161.8"," ,6,0420, ","   27.2","6,0112, ","","","-1.1","6,0128","-2.8","6,0120","","","","","   1221.3"," ,6","","","     15.48","6","     20.55","6","     10.42","6"
"USC00513099","1932","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","      3.0","","       3.0","6","        71","6","        67","6","        13","6","","","","","         0","6","         0","6","         0","6","       170","6","         0","6","","","    2.2","6,0312,+","","","",""," 223.3"," ,6,1118, ","   25.0","6,1010, ","","","","","","","     901.5","5","     901.5","6","   1330.5"," ,6","","","     15.38","6","     20.52","6","     10.25","6"
"USC00513099","1933","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","      0.0","","       0.0","6","        65","6","        58","6","        13","6","","","","","         0","6","         0","6","         0","6","       105","6","         0","6","","","    3.3","6,1130,+","","","",""," 206.8"," ,6,1223, ","   24.4","6,1028, ","","","","","","","    1260.7","7","    1260.7","6","   1420.4"," ,6","","","     14.69","6","     19.51","6","      9.86","6"
"USC00513099","1934","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","     16.3","","      16.3","6","        80","6","        75","6","        18","6","","","","","         0","6","         0","6","         0","6","       187","6","         0","6","","","    2.8","6,0312, ","","","","","  98.0"," ,6,0604, ","   25.6","6,0830, ","","","","","","","    1325.9","9","    1325.9","6","   1388.2"," ,6","","","     15.35","6","     20.29","6","     10.42","6"
"USC00513099","1935","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","     17.6","","      17.6","6","        87","6","        77","6","        21","6","","","","","         0","6","         0","6","         0","6","       165","6","         0","6","","","    0.6","6,1222, ","","","","","  78.0"," ,6,1211, ","   26.1","6,0814, ","","","","","","","    1072.9","9","    1072.9","6","   1499.7"," ,6","","","     15.26","6","     19.89","6","     10.62","6"
"USC00513099","1936","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","     14.1","","      14.1","6","       119","6","       102","6","        27","6","","","","","         0","6","         0","6","         0","6","       137","6","         0","6","","","    0.6","6,0129, ","","","",""," 106.4"," ,6,1215, ","   25.6","6,0624, ","","","","","","","    1095.8","8","    1095.8","6","   2071.5"," ,6","","","     15.37","6","     19.58","6","     11.15","6"
"USC00513099","1937","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","      4.2","","       4.2","6","       108","6","        95","6","        16","6","","","","","         0","6","         0","6","         0","6","        59","6","         0","6","","","    1.7","6,1025, ","","","",""," 210.3"," ,6,0320, ","   24.4","6,0817,+","","","","","","","    1056.7","7","    1056.7","6","   1738.1"," ,6","","","     14.56","6","     18.65","6","     10.48","6"
"USC00513099","1938","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","     15.4","","      15.4","6","        71","6","        63","6","        16","6","","","","","         0","6","         0","6","         0","6","       169","6","         0","6","","","    2.2","6,0110, ","","","",""," 164.3"," ,6,0130, ","   26.7","6,1101, ","","","","","","","    1273.0","0","    1273.0","6","   1415.9"," ,6","","","     15.84","6","     20.65","6","     11.03","6"
"USC00513099","1939","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     855.9","9","     855.9","6","","","","","","","","","",""
"USC00513099","1940","22.1297","-159.6586","1097.3","KANALOHULUHULU 1075, HI US","     89.5","","      89.5","6","        91","6","        80","6","        20","6","","","","","         0","6","         1","6","         0","6","       235","6","         0","6","","","    0.0","6,0125, ","","","",""," 152.4"," ,6,1002, ","   28.3","6,0620, ","","","0.0","6,0125","","","","","","","   1508.0"," ,6","","","     16.29","6","     21.49","6","     11.08","6"
