"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"SPW00013025","1958","36.65","-6.35","25.6","ROTA NAS, SP","","","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPW00013025","1959","36.65","-6.35","25.6","ROTA NAS, SP","","","    584.0","","     584.0","X","        86","X","        46","X","         1","X","        0","","         0","X","         0","X","         0","X","         0","X","       172","X","        11","X","        43"," ","","","         9"," ","    2.2","X,1220, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  26.9"," ,X,1004, ","   35.6","X,0706, ","","","","","","","","","","","","","    419.4"," ,X","        0"," ,X","     17.35","X","     21.54","X","     13.16","X","       270","X","      27.2","X"
"SPW00013025","1960","36.65","-6.35","25.6","ROTA NAS, SP","","","    632.1","","     632.1","X","        93","X","        64","X","         5","X","        0","","         0","X","         0","X","         3","X","         0","X","       191","X","        13","X","        82"," ","","","        11"," ","   -0.6","X,0117, ","     0","T,X,0116, ","     0","T,X,0116, ","  55.6"," ,X,1027, ","   35.6","X,0828,+","","","","","0.0","X,0118","","","     890.3","3","     890.3","X","    736.9"," ,X","        0","T,X","     17.54","X","     21.55","X","     13.52","X","       270","X","      22.6","X"
"SPW00013025","1961","36.65","-6.35","25.6","ROTA NAS, SP","","","    805.9","","     805.9","X","        75","X","        45","X","        12","X","        0","","         0","X","         0","X","         0","X","         0","X","       204","X","        23","X","        72"," ","","","        25"," ","    1.7","X,0114, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  64.8"," ,X,1116, ","   37.2","X,0826, ","","","","","","","","","     879.9","9","     879.9","X","    801.8"," ,X","        0"," ,X","     18.35","X","     22.61","X","     14.08","X","       225","X","      22.6","X"
"SPW00013025","1962","36.65","-6.35","25.6","ROTA NAS, SP","","","    767.4","","     767.4","X","        78","X","        57","X","         7","X","        0","","         0","X","         0","X","         1","X","         0","X","       181","X","        23","X","        39"," ","","","        24"," ","   -1.1","X,1225, ","     0"," ,X,1231,+","     0","T,X,1226,+","  84.3"," ,X,1011, ","   40.0","X,0820, ","-1.1","X,1225","","","","","","","     843.8","8","     843.8","X","    820.1"," ,X","        0","T,X","     17.82","X","     22.16","X","     13.48","X","       225","X","      22.1","X"
"SPW00013025","1963","36.65","-6.35","25.6","ROTA NAS, SP","","","    579.9","","     579.9","X","       102","X","        68","X","         8","X","        0","","         0","X","         0","X","         0","X","         0","X","       202","X","        25","X","        46"," ","","","        25"," ","    0.6","X,0130, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  64.3"," ,X,1206, ","   37.8","X,0809, ","","","","","","","","","     951.2","2","     951.2","X","    907.9"," ,X","        0"," ,X","     17.49","X","     22.21","X","     12.77","X","        90","X","      25.2","X"
"SPW00013025","1964","36.65","-6.35","25.6","ROTA NAS, SP","","","    999.8","","     999.8","X","        62","X","        41","X","         4","X","        0","","         0","X","         0","X","         1","X","         0","X","       210","X","        55","X","        58"," ","","","        13"," ","    0.0","X,1227, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  39.6"," ,X,0531, ","   41.1","X,0917,+","0.0","X,1227","","","","","","","     900.4","4","     900.4","X","    452.4"," ,X","        0"," ,X","     18.33","X","     23.68","X","     12.97","X","       225","X","      19.5","X"
"SPW00013025","1965","36.65","-6.35","25.6","ROTA NAS, SP","","","    404.2","","     404.2","X","        77","X","        46","X","         2","X","        0","","         0","X","         0","X","         1","X","         0","X","       214","X","        20","X","        52"," ","         9"," ","        14"," ","    0.0","X,0105, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  34.0"," ,X,0310, ","   38.3","X,0627, ","","","","","0.0","X,0105","","","    1001.7","7","    1001.7","X","    522.9"," ,X","        0"," ,X","     16.79","X","     21.93","X","     11.66","X","","","",""
"SPW00013025","1966","36.65","-6.35","25.6","ROTA NAS, SP","","","    648.5","","     648.5","X","        63","X","        35","X","         4","X","        0","","         0","X","         0","X","         0","X","         0","X","       197","X","        24","X","       103"," ","        14"," ","        17"," ","    1.7","X,1225,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  31.8"," ,X,1106, ","   37.8","X,0905, ","","","","","","","","","     860.7","7","     860.7","X","    382.1"," ,X","        0"," ,X","     17.33","X","     22.61","X","     12.06","X","","","",""
"SPW00013025","1967","36.65","-6.35","25.6","ROTA NAS, SP","","","    651.2","","     651.2","X","        63","X","        36","X","         5","X","        0","","         0","X","         0","X","         2","X","         0","X","       199","X","        17","X","        95"," ","        16"," ","        14"," ","   -0.6","X,1213,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  42.7"," ,X,1118, ","   40.0","X,0720, ","-0.6","X,1213","","","-0.6","X,0108","","","    1065.0","0","    1065.0","X","    518.4"," ,X","        0"," ,X","     17.42","X","     21.99","X","     12.86","X","       158","X","      20.0","X"
"SPW00013025","1968","36.65","-6.35","25.6","ROTA NAS, SP","","","    625.4","","     625.4","X","        78","X","        44","X","         5","X","        0","","         0","X","         0","X","         0","X","         0","X","       182","X","        14","X","        65"," ","        20"," ","        15"," ","    0.6","X,0112, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  36.3"," ,X,1107, ","   35.0","X,0629, ","","","","","","","","","    1111.0","0","    1111.0","X","    525.9"," ,X","        0"," ,X","     17.39","X","     21.47","X","     13.31","X","","","",""
"SPW00013025","1969","36.65","-6.35","25.6","ROTA NAS, SP","","","    570.2","","     570.2","X","        97","X","        64","X","         9","X","        0","","         0","X","         0","X","         1","X","         0","X","       175","X","        17","X","        72"," ","        14"," ","        22"," ","    0.0","X,1228, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  52.8"," ,X,0326, ","   35.6","X,0707, ","0.0","X,1228","","","","","","","     842.9","9","     842.9","X","    869.3"," ,X","        0"," ,X","     17.15","X","     21.12","X","     13.17","X","       270","X","      23.1","X"
"SPW00013025","1970","36.65","-6.35","25.6","ROTA NAS, SP","","","    604.8","","     604.8","X","        72","X","        44","X","         3","X","        0","","         0","X","         0","X","         5","X","         0","X","       205","X","        31","X","        69"," ","        16"," ","        13"," ","   -3.9","X,1225, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  40.1"," ,X,0102, ","   38.3","X,0725, ","0.0","X,1209","-3.9","X,1225","0.0","X,0215","","","    1062.1","1","    1062.1","X","    519.8"," ,X","        0"," ,X","     17.11","X","     22.69","X","     11.52","X","       270","X","      21.6","X"
