"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"NOE00111255","1927","65.8167","13.9","380.0","TUSTERVATNET, NO","       167","E","        95","E","         0","E","      243","","  1870"," ,E,0421,+","  25.2"," ,E,0417, ","    838.9"," ,E"
"NOE00111255","1928","65.8167","13.9","380.0","TUSTERVATNET, NO","       188","E","        93","E","         1","E","      213","","  1370"," ,E,0214, ","  26.1"," ,E,0812, ","    771.6"," ,E"
"NOE00111255","1929","65.8167","13.9","380.0","TUSTERVATNET, NO","       206","E","       109","E","         1","E","      203","","  1140"," ,E,0315, ","  35.9"," ,E,0327, ","    949.8"," ,E"
"NOE00111255","1930","65.8167","13.9","380.0","TUSTERVATNET, NO","       169","E","       101","E","         8","E","      197","","  1000"," ,E,0325, ","  70.0"," ,E,0301, ","   1053.5"," ,E"
"NOE00111255","1931","65.8167","13.9","380.0","TUSTERVATNET, NO","       174","E","       102","E","         6","E","      184","","   960"," ,E,0328, ","  64.5"," ,E,1015, ","   1052.4"," ,E"
"NOE00111255","1932","65.8167","13.9","380.0","TUSTERVATNET, NO","       203","E","       118","E","         7","E","      209","","  1300"," ,E,0316, ","  48.0"," ,E,0128, ","   1214.7"," ,E"
"NOE00111255","1933","65.8167","13.9","380.0","TUSTERVATNET, NO","       174","E","        93","E","         2","E","      215","","  1070"," ,E,0215, ","  26.0"," ,E,1203,+","    902.8"," ,E"
"NOE00111255","1934","65.8167","13.9","380.0","TUSTERVATNET, NO","       187","E","       117","E","         5","E","      203","","  1300"," ,E,0225, ","  33.5"," ,E,0726, ","   1059.9"," ,E"
"NOE00111255","1935","65.8167","13.9","380.0","TUSTERVATNET, NO","       178","E","       108","E","         1","E","      208","","  1560"," ,E,0226, ","  37.3"," ,E,0929, ","    824.0"," ,E"
"NOE00111255","1936","65.8167","13.9","380.0","TUSTERVATNET, NO","       203","E","       112","E","         4","E","      199","","  1120"," ,E,0410, ","  32.6"," ,E,1220, ","   1017.4"," ,E"
"NOE00111255","1937","65.8167","13.9","380.0","TUSTERVATNET, NO","       147","E","        78","E","         5","E","      163","","   640"," ,E,0331, ","  35.3"," ,E,1017, ","    785.6"," ,E"
"NOE00111255","1938","65.8167","13.9","380.0","TUSTERVATNET, NO","       227","E","       123","E","         4","E","      170","","  1550"," ,E,0407,+","  47.6"," ,E,0303, ","   1184.8"," ,E"
"NOE00111255","1939","65.8167","13.9","380.0","TUSTERVATNET, NO","       170","E","       100","E","         3","E","      201","","   940"," ,E,0422, ","  41.9"," ,E,1217, ","    935.6"," ,E"
"NOE00111255","1940","65.8167","13.9","380.0","TUSTERVATNET, NO","       188","E","       104","E","         0","E","      202","","  1340"," ,E,0424, ","  24.1"," ,E,0331, ","    838.8"," ,E"
"NOE00111255","1941","65.8167","13.9","380.0","TUSTERVATNET, NO","       166","E","        82","E","         7","E","      210","","   780"," ,E,0410, ","  50.2"," ,E,0805, ","    868.2"," ,E"
