"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027563","1904","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","","","","","        32","6","        24","6","         2","6","","","         0","6","       130","6","","","","","","","","","","","  -12.2","6,0208,+","","","  31.2"," ,6,0809, ","","","-1.1","6,1019","-4.4","6,1110","-4.4","6,1110","-6.7","6,1203","","","-1.7","6,0326","-2.2","6,0315","-5.6","6,0313","-6.7","6,0211","-12.2","6,0208","","","","","    247.1"," ,6","","","","","","","      5.56","6"
"USC00027563","1905","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","   1022.1","","    1022.1","6","        48","6","        37","6","         4","6","         1","6","         0","6","        59","6","         0","6","       258","6","       124","6","","","","","  -10.0","6,1226, ","    86"," ,6,1211, "," 101.6"," ,6,0301, ","   43.9","6,0820,+","0.0","6,1114","-2.2","6,1128","-4.4","6,1203","-7.2","6,1223","-8.9","6,1224","0.0","6,0405","-5.6","6,0214","-5.6","6,0214","-7.2","6,0105","","","","","","","    479.7"," ,6","       99"," ,6","     17.12","6","     26.87","6","      7.36","6"
"USC00027563","1906","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","   1006.4","","    1006.4","6","        42","6","        26","6","         0","6","","","         0","6","        70","6","         0","6","       250","6","       102","6","         1"," ","","","  -12.8","6,0122, ","","","  24.1"," ,6,0211, ","   41.1","6,0620,+","-5.0","6,1021","-5.0","6,1021","-5.0","6,1021","-6.7","6,1023","","","-1.1","6,0407","-2.2","6,0321","-5.6","6,0125","-12.8","6,0122","-12.8","6,0122","    1714.7","7","    1714.7","6","    221.4"," ,6","","","     16.60","6","     25.63","6","      7.56","6"
"USC00027563","1907","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","","","","","","","","","","","         0","6","         0","6","       109","6","","","","","","","","","","","   -7.2","6,1222, ","     3"," ,6,0101, ","","","","","0.0","6,1017","-2.2","6,1113","-4.4","6,1116","-6.7","6,1221","","","0.0","6,0417","-2.2","6,0416","-6.1","6,0306","-6.7","6,0102","","","    1565.3","3","    1565.3","6","","","        3"," ,6","","","","","      5.93","6"
"USC00027563","1908","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","    977.2","","     977.2","6","        29","6","        22","6","         3","6","","","         0","6","       111","6","         0","6","       267","6","       108","6","","","","","   -6.7","6,0222, ","","","  27.9"," ,6,0824, ","   40.0","6,0625, ","0.0","6,1018","-3.9","6,1020","","","","","","","-1.1","6,0408","-5.0","6,0308","-5.0","6,0308","-6.7","6,0222","","","","","","","    247.7"," ,6","","","     16.82","6","     26.54","6","      7.10","6"
"USC00027563","1909","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","   1211.6","","    1211.6","6","","","","","","","","","         0","6","        71","6","         0","6","       276","6","       132","6","","","","","   -9.4","6,1205, ","","","","","   43.9","6,0713, ","-2.2","6,1107","-2.2","6,1107","-5.6","6,1115","-9.4","6,1205","-9.4","6,1205","0.0","6,0407","-5.6","6,0324","-5.6","6,0324","","","","","    1380.8","8","    1380.8","6","","","","","     17.73","6","     26.99","6","      8.47","6"
"USC00027563","1910","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","   1415.5","","    1415.5","6","        22","6","        14","6","         0","6","","","         0","6","        46","6","         0","6","       279","6","       172","6","","","","","  -10.6","6,0105, ","","","  15.7"," ,6,1114, ","   42.2","6,0707, ","-0.6","6,1128","-2.2","6,1206","-7.8","6,1223","-7.8","6,1223","","","0.0","6,0415","-4.4","6,0218","-4.4","6,0218","-7.8","6,0217","-10.6","6,0105","    1328.8","8","    1328.8","6","     98.8"," ,6","","","     18.96","6","     28.19","6","      9.73","6"
"USC00027563","1911","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","   1019.3","","    1019.3","6","        34","6","        31","6","         4","6","","","         0","6","        71","6","         0","6","       271","6","       146","6","","","","","  -12.2","6,1227, ","","","  28.4"," ,6,0228, ","   41.1","6,0819,+","0.0","6,1116","-2.8","6,1123","-4.4","6,1125","-9.4","6,1128","-9.4","6,1128","-0.6","6,0414","-2.8","6,0311","-5.6","6,0218","","","","","    1281.1","1","    1281.1","6","    349.4"," ,6","","","     17.14","6","     27.81","6","      6.47","6"
"USC00027563","1913","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","","","","","","","","","","","","","","","","","         2","6","       272","6","       143","6","","","","","","","","","","","   42.2","6,0712,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     27.65","6","",""
"USC00027563","1915","32.33333","-109.26667","1100.9","SAN SIMON 5 NW, AZ US","    870.3","","     870.3","6","        26","6","        21","6","         0","6","","","         0","6","        98","6","         0","6","       239","6","       114","6","","","         1"," ","  -11.7","6,1228, ","","","  16.5"," ,6,1106, ","   41.1","6,0625, ","-3.9","6,1111","-3.9","6,1111","-4.4","6,1112","-7.8","6,1114","-11.7","6,1228","-0.6","6,0503","-3.9","6,0322","-4.4","6,0222","-6.7","6,0120","-8.9","6,0118","","","","","    156.9"," ,6","","","     15.83","6","     25.33","6","      6.33","6"
