"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"MXN00020251","1978","16.0667","-97.7667","16.8","E.T.A. 199 SANTIAGO JAMILTEPE, MX","       0.0","0","       0.0"," "
"MXN00020251","1980","16.0667","-97.7667","16.8","E.T.A. 199 SANTIAGO JAMILTEPE, MX","       0.0","0","       0.0","m"
