"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00024131","1940","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    512.5","","     512.5","0","       108","0","        50","0","         0","0","        3","","         6","0","         0","0","       109","0","        12","0","       157","0","        57","0","","","","","","","  -12.8","0,1215,+","    51"," ,0,0125,+","    51"," ,0,0124, ","  19.1"," ,0,0331, ","   42.8","0,0619, ","-1.1","0,1028","-3.3","0,1104","-6.7","0,1112","-6.7","0,1112","-9.4","0,1122","0.0","0,0424","-2.2","0,0318","-4.4","0,0312","-6.7","0,0121","-8.9","0,0119","","","","","    350.6"," ,0","","","      246"," ,0","     11.66","0","     18.02","0","      5.29","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1941","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    352.2","","     352.2","0","       108","0","        48","0","         0","0","","","         5","0","         1","0","       105","0","         7","0","       130","0","        31","0","","","","","","","  -17.8","0,1231, ","","","   102"," ,0,1230, ","  24.6"," ,0,0607, ","   38.3","0,0717, ","0.0","0,0922","-3.3","0,1006","-7.2","0,1120","-7.2","0,1120","-8.9","0,1122","-0.6","0,0419","-2.2","0,0325","-5.0","0,0321","-6.7","0,0314","-9.4","0,0106","    3001.5","5","    3001.5","0","    351.7"," ,0","","","      347"," ,0","     11.01","0","     17.30","0","      4.72","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1942","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    394.1","","     394.1","0","       100","0","        47","0","         1","0","","","         8","0","         5","0","       136","0","        28","0","       135","0","        46","0","","","","","","","  -25.0","0,0101, ","","","   102"," ,0,0107, ","  28.7"," ,0,0523, ","   40.0","0,0721,+","-1.1","0,1024","-2.8","0,1025","-6.1","0,1028","-7.2","0,1203","","","-1.1","0,0517","-3.3","0,0426","-7.2","0,0326","-7.2","0,0326","-11.1","0,0223","    3505.9","9","    3505.9","0","    368.5"," ,0","","","      548"," ,0","      9.79","0","     16.18","0","      3.40","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1943","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    348.3","","     348.3","0","        64","0","        30","0","         1","0","       15","","         7","0","         2","0","       140","0","        13","0","       158","0","        32","0","","","","","","","  -23.3","0,0118, ","   127"," ,0,0204,+","   127"," ,0,0202, ","  26.7"," ,0,0308, ","   38.9","0,0725, ","-0.6","0,1019","-2.8","0,1031","-4.4","0,1124","-7.2","0,1206","-8.9","0,1213","-1.7","0,0514","-2.8","0,0512","-5.6","0,0320","-6.7","0,0318","-10.0","0,0203","    3237.1","1","    3237.1","0","    252.6"," ,0","","","      444"," ,0","     10.52","0","     17.08","0","      3.96","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1944","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    316.9","","     316.9","0","        76","0","        34","0","         0","0","       19","","         6","0","         1","0","       131","0","        22","0","       142","0","        34","0","","","","","","","  -17.8","0,0109, ","    51"," ,0,0215,+","    51"," ,0,0213,+","  19.8"," ,0,0411, ","   37.2","0,0805, ","-0.6","0,1111","-3.9","0,1115","-4.4","0,1125","-7.8","0,1210","-8.9","0,1211","0.0","0,0523","-2.2","0,0417","-8.3","0,0328","-8.3","0,0328","-10.0","0,0327","    3345.2","2","    3345.2","0","    265.8"," ,0","","","      257"," ,0","      9.91","0","     16.15","0","      3.66","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1945","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    399.1","","     399.1","0","       102","0","        48","0","         0","0","        6","","         7","0","         1","0","       127","0","        22","0","       137","0","        46","0","","","","","","","  -17.8","0,1218, ","   102"," ,0,1221,+","   122"," ,0,1217, ","  17.8"," ,0,0326, ","   38.9","0,0901,+","0.0","0,0927","-3.9","0,1018","-4.4","0,1021","-6.7","0,1023","-11.7","0,1214","0.0","0,0426","-2.2","0,0425","-4.4","0,0410","-11.1","0,0305","-11.1","0,0305","    3239.0","0","    3239.0","0","    342.0"," ,0","","","      395"," ,0","     10.35","0","     16.66","0","      4.03","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1946","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    386.5","","     386.5","0","        83","0","        38","0","         0","0","       16","","         4","0","         0","0","       126","0","        11","0","       143","0","        40","0","","","","","","","  -11.7","0,0115,+","    51"," ,0,1110,+","    86"," ,0,1110, ","  11.7"," ,0,0122, ","   40.6","0,0819, ","-2.2","0,1010","-2.2","0,1010","-5.6","0,1028","-7.2","0,1103","-10.0","0,1217","-1.7","0,0501","-2.8","0,0325","-4.4","0,0316","-7.8","0,0213","-9.4","0,0212","    3170.2","2","    3170.2","0","    251.3"," ,0","","","      311"," ,0","     10.45","0","     17.02","0","      3.87","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1947","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    398.3","","     398.3","0","        81","0","        38","0","         0","0","       32","","        10","0","         3","0","       126","0","        21","0","       149","0","        47","0","","","","","","","  -23.3","0,0115, ","   102"," ,0,0117,+","    66"," ,0,1209, ","  13.7"," ,0,0331, ","   40.0","0,0714, ","-1.7","0,1022","-2.8","0,1103","-5.6","0,1112","-8.3","0,1122","-12.8","0,1210","-0.6","0,0423","-2.2","0,0405","-6.7","0,0306","-6.7","0,0306","-8.9","0,0129","    3284.1","1","    3284.1","0","    256.7"," ,0","","","      528"," ,0","     10.57","0","     17.13","0","      4.01","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1948","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    300.5","","     300.5","0","        99","0","        45","0","         0","0","       37","","        13","0","         1","0","       146","0","        21","0","       139","0","        27","0","        31"," ","","","        14"," ","  -17.8","0,1223, ","   127"," ,0,0210,+","   127"," ,0,0325, ","  18.3"," ,0,0221, ","   37.2","0,0722, ","-1.7","0,1016","-3.9","0,1025","-5.6","0,1027","-7.8","0,1107","-8.9","0,1108","-2.8","0,0502","-2.8","0,0502","-6.1","0,0326","-9.4","0,0310","-9.4","0,0310","    3341.1","1","    3341.1","0","    302.9"," ,0","","","      985"," ,0","      9.59","0","     16.19","0","      3.00","0","","","","","","","","","","","","","","","","","",""
"USW00024131","1949","43.56705","-116.24062","860.5","BOISE AIR TERMINAL, ID US","","","    458.9","","     458.9","0","        66","0","        25","0","         0","0","       46","","        12","0","        18","0","       125","0","        45","0","       145","0","        36","0","        27"," ","","","        22"," ","  -21.7","0,0120, ","   229"," ,0,0215, ","   178"," ,0,0215, ","  14.2"," ,0,1123, ","   40.6","0,0803, ","-1.1","0,1009","-2.8","0,1017","-4.4","0,1019","-6.7","0,1203","-9.4","0,1211","-1.7","0,0504","-3.3","0,0414","-4.4","0,0331","-6.7","0,0329","-8.9","0,0214","    3646.8","8","    3646.8","0","    189.0"," ,0","","","      924"," ,0","     10.02","0","     16.87","0","      3.17","0","","","","","","","","","","","","","","","","","",""
