"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AR000087155","1966","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1473.0","","    1473.0","G","","","","","","","         0","G","         4","G","         0","G","       302","G","        58","G","   -0.8","G,0805, ","","","   39.5","G,1106, ","0.0","G,0630","","","","","0.0","G,0806","","","     416.6","6","     416.6","G","","","     21.16","G","     26.70","G","     15.62","G"
"AR000087155","1967","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1455.0","","    1455.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR000087155","1968","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","","","","","","","","","","","         0","G","         0","G","         0","G","       297","G","        95","G","    0.2","G,0516, ","","","   41.2","G,1212, ","","","","","","","","","","","     374.1","1","     374.1","G","","","     21.50","G","     27.59","G","     15.42","G"
"AR000087155","1969","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1599.8","","    1599.8","G","","","","","","","         0","G","         3","G","         0","G","       308","G","        87","G","   -1.2","G,0618, ","","","   39.5","G,0917, ","-1.2","G,0618","","","","","-0.8","G,0802","","","     423.3","3","     423.3","G","","","     21.52","G","     27.58","G","     15.45","G"
"AR000087155","1970","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1766.9","","    1766.9","G","","","","","","","         0","G","         4","G","         0","G","       308","G","        97","G","   -2.8","G,0702, ","","","   42.3","G,1210, ","-0.5","G,0625","-2.8","G,0702","","","","","","","     417.2","2","     417.2","G","","","     21.81","G","     27.94","G","     15.69","G"
"AR000087155","1971","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1403.9","","    1403.9","G","","","","","","","         0","G","         3","G","         0","G","       293","G","        86","G","   -2.5","G,0612, ","","","   40.7","G,1220, ","-2.5","G,0612","-2.5","G,0612","","","","","","","     538.5","5","     538.5","G","","","     20.98","G","     27.33","G","     14.63","G"
"AR000087155","1972","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1599.0","","    1599.0","G","","","","","","","         0","G","         2","G","         0","G","       295","G","        73","G","   -0.2","G,0714, ","","","   38.4","G,1025, ","-0.2","G,0714","","","","","0.0","G,0831","","","     407.5","5","     407.5","G","","","     21.31","G","     26.88","G","     15.75","G"
"AR000087155","1973","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","","","","","","","","","","","         0","G","         0","G","","","","","","","    0.1","G,0703, ","","","","","","","","","","","","","","","","","","","","","","","","","     15.78","G"
"AR000087155","1974","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1265.7","","    1265.7","G","","","","","","","         0","G","         3","G","         0","G","       294","G","        74","G","   -0.8","G,0819,+","","","   40.3","G,1118, ","-0.8","G,0613","","","","","-0.8","G,0819","","","     454.3","3","     454.3","G","","","     20.87","G","     27.00","G","     14.74","G"
"AR000087155","1975","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1483.3","","    1483.3","G","","","","","","","         0","G","         4","G","         0","G","       293","G","        80","G","   -2.9","G,0718, ","","","   42.1","G,0213, ","-1.6","G,0717","-2.9","G,0718","","","","","","","     391.6","6","     391.6","G","","","     21.14","G","     26.82","G","     15.46","G"
"AR000087155","1976","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1262.7","","    1262.7","G","","","","","","","         0","G","         6","G","         0","G","       290","G","        76","G","   -3.6","G,0710, ","","","   39.0","G,1214, ","-0.6","G,0611","-3.6","G,0710","","","","","","","     564.3","3","     564.3","G","","","     20.69","G","     27.08","G","     14.30","G"
"AR000087155","1977","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1571.9","","    1571.9","G","","","","","","","         0","G","         1","G","         0","G","       306","G","        87","G","   -0.8","G,0902, ","","","   39.7","G,1031, ","","","","","","","-0.8","G,0902","","","     363.9","9","     363.9","G","","","     22.00","G","     27.65","G","     16.34","G"
"AR000087155","1978","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1622.6","","    1622.6","G","","","","","","","         0","G","         7","G","         0","G","       302","G","        85","G","   -1.1","G,0815, ","","","   41.0","G,1024, ","-0.3","G,0601","","","","","-1.1","G,0815","","","     440.1","1","     440.1","G","","","     21.35","G","     27.69","G","     15.01","G"
"AR000087155","1979","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1444.0","","    1444.0","G","","","","","","","         0","G","         8","G","         0","G","       293","G","        78","G","   -3.2","G,0531, ","","","   40.9","G,0122, ","-3.2","G,0531","-3.2","G,0531","","","","","","","     498.6","6","     498.6","G","","","     20.87","G","     26.84","G","     14.90","G"
"AR000087155","1980","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1701.0","","    1701.0","G","        87","I","        63","I","        19","I","         0","G","         5","G","         0","G","       300","G","        85","G","   -2.3","G,0731, "," 153.9"," ,I,0104, ","   38.3","G,1217, ","-1.0","G,0703","-2.3","G,0731","","","-0.3","G,0918","","","     489.0","0","     489.0","G","   1275.1"," ,I","     21.35","G","     27.29","G","     15.42","G"
"AR000087155","1981","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1504.8","","    1504.8","G","        78","I","        46","I","        13","I","         0","G","         2","G","         0","G","       302","G","        81","G","   -1.5","G,0618, ","  80.0"," ,I,0303, ","   38.0","G,1024, ","-1.5","G,0618","","","","","","","","","     409.7","7","     409.7","G","   1011.6"," ,I","     21.49","G","     27.09","G","     15.89","G"
"AR000087155","1982","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1459.4","","    1459.4","G","","","","","","","         0","G","         0","G","         0","G","       306","G","        85","G","    0.3","G,0629, ","","","   41.2","G,0116, ","","","","","","","","","","","     342.2","2","     342.2","G","","","     21.67","G","     27.39","G","     15.95","G"
"AR000087155","1983","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1544.2","","    1544.2","G","","","","","","","         0","G","         1","G","         0","G","       274","G","        87","G","   -0.8","G,0909, ","","","   39.6","G,1209, ","","","","","","","-0.8","G,0909","","","     592.6","6","     592.6","G","","","     20.85","G","     26.42","G","     15.27","G"
"AR000087155","1984","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1615.9","","    1615.9","G","","","","","","","         0","G","         5","G","         0","G","       291","G","        77","G","   -3.8","G,0825, ","","","   41.5","G,0109, ","-0.2","G,0628","","","","","-1.4","G,0826","-3.8","G,0825","     508.7","7","     508.7","G","","","     21.18","G","     26.49","G","     15.88","G"
"AR000087155","1985","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1530.7","","    1530.7","G","","","","","","","         0","G","         1","G","         0","G","       302","G","        97","G","   -1.0","G,0712, ","","","   41.4","G,1208,+","-1.0","G,0712","","","","","","","","","     376.0","0","     376.0","G","","","     21.95","G","     27.68","G","     16.22","G"
"AR000087155","1986","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1772.9","","    1772.9","G","","","","","","","         0","G","         0","G","         0","G","       304","G","        90","G","    1.4","G,0818, ","","","   41.0","G,0108, ","","","","","","","","","","","     304.7","7","     304.7","G","","","     22.18","G","     27.61","G","     16.76","G"
"AR000087155","1987","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1463.1","","    1463.1","G","","","","","","","         0","G","         4","G","         0","G","       294","G","        71","G","   -2.7","G,0624, ","","","   38.0","G,1011, ","-2.1","G,0616","-2.7","G,0624","","","","","","","     551.5","5","     551.5","G","","","     20.59","G","     26.54","G","     14.64","G"
"AR000087155","1988","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1371.9","","    1371.9","G","","","","","","","         0","G","        13","G","         0","G","       284","G","       115","G","   -3.8","G,0725,+","","","   41.6","G,1111, ","-2.4","G,0531","-2.4","G,0531","","","","","","","     631.0","0","     631.0","G","","","     20.71","G","     27.28","G","     14.15","G"
"AR000087155","1989","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1568.5","","    1568.5","G","","","","","","","         0","G","         4","G","         0","G","       289","G","        87","G","   -1.7","G,0707,+","","","   40.3","G,0117, ","-1.0","G,0703","","","","","","","","","     428.9","9","     428.9","G","","","     21.26","G","     26.98","G","     15.55","G"
"AR000087155","1991","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","","","","","","","","","","","         0","G","         3","G","         0","G","       311","G","        78","G","   -4.1","G,0802, ","","","   39.1","G,0121, ","-0.2","G,0723","","","","","-1.4","G,0803","-4.1","G,0802","     414.4","4","     414.4","G","","","     21.53","G","     27.29","G","     15.76","G"
"AR000087155","1992","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1563.4","","    1563.4","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AR000087155","1994","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1517.8","","    1517.8","G","","","","","","","         0","G","         5","G","         0","G","       305","G","        81","G","   -1.5","G,0711, ","","","   40.2","G,0120, ","0.0","G,0625","","","","","","","","","     382.3","3","     382.3","G","","","     21.88","G","     27.45","G","     16.32","G"
"AR000087155","1995","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1579.8","","    1579.8","G","","","","","","","         0","G","         3","G","         0","G","       302","G","        83","G","   -3.5","G,0721, ","","","   41.7","G,1025, ","-3.5","G,0721","-3.5","G,0721","","","-1.0","G,0806","-2.5","G,0805","     491.0","0","     491.0","G","","","     21.22","G","     27.57","G","     14.88","G"
"AR000087155","1996","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1631.4","","    1631.4","G","","","","","","","         0","G","         9","G","         0","G","       297","G","        68","G","   -4.7","G,0629, ","","","   40.0","G,0103, ","-0.4","G,0602","-4.7","G,0629","-4.7","G,0629","","","","","     537.4","4","     537.4","G","","","     20.86","G","     26.70","G","     15.02","G"
"AR000087155","1997","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1501.9","","    1501.9","G","        87","I","        59","I","        22","I","         0","G","         0","G","         0","G","       313","G","        95","G","    0.9","G,0629, "," 170.9"," ,I,0205, ","   39.7","G,1012, ","","","","","","","","","","","     326.9","9","     326.9","G","   1729.5"," ,I","     22.24","G","     28.03","G","     16.44","G"
"AR000087155","1998","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1591.7","","    1591.7","G","","","","","","","         0","G","         0","G","         0","G","       295","G","        60","G","    1.5","G,0626, ","","","   40.5","G,0121, ","","","","","","","","","","","     406.6","6","     406.6","G","","","     20.81","G","     26.47","G","     15.16","G"
"AR000087155","1999","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1348.3","","    1348.3","G","","","","","","","         0","G","         2","G","         0","G","       294","G","        95","G","   -2.7","G,0815, ","","","   40.3","G,1228,+","","","","","","","-1.6","G,0816","-2.7","G,0815","     526.5","5","     526.5","G","","","     21.04","G","     27.27","G","     14.81","G"
"AR000087155","2000","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1546.1","","    1546.1","G","","","","","","","         0","G","         9","G","         0","G","       296","G","        82","G","   -2.5","G,0717, ","","","   39.7","G,0108, ","-0.2","G,0712","-2.2","G,0716","","","","","","","     536.5","5","     536.5","G","","","     20.90","G","     26.68","G","     15.12","G"
"AR000087155","2001","-27.45","-59.05","53.0","RESISTENCIA AERO, AR","   1649.3","","    1649.3","G","","","","","","","         0","G","         4","G","         0","G","       298","G","       102","G","   -2.4","G,0728, ","","","   37.9","G,0305, ","-0.1","G,0620","-2.4","G,0728","","","-0.3","G,0917","","","     388.5","5","     388.5","G","","","     22.05","G","     27.64","G","     16.47","G"
