"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00086368","1989","-38.18","145.4317","3.0","DALMORE, AS","","","","","    857.0"," ,a"
"ASN00086368","1990","-38.18","145.4317","3.0","DALMORE, AS","    208.0","","     208.0","a","",""
