"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017260","1985","36.947","37.479","705.6","OGUZELI, TU","","","","","","","","","","","         4","S","       174","S","        80","S","","","","","   39.9","S,0814, ","","","","","","","","","","","","","","","     21.67","S","",""
"TUM00017260","1992","36.947","37.479","705.6","OGUZELI, TU","","","","","","","","","","","         6","S","       183","S","        71","S","","","","","   38.4","S,0814, ","","","","","","","","","","","","","","","     20.64","S","",""
"TUM00017260","1995","36.947","37.479","705.6","OGUZELI, TU","","","","","","","         0","S","        35","S","         0","S","       169","S","        87","S","   -5.4","S,0121, ","","","   39.4","S,0802, ","-2.4","S,1112","-2.4","S,1112","0.0","S,0404","-3.5","S,0125","-4.8","S,0124","","","     15.95","S","     22.59","S","      9.30","S"
"TUM00017260","1996","36.947","37.479","705.6","OGUZELI, TU","","","","","","","","","","","         0","S","       168","S","        80","S","","","","","   40.2","S,0715, ","","","","","","","","","","","","","","","     22.18","S","",""
"TUM00017260","1997","36.947","37.479","705.6","OGUZELI, TU","","","","","","","","","","","         2","S","       163","S","        80","S","","","","","   39.0","S,0721,+","","","","","","","","","","","","","","","     21.76","S","",""
"TUM00017260","2001","36.947","37.479","705.6","OGUZELI, TU","","","","","","","","","","","         0","S","       178","S","       101","S","","","","","   42.2","S,0731,+","","","","","","","","","","","","","","","     23.23","S","",""
"TUM00017260","2002","36.947","37.479","705.6","OGUZELI, TU","","","","","","","","","","","         0","S","       192","S","        88","S","","","","","   41.4","S,0721, ","","","","","","","","","","","","","","","     23.10","S","",""
"TUM00017260","2003","36.947","37.479","705.6","OGUZELI, TU","","","","","","","","","","","         0","S","       182","S","        91","S","","","","","   41.2","S,0804, ","","","","","","","","","","","","","","","     22.64","S","",""
"TUM00017260","2006","36.947","37.479","705.6","OGUZELI, TU","        84","S","        42","S","         2","S","","","","","","","","","","","","","  38.1"," ,S,1105, ","","","","","","","","","","","","","    489.5"," ,S","","","","","",""
"TUM00017260","2007","36.947","37.479","705.6","OGUZELI, TU","        78","S","        29","S","         2","S","","","","","","","","","","","","","  35.1"," ,S,1214, ","","","","","","","","","","","","","    321.2"," ,S","","","","","",""
"TUM00017260","2008","36.947","37.479","705.6","OGUZELI, TU","        61","S","        32","S","         1","S","","","","","","","","","","","","","  37.1"," ,S,0129, ","","","","","","","","","","","","","    253.8"," ,S","","","","","",""
"TUM00017260","2010","36.947","37.479","705.6","OGUZELI, TU","        71","S","        34","S","         3","S","","","","","","","","","","","","","  32.0"," ,S,0119, ","","","","","","","","","","","","","    353.5"," ,S","","","","","",""
"TUM00017260","2011","36.947","37.479","705.6","OGUZELI, TU","        84","S","        41","S","         4","S","","","","","","","","","","","","","  50.5"," ,S,0411, ","","","","","","","","","","","","","    481.8"," ,S","","","","","",""
"TUM00017260","2013","36.947","37.479","705.6","OGUZELI, TU","        78","S","        36","S","         2","S","","","","","","","","","","","","","  44.7"," ,S,0512, ","","","","","","","","","","","","","    389.8"," ,S","","","","","",""
"TUM00017260","2014","36.947","37.479","705.6","OGUZELI, TU","        75","S","        26","S","         2","S","","","","","","","","","","","","","  69.6"," ,S,0310, ","","","","","","","","","","","","","    357.5"," ,S","","","","","",""
"TUM00017260","2017","36.947","37.479","705.6","OGUZELI, TU","        76","S","        29","S","         0","S","","","","","","","","","","","","","  19.3"," ,S,0313, ","","","","","","","","","","","","","    247.2"," ,S","","","","","",""
"TUM00017260","2019","36.947","37.479","705.6","OGUZELI, TU","       106","S","        57","S","         3","S","","","","","","","","","","","","","  49.3"," ,S,0331, ","","","","","","","","","","","","","    630.8"," ,S","","","","","",""
"TUM00017260","2023","36.947","37.479","705.6","OGUZELI, TU","        71","S","        33","S","         2","S","","","","","","","","","","","","","  30.7"," ,S,1119, ","","","","","","","","","","","","","    332.1"," ,S","","","","","",""
"TUM00017260","2024","36.947","37.479","705.6","OGUZELI, TU","        87","S","        44","S","         0","S","","","","","","","","","","","","","  24.1"," ,S,0410, ","","","","","","","","","","","","","    326.1"," ,S","","","","","",""
