"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00054036","1951","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        71","a","        46","a","         4","a","","","","","","","  41.9"," ,a,0609, ","","","","","","","","","","","","","    531.9"," ,a","",""
"ASN00054036","1952","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        90","a","        53","a","         9","a","","","","","","","  66.0"," ,a,1025, ","","","","","","","","","","","","","    898.3"," ,a","",""
"ASN00054036","1953","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        67","a","        35","a","         7","a","","","","","",""," 108.0"," ,a,0216, ","","","","","","","","","","","","","    670.8"," ,a","",""
"ASN00054036","1954","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        76","a","        49","a","        10","a","","","","","","","  80.3"," ,a,1016, ","","","","","","","","","","","","","    809.4"," ,a","",""
"ASN00054036","1955","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        80","a","        57","a","         6","a","","","","","","","  91.7"," ,a,0225, ","","","","","","","","","","","","","    780.4"," ,a","",""
"ASN00054036","1956","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","       102","a","        64","a","         8","a","","","","","",""," 135.1"," ,a,0121, ","","","","","","","","","","","","","    943.0"," ,a","",""
"ASN00054036","1957","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        60","a","        37","a","         4","a","","","","","","","  42.2"," ,a,0211, ","","","","","","","","","","","","","    455.0"," ,a","",""
"ASN00054036","1958","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        85","a","        57","a","         8","a","","","","","","","  56.1"," ,a,1217, ","","","","","","","","","","","","","    699.0"," ,a","",""
"ASN00054036","1959","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","       102","a","        70","a","         9","a","","","","","","","  58.4"," ,a,1111, ","","","","","","","","","","","","","    917.8"," ,a","",""
"ASN00054036","1960","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        74","a","        49","a","         5","a","","","","","","","  38.4"," ,a,0802, ","","","","","","","","","","","","","    626.9"," ,a","",""
"ASN00054036","1961","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        67","a","        51","a","        11","a","","","","","","","  55.4"," ,a,1123, ","","","","","","","","","","","","","    750.9"," ,a","",""
"ASN00054036","1962","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        87","a","        50","a","         9","a","","","","","","","  55.9"," ,a,0407, ","","","","","","","","","","","","","    803.3"," ,a","",""
"ASN00054036","1963","-29.2443","150.8923","440.0","WALLANGRA WALLANGRA STATION, AS","","","","","        94","a","        61","a","         6","a","","","","","","","  46.5"," ,a,0508, ","","","","","","","","","","","","","    742.2"," ,a","",""
