"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00508530","2009","59.5272","-135.2319","285.6","SKAGWAY 6 NE, AK US","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00508530","2010","59.5272","-135.2319","285.6","SKAGWAY 6 NE, AK US","      6.5","","       6.5","0","         3","0","       141","0","        52","0","        36","0","         0","0","         6"," ","         1"," ","  -17.8","0,1221,+","   28.3","0,0816,+","0.0","0,1005","-2.8","0,1108","-5.0","0,1116","-10.0","0,1118","-10.0","0,1118","0.0","0,0504","-2.8","0,0412","-6.1","0,0322","-6.7","0,0204","-10.0","0,0114","","","      5.07","0","      8.53","0","      1.62","0"
"USC00508530","2011","59.5272","-135.2319","285.6","SKAGWAY 6 NE, AK US","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1140.4"," ,7","","","","","",""
"USC00508530","2012","59.5272","-135.2319","285.6","SKAGWAY 6 NE, AK US","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","    646.9"," ,7","","","","","",""
