"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013959","1941","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1528.3","","    1528.3","0","       106","0","        66","0","         8","0","        0","","         0","0","         0","0","        13","0","         0","0","       235","0","       102","0","       103"," ","","","        41"," ","   -2.8","0,1229,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.7"," ,0,0201, ","   38.3","0,0817, ","0.0","0,1123","-2.8","0,1124","","","","","","","-1.7","0,0209","-2.2","0,0118","","","","","","","","","","","","","","","","","","","","","","","   1010.1"," ,0","        0"," ,0","     19.21","0","     24.74","0","     13.69","0","","","","","","","","","","","","","","","",""
"USW00013959","1942","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1378.9","","    1378.9","0","        94","0","        59","0","        15","0","        0","","         0","0","         0","0","        22","0","         5","0","       260","0","        89","0","        82"," ","","","        38"," ","  -10.6","0,0105, ","     0"," ,0,1231,+","     5"," ,0,0219, ","  90.4"," ,0,0907, ","   38.9","0,0808, ","0.0","0,1209","-2.2","0,1229","","","","","","","-1.1","0,0227","-5.6","0,0218","-5.6","0,0218","-7.8","0,0110","-10.0","0,0108","    1208.6","6","","","    1208.6","0","","","","","","","","","","","   1147.2"," ,0","        5"," ,0","     18.87","0","     24.91","0","     12.84","0","","","","","","","","","","","","","","","",""
"USW00013959","1943","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1608.7","","    1608.7","0","        64","0","        37","0","         7","0","        0","","         0","0","         0","0","        31","0","         2","0","       262","0","       111","0","        77"," ","","","        25"," ","  -13.3","0,0119, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  82.6"," ,0,1012, ","   40.0","0,0724,+","-1.7","0,1130","-7.2","0,1215","-7.2","0,1215","-7.2","0,1215","","","-0.6","0,0308","-5.6","0,0307","-5.6","0,0307","-9.4","0,0303","-9.4","0,0303","    1066.4","4","","","    1066.4","0","","","","","","","","","","","    646.9"," ,0","        0"," ,0","     19.48","0","     25.44","0","     13.51","0","","","","","","","","","","","","","","","",""
"USW00013959","1944","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1542.2","","    1542.2","0","        95","0","        63","0","        12","0","","","","","         0","0","        20","0","         1","0","       249","0","        96","0","","","","","","","   -7.8","0,0115, ","","","","","  86.6"," ,0,0430, ","   40.0","0,0727,+","0.0","0,1127","-2.2","0,1211","","","","","","","0.0","0,0329","-3.9","0,0212","-7.8","0,0115","-7.8","0,0115","","","    1180.1","1","","","    1180.1","0","","","","","","","","","","","   1019.0"," ,0","","","     19.41","0","     24.90","0","     13.92","0","","","","","","","","","","","","","","","",""
"USW00013959","1945","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1479.3","","    1479.3","0","        91","0","        51","0","        14","0","","","","","         0","0","        19","0","         0","0","       261","0","        97","0","","","","","","","   -6.7","0,1219, ","","","","","  65.0"," ,0,0421, ","   40.0","0,0818, ","-1.1","0,1122","-2.8","0,1210","-4.4","0,1218","-6.7","0,1219","","","-0.6","0,0228","","","","","","","","","    1063.2","2","","","    1063.2","0","","","","","","","","","","","    900.9"," ,0","","","     19.43","0","     25.07","0","     13.79","0","","","","","","","","","","","","","","","",""
"USW00013959","1946","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1532.3","","    1532.3","0","        85","0","        54","0","        11","0","","","","","         0","0","        20","0","         2","0","       267","0","        89","0","","","","","        17"," ","   -6.1","0,1230, ","","","","","  48.0"," ,0,0312, ","   40.6","0,0713, ","0.0","0,1202","-4.4","0,1229","-4.4","0,1229","","","","","0.0","0,0215","-2.8","0,0210","-4.4","0,0127","","","","","    1029.9","9","","","    1029.9","0","","","","","","","","","","","    876.8"," ,0","","","     19.92","0","     25.61","0","     14.22","0","","","","","","","","","","","","","","","",""
"USW00013959","1947","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1607.1","","    1607.1","0","        80","0","        46","0","        10","0","        0","","         0","0","         0","0","        29","0","         3","0","       240","0","       111","0","        21"," ","","","        43"," ","  -11.7","0,0104, ","     0"," ,0,1231,+","     0","T,0,1231,+"," 106.7"," ,0,0619, ","   42.2","0,0810, ","-1.1","0,1212","","","","","","","","","-1.1","0,0316","-3.9","0,0302","-5.6","0,0210","-10.0","0,0105","-10.0","0,0105","    1262.6","6","","","    1262.6","0","","","","","","","","","","","    858.6"," ,0","        0","T,0","     18.99","0","     24.90","0","     13.08","0","","","","","","","","","","","","","","","",""
"USW00013959","1948","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1690.5","","    1690.5","0","        75","0","        40","0","         9","0","        2","","         2","0","         0","0","        41","0","         8","0","       268","0","       116","0","        69"," ","","","        46"," ","   -9.4","0,0311, ","    25"," ,0,0311,+","    25"," ,0,0311,+","  56.4"," ,0,0511, ","   41.1","0,0821, ","-0.6","0,1110","-2.2","0,1129","","","","","","","-5.0","0,0313","-5.0","0,0313","-5.0","0,0313","-8.3","0,0312","-9.4","0,0311","    1327.5","5","","","    1327.5","0","","","","","","","","","","","    620.2"," ,0","       50"," ,0","     19.42","0","     25.58","0","     13.27","0","","","","","","","","","","","","","","","",""
"USW00013959","1949","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1529.9","","    1529.9","0","        99","0","        62","0","         8","0","        4","","         1","0","         1","0","        26","0","         4","0","       256","0","       112","0","        78"," ","","","        56"," ","  -20.6","0,0131, ","   178"," ,0,0131,+","   178"," ,0,0130, ","  62.5"," ,0,1021, ","   39.4","0,0819, ","0.0","0,1215","-2.2","0,1216","-4.4","0,1223","","","","","-1.7","0,0207","-15.0","0,0201","-15.0","0,0201","-15.0","0,0201","-15.0","0,0201","    1214.9","9","","","    1214.9","0","","","","","","","","","","","    800.8"," ,0","      178"," ,0","     19.25","0","     25.19","0","     13.31","0","","","","","","","","","","","","","","","",""
"USW00013959","1950","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","   1530.2","","    1530.2","0","        83","0","        46","0","         7","0","        0","","         0","0","         0","0","        27","0","         2","0","       270","0","        91","0","        80"," ","","","        57"," ","   -9.4","0,1207,+","     0","T,0,0105, ","     0","T,0,0605,+","  44.7"," ,0,1019, ","   37.8","0,0816,+","-1.7","0,1110","-7.2","0,1111","-7.2","0,1111","-7.2","0,1111","-9.4","0,1206","-3.3","0,0314","-3.3","0,0314","-4.4","0,0107","","","","","     989.2","2","","","     989.2","0","","","","","","","","","","","    703.9"," ,0","        0","T,0","     19.53","0","     25.53","0","     13.52","0","","","","","","","","","","","","","","","",""
