"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JOM00040265","1954","32.356","36.259","682.8","KING HUSSEIN, JO","","","","","         0"," ","        13","S","","","","","","","   -3.9","S,0114, ","","","","","-1.1","S,0206","-2.2","S,0118","","","","","      9.90","S"
"JOM00040265","1955","32.356","36.259","682.8","KING HUSSEIN, JO","","","","","         0"," ","         8","S","","","","","","","   -2.2","S,0308, ","","","-1.7","S,1204","-2.2","S,0308","-2.2","S,0308","","","","","      9.86","S"
"JOM00040265","1960","32.356","36.259","682.8","KING HUSSEIN, JO","    839.1","","     839.1","S","         0","S","        16","S","         0","S","       244","S","       106","S","   -2.8","S,0313,+","   40.0","S,0705, ","","","-1.1","S,0315","-2.8","S,0313","     17.60","S","     25.57","S","      9.62","S"
"JOM00040265","1996","32.356","36.259","682.8","KING HUSSEIN, JO","","","","","","","","","         0","S","       201","S","        85","S","","","   41.0","S,0703, ","","","","","","","","","     24.65","S","",""
"JOM00040265","2016","32.356","36.259","682.8","KING HUSSEIN, JO","","","","","","","","","         0","S","       241","S","        95","S","","","   41.0","S,0618, ","","","","","","","","","     25.69","S","",""
"JOM00040265","2017","32.356","36.259","682.8","KING HUSSEIN, JO","","","","","","","","","         0","S","       233","S","        94","S","","","   41.2","S,0702, ","","","","","","","","","     25.58","S","",""
"JOM00040265","2018","32.356","36.259","682.8","KING HUSSEIN, JO","","","","","","","","","         0","S","       240","S","        82","S","","","   39.6","S,0607, ","","","","","","","","","     25.62","S","",""
