"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKW00035047","1950","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        48"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00035047","1951","51.342222","1.346111","54.3","MANSTON, ENG UK","      8.4","","       8.4","X","       150","X","        82","X","         4","X","        0","","         0","X","         0","X","        13","X","         0","X","        33","X","         0","X","       106"," ","        14"," ","   -2.8","X,1213, ","     0"," ,X,1231,+","     0","T,X,1227,+","  31.5"," ,X,0901,+","   26.7","X,0728, ","-1.1","X,1211","-2.8","X,1213","","","0.0","X,0415","","","","","","","","","","","    721.8"," ,X","        0","T,X","      9.96","X","     12.94","X","      6.98","X"
"UKW00035047","1952","51.342222","1.346111","54.3","MANSTON, ENG UK","     40.5","","      40.5","X","       134","X","        63","X","         1","X","        2","","         3","X","         0","X","        40","X","         0","X","        56","X","         0","X","        75"," ","         6"," ","   -5.6","X,0128, ","    25"," ,X,0215,+","    30"," ,X,0329, ","  30.5"," ,X,1130, ","   29.4","X,0629, ","-1.1","X,1115","-3.3","X,1125","","","0.0","X,0403","-2.8","X,0214","-5.6","X,0128","","","    2873.0","0","    2873.0","X","    553.4"," ,X","       86"," ,X","      9.94","X","     13.21","X","      6.68","X"
"UKW00035047","1953","51.342222","1.346111","54.3","MANSTON, ENG UK","     14.0","","      14.0","X","       110","X","        46","X","         2","X","        2","","         2","X","         0","X","        26","X","         0","X","        36","X","         0","X","       108"," ","         9"," ","   -3.9","X,0317,+","    25"," ,X,0107,+","    71"," ,X,0106, ","  33.5"," ,X,0527, ","   29.4","X,0812, ","","","","","","","-3.9","X,0317","-3.9","X,0317","","","","","    3216.1","1","    3216.1","X","    486.1"," ,X","      111"," ,X","     10.29","X","     13.36","X","      7.23","X"
"UKW00035047","1954","51.342222","1.346111","54.3","MANSTON, ENG UK","      3.3","","       3.3","X","       143","X","        67","X","         2","X","        4","","         3","X","         0","X","        28","X","        10","X","        28","X","         0","X","        94"," ","        11"," ","   -7.2","X,0206, ","    51"," ,X,0301,+","    58"," ,X,0301, ","  35.8"," ,X,0824, ","   26.1","X,0901, ","-1.1","X,1211","","","","","-0.6","X,0409","-2.8","X,0207","-7.2","X,0206","-7.2","X,0206","    3003.0","0","    3003.0","X","    566.9"," ,X","      188"," ,X","      9.72","X","     12.91","X","      6.53","X"
"UKW00035047","1955","51.342222","1.346111","54.3","MANSTON, ENG UK","     29.6","","      29.6","X","       132","X","        59","X","         4","X","       19","","        10","X","         0","X","        51","X","         0","X","        38","X","         0","X","       130"," ","        14"," ","   -6.1","X,0219,+","   152"," ,X,0309,+","   178"," ,X,0307, ","  83.8"," ,X,0116, ","   26.7","X,0822,+","-3.3","X,1130","-3.3","X,1130","","","-1.1","X,0425","-4.4","X,0320","-4.4","X,0320","","","    3250.9","9","    3250.9","X","    646.0"," ,X","      706"," ,X","      9.62","X","     12.77","X","      6.48","X"
"UKW00035047","1956","51.342222","1.346111","54.3","MANSTON, ENG UK","     10.9","","      10.9","X","       146","X","        64","X","         0","X","       15","","         5","X","         0","X","        49","X","        11","X","        25","X","         0","X","       127"," ","        12"," ","   -8.3","X,0214, ","   330"," ,X,0220, ","   218"," ,X,0220, ","  23.6"," ,X,0110, ","   28.3","X,0726, ","-1.1","X,1124","","","","","0.0","X,0420","-3.9","X,0316","-4.4","X,0224","-8.3","X,0214","    3128.8","8","    3128.8","X","    521.6"," ,X","      656"," ,X","      9.49","X","     12.54","X","      6.43","X"
"UKW00035047","1957","51.342222","1.346111","54.3","MANSTON, ENG UK","     35.3","","      35.3","X","       145","X","        61","X","         0","X","        0","","         0","X","         0","X","        15","X","         0","X","        36","X","         0","X","       106"," ","        16"," ","   -4.4","X,1217, ","     0"," ,X,1231,+","     0","T,X,1215,+","  15.0"," ,X,1104, ","   31.1","X,0630,+","0.0","X,1202","-3.3","X,1210","-4.4","X,1217","-1.1","X,0221","","","","","","","    2862.6","6","    2862.6","X","    374.4"," ,X","        0","T,X","     10.63","X","     13.65","X","      7.61","X"
"UKW00035047","1958","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","","","","","","","","","","","","","","","","","","","","","        56"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKW00035047","1975","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       159","S","        67","S","         3","S","","","","","","","","","","","","","","","","","","","","","","","","","  79.0"," ,S,0914, ","","","","","","","","","","","","","","","","","","","","","    632.9"," ,S","","","","","","","",""
"UKW00035047","1976","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       136","S","        59","S","         1","S","","","","","","","","","","","","","","","","","","","","","","","","","  30.0"," ,S,1108, ","","","","","","","","","","","","","","","","","","","","","    560.6"," ,S","","","","","","","",""
"UKW00035047","1977","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       184","S","        60","S","         1","S","","","","","","","","","","","","","","","","","","","","","","","","","  39.9"," ,S,0822, ","","","","","","","","","","","","","","","","","","","","","    526.5"," ,S","","","","","","","",""
"UKW00035047","1978","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       160","S","        58","S","         0","S","","","","","","","","","","","","","","","","","","","","","","","","","  20.1"," ,S,0414, ","","","","","","","","","","","","","","","","","","","","","    421.6"," ,S","","","","","","","",""
"UKW00035047","1979","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       156","S","        69","S","         0","S","","","","","","","","","","","","","","","","","","","","","","","","","  21.1"," ,S,1228, ","","","","","","","","","","","","","","","","","","","","","    551.5"," ,S","","","","","","","",""
"UKW00035047","1980","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       164","S","        55","S","         1","S","","","","","","","","","","","","","","","","","","","","","","","","","  41.1"," ,S,0920, ","","","","","","","","","","","","","","","","","","","","","    509.8"," ,S","","","","","","","",""
"UKW00035047","1981","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       184","S","        68","S","         0","S","","","","","","","","","","","","","","","","","","","","","","","","","  23.9"," ,S,0626, ","","","","","","","","","","","","","","","","","","","","","    591.7"," ,S","","","","","","","",""
"UKW00035047","2006","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       185","S","        63","S","         2","S","","","","","","","","","","","","","","","","","","","","","","","","","  32.5"," ,S,0507, ","","","","","","","","","","","","","","","","","","","","","    553.3"," ,S","","","","","","","",""
"UKW00035047","2007","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       168","S","        58","S","         2","S","","","","","","","","","","","","","","","","","","","","","","","","","  49.8"," ,S,0620, ","","","","","","","","","","","","","","","","","","","","","    601.3"," ,S","","","","","","","",""
"UKW00035047","2008","51.342222","1.346111","54.3","MANSTON, ENG UK","","","","","       197","S","        83","S","         7","S","","","","","","","","","","","","","","","","","","","","","","","","","  46.2"," ,S,0527, ","","","","","","","","","","","","","","","","","","","","","    904.6"," ,S","","","","","","","",""
