"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"UKM00003257","1973","54.3","-1.53","40.0","LEEMING, UK","       137","S","        59","S","         1","S","","","","","","","","","","","  36.1"," ,S,0402, ","","","    570.3"," ,S","",""
"UKM00003257","1974","54.3","-1.53","40.0","LEEMING, UK","       193","S","        81","S","         0","S","","","","","","","","","","","  16.0"," ,S,0716, ","","","    627.8"," ,S","",""
"UKM00003257","1975","54.3","-1.53","40.0","LEEMING, UK","       159","S","        57","S","         1","S","","","","","","","","","","","  27.4"," ,S,0714, ","","","    451.4"," ,S","",""
"UKM00003257","1976","54.3","-1.53","40.0","LEEMING, UK","       180","S","        59","S","         2","S","","","","","","","","","","","  63.0"," ,S,0911, ","","","    621.3"," ,S","",""
"UKM00003257","1977","54.3","-1.53","40.0","LEEMING, UK","       188","S","        69","S","         0","S","","","","","","","","","","","  23.1"," ,S,0613, ","","","    599.1"," ,S","",""
"UKM00003257","1978","54.3","-1.53","40.0","LEEMING, UK","       187","S","        80","S","         1","S","","","","","","","","","","","  26.9"," ,S,1208, ","","","    660.8"," ,S","",""
"UKM00003257","1979","54.3","-1.53","40.0","LEEMING, UK","       203","S","        93","S","         2","S","","","","","","","","","","","  36.1"," ,S,1115,+","","","    800.0"," ,S","",""
"UKM00003257","1980","54.3","-1.53","40.0","LEEMING, UK","       193","S","        73","S","         0","S","","","         1","S","        15","S","         0","S","","","  23.1"," ,S,0630, ","   28.0","S,0604, ","    617.7"," ,S","     12.31","S"
"UKM00003257","1981","54.3","-1.53","40.0","LEEMING, UK","       165","S","        67","S","         2","S","","","","","","","","","","","  32.0"," ,S,0424, ","","","    615.1"," ,S","",""
"UKM00003257","2003","54.3","-1.53","40.0","LEEMING, UK","","","","","","","        0","","","","","","","","    10"," ,E,0203, ","","","","","","","",""
"UKM00003257","2004","54.3","-1.53","40.0","LEEMING, UK","","","","","","","        3","","","","","","","","   100"," ,E,0101, ","","","","","","","",""
"UKM00003257","2005","54.3","-1.53","40.0","LEEMING, UK","","","","","","","        4","","","","","","","","    40"," ,E,0303,+","","","","","","","",""
"UKM00003257","2006","54.3","-1.53","40.0","LEEMING, UK","","","","","","","        1","","","","","","","","    30"," ,E,0313, ","","","","","","","",""
"UKM00003257","2007","54.3","-1.53","40.0","LEEMING, UK","       183","S","        72","S","         2","S","        0","","","","","","","","     0"," ,E,1231,+","  47.5"," ,S,0615, ","","","    673.4"," ,S","",""
"UKM00003257","2008","54.3","-1.53","40.0","LEEMING, UK","       204","S","        80","S","         5","S","","","","","","","","","","","  42.9"," ,S,0906, ","","","    802.0"," ,S","",""
"UKM00003257","2009","54.3","-1.53","40.0","LEEMING, UK","       206","S","        80","S","         3","S","","","","","","","","","","","  51.1"," ,S,0718, ","","","    706.4"," ,S","",""
"UKM00003257","2010","54.3","-1.53","40.0","LEEMING, UK","       188","S","        62","S","         2","S","","","","","","","","","","","  30.2"," ,S,0721, ","","","    520.7"," ,S","",""
"UKM00003257","2011","54.3","-1.53","40.0","LEEMING, UK","       163","S","        59","S","         0","S","","","","","","","","","","","  14.7"," ,S,0807, ","","","    448.5"," ,S","",""
"UKM00003257","2012","54.3","-1.53","40.0","LEEMING, UK","       179","S","        79","S","         3","S","        2","","","","","","","","    40"," ,E,0205, ","  57.9"," ,S,0925, ","","","    822.3"," ,S","",""
"UKM00003257","2013","54.3","-1.53","40.0","LEEMING, UK","       169","S","        69","S","         1","S","        8","","","","","","","","    70"," ,E,0126,+","  27.2"," ,S,0728, ","","","    559.9"," ,S","",""
"UKM00003257","2014","54.3","-1.53","40.0","LEEMING, UK","       202","S","        73","S","         0","S","        0","","","","","","","","     0"," ,E,1231,+","  18.8"," ,S,0605, ","","","    616.7"," ,S","",""
"UKM00003257","2015","54.3","-1.53","40.0","LEEMING, UK","       211","S","        71","S","         1","S","        0","","","","","","","","    10"," ,E,0114, ","  29.2"," ,S,1226, ","","","    722.6"," ,S","",""
"UKM00003257","2016","54.3","-1.53","40.0","LEEMING, UK","       203","S","        75","S","         1","S","        1","","","","","","","","    30"," ,E,1109, ","  25.7"," ,S,1122, ","","","    611.4"," ,S","",""
"UKM00003257","2017","54.3","-1.53","40.0","LEEMING, UK","       194","S","        75","S","         1","S","        0","","","","","","","","    10"," ,E,1217, ","  31.5"," ,S,0629, ","","","    591.0"," ,S","",""
"UKM00003257","2018","54.3","-1.53","40.0","LEEMING, UK","       180","S","        70","S","         0","S","        9","","","","","","","","   180"," ,E,0301, ","  22.6"," ,S,0921, ","","","    538.6"," ,S","",""
"UKM00003257","2019","54.3","-1.53","40.0","LEEMING, UK","       193","S","        84","S","         1","S","        2","","","","","","","","    40"," ,E,0203,+","  27.7"," ,S,0728, ","","","    686.1"," ,S","",""
"UKM00003257","2020","54.3","-1.53","40.0","LEEMING, UK","       188","S","        79","S","         1","S","        0","","","","","","","","    20"," ,E,0224, ","  31.5"," ,S,1004, ","","","    678.3"," ,S","",""
"UKM00003257","2021","54.3","-1.53","40.0","LEEMING, UK","       184","S","        62","S","         3","S","","","","","","","","","","","  29.5"," ,S,0705, ","","","    658.9"," ,S","",""
"UKM00003257","2022","54.3","-1.53","40.0","LEEMING, UK","       173","S","        65","S","         0","S","","","","","","","","","","","  21.1"," ,S,1020, ","","","    518.3"," ,S","",""
