"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040357","1980","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       241","S","       158","S","","","   46.0","S,0721,+","","","","","","","","","","","","","     29.33","S","",""
"SAM00040357","1984","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       236","S","       151","S","","","   42.4","S,0714, ","","","","","","","","","","","","","     28.03","S","",""
"SAM00040357","1985","30.907","41.138","552.6","ARAR, SA","         0","S","        10","S","         0","S","       262","S","       171","S","   -2.7","S,0305, ","   44.6","S,0822, ","-1.6","S,1205","","","0.0","S,0310","-2.7","S,0305","","","     21.83","S","     29.15","S","     14.52","S"
"SAM00040357","1986","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       251","S","       159","S","","","   45.4","S,0817, ","","","","","","","","","","","","","     29.47","S","",""
"SAM00040357","1987","30.907","41.138","552.6","ARAR, SA","         0","S","         2","S","","","","","","","   -1.8","S,1229, ","","","-1.8","S,1229","","","0.0","S,0114","","","","","","","","","     15.07","S"
"SAM00040357","1989","30.907","41.138","552.6","ARAR, SA","         0","S","        21","S","         0","S","       242","S","       168","S","   -5.1","S,0105, ","   44.2","S,0821, ","-2.3","S,1205","-2.3","S,1205","-1.2","S,0215","-3.0","S,0205","-5.1","S,0105","     21.65","S","     28.75","S","     14.56","S"
"SAM00040357","1990","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       238","S","       147","S","","","   45.0","S,0723, ","","","","","","","","","","","","","     28.74","S","",""
"SAM00040357","1995","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       245","S","       150","S","","","   45.6","S,0812, ","","","","","","","","","","","","","     28.87","S","",""
"SAM00040357","1996","30.907","41.138","552.6","ARAR, SA","         0","S","         1","S","         0","S","       255","S","       160","S","   -1.0","S,0116, ","   46.0","S,0704, ","","","","","-1.0","S,0116","","","","","     22.57","S","     29.77","S","     15.37","S"
"SAM00040357","1997","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       226","S","       160","S","","","   43.0","S,0622, ","","","","","","","","","","","","","     28.18","S","",""
"SAM00040357","1998","30.907","41.138","552.6","ARAR, SA","         0","S","         5","S","","","","","","","   -5.0","S,0221, ","","","","","","","-5.0","S,0221","-5.0","S,0221","-5.0","S,0221","","","","","     14.67","S"
"SAM00040357","2000","30.907","41.138","552.6","ARAR, SA","         0","S","        14","S","         0","S","       241","S","       161","S","   -4.0","S,0208, ","   47.0","S,0815,+","0.0","S,1227","","","-1.8","S,0210","-3.0","S,0209","","","     22.08","S","     29.83","S","     14.32","S"
"SAM00040357","2001","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       269","S","       176","S","","","   48.0","S,0811, ","","","","","","","","","","","","","     30.55","S","",""
"SAM00040357","2003","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       272","S","       181","S","","","   48.2","S,0809,+","","","","","","","","","","","","","     30.70","S","",""
"SAM00040357","2005","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       290","S","       180","S","","","   47.2","S,0720,+","","","","","","","","","","","","","     30.74","S","",""
"SAM00040357","2007","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       261","S","       168","S","","","   47.4","S,0730, ","","","","","","","","","","","","","     30.61","S","",""
"SAM00040357","2008","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       279","S","       180","S","","","   46.2","S,0907,+","","","","","","","","","","","","","     31.07","S","",""
"SAM00040357","2009","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       289","S","       173","S","","","   47.2","S,0822,+","","","","","","","","","","","","","     31.01","S","",""
"SAM00040357","2010","30.907","41.138","552.6","ARAR, SA","","","","","         0","S","       304","S","       184","S","","","   49.0","S,0713, ","","","","","","","","","","","","","     33.01","S","",""
