"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"BDM00078016","1949","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1446.7","","    1446.7","X","       142","X","        90","X","        10","X","        0","","         0","X","         0","X","         0","X","         0","X","       298","X","         0","X","         1"," ","","","        16"," ","   10.6","X,0212, ","     0"," ,X,1231,+","     0","T,X,0924,+","  62.2"," ,X,0601, ","   31.7","X,0823,+","","","","","   1077.2"," ,X","        0","T,X","     22.04","X","     24.49","X","     19.60","X","","","",""
"BDM00078016","1950","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1485.2","","    1485.2","X","       144","X","        86","X","        11","X","        0","","         0","X","         0","X","         0","X","         0","X","       304","X","         0","X","","","","","        20"," ","    6.7","X,0228,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  84.3"," ,X,0306, ","   31.7","X,0906,+","     131.4","4","     131.4","X","   1225.0"," ,X","        0"," ,X","     22.04","X","     24.75","X","     19.32","X","","","",""
"BDM00078016","1951","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1476.9","","    1476.9","X","       165","X","       100","X","        11","X","        0","","         0","X","         0","X","         0","X","         0","X","       285","X","         0","X","         4"," ","","","        29"," ","    7.2","X,0311, ","     0"," ,X,1231,+","     0","T,X,0605,+","  84.8"," ,X,1017, ","   31.7","X,0906,+","     148.2","2","     148.2","X","   1331.7"," ,X","        0","T,X","     21.92","X","     24.55","X","     19.30","X","","","",""
"BDM00078016","1952","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1500.8","","    1500.8","X","       164","X","        79","X","         7","X","        0","","         0","X","         0","X","         0","X","         0","X","       282","X","         3","X","         3"," ","","","        25"," ","    9.4","X,0317, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  37.1"," ,X,0624,+","   32.8","X,0803, ","     129.9","9","     129.9","X","    953.6"," ,X","        0"," ,X","     22.05","X","     24.50","X","     19.61","X","","","",""
"BDM00078016","1953","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1507.0","","    1507.0","X","       155","X","        84","X","        13","X","        0","","         0","X","         0","X","         0","X","         0","X","       284","X","         0","X","         1"," ","","","        26"," ","   10.0","X,0309, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  76.5"," ,X,1022, ","   31.7","X,0820,+","     102.1","1","     102.1","X","   1257.6"," ,X","        0"," ,X","     22.23","X","     24.31","X","     20.14","X","","","",""
"BDM00078016","1954","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1584.0","","    1584.0","X","       152","X","        93","X","        10","X","        0","","         0","X","         0","X","         0","X","         0","X","       296","X","         0","X","         1"," ","","","        23"," ","    9.4","X,0214,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  70.4"," ,X,0620, ","   31.7","X,0912,+","     100.5","5","     100.5","X","   1116.5"," ,X","        0"," ,X","     22.37","X","     24.49","X","     20.24","X","","","",""
"BDM00078016","1955","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1387.1","","    1387.1","X","       172","X","        92","X","        10","X","        0","","         0","X","         0","X","         0","X","         0","X","       267","X","         0","X","         1"," ","","","        32"," ","    7.8","X,0114, ","     0"," ,X,1231,+","     0","T,X,1229,+","  55.6"," ,X,1014, ","   31.1","X,0826,+","     157.3","3","     157.3","X","   1187.5"," ,X","        0","T,X","     21.57","X","     23.68","X","     19.47","X","","","",""
"BDM00078016","1956","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1456.6","","    1456.6","X","       151","X","        88","X","        10","X","        0","","         0","X","         0","X","         0","X","         0","X","       280","X","         0","X","         2"," ","","","        24"," ","   10.6","X,0103, ","     0"," ,X,1231,+","     0","T,X,0111,+","  75.7"," ,X,1012, ","   31.1","X,0822, ","     189.2","2","     189.2","X","   1204.2"," ,X","        0","T,X","     21.90","X","     23.95","X","     19.86","X","","","",""
"BDM00078016","1957","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1260.8","","    1260.8","X","       169","X","       100","X","        15","X","        0","","         0","X","         0","X","         0","X","         0","X","       276","X","         0","X","         1"," ","","","        39"," ","   10.0","X,0311, ","     0"," ,X,1231,+","     0"," ,X,1231,+"," 123.2"," ,X,1101, ","   29.4","X,0909,+","      94.9","9","      94.9","X","   1688.4"," ,X","        0"," ,X","     21.49","X","     23.32","X","     19.65","X","","","",""
"BDM00078016","1958","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","   1372.9","","    1372.9","X","       183","X","       108","X","        16","X","        0","","         0","X","         0","X","         0","X","         0","X","       239","X","         0","X","        26"," ","","","        22"," ","   10.0","X,0322,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  79.0"," ,X,0417, ","   31.7","X,0727, ","     259.7","7","     259.7","X","   1552.1"," ,X","        0"," ,X","     21.33","X","     23.13","X","     19.53","X","","","      39.6","X"
