"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00024215","1997","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","","","    108.4","","     108.4","M","","","","","","","         0","M","       107","M","         1","M","       133","M","        11","M","","","","","  -13.9","M,0113, ","","","   35.6","M,0807, ","0.0","M,1013","-3.9","M,1025","-5.0","M,1202","-6.7","M,1211","","","-1.1","M,0502","-3.3","M,0407","-4.4","M,0312","-7.2","M,0304","-10.0","M,0123","    3033.0","0","","","","","     10.32","M","     17.04","M","      3.60","M","","","","","","","",""
"USW00024215","1998","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","","","    201.4","","     201.4","W","","","","","","","         1","W","        97","W","         7","W","       119","W","        25","W","","","","","  -17.8","W,1221, ","","","   36.7","W,0804, ","0.0","W,1016","-2.2","W,1017","-4.4","W,1119","-7.2","W,1204","-10.0","W,1205","0.0","W,0518","-3.3","W,0416","-4.4","M,0309","-6.7","M,0105","","","    3280.1","1","    3280.1","W","","","      9.49","W","     15.40","W","      3.57","W","","","","","","","",""
"USW00024215","1999","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.8","W","     91.7","","      91.7","W","        96","W","        51","W","         8","W","         0","W","       140","W","         1","W","       141","W","         8","W","","","","","  -10.6","W,0210, ","  55.6"," ,W,0206, ","   36.1","W,0712, ","-0.6","W,1017","-2.2","W,1029","-6.1","W,1122","","","","","-2.8","W,0516","-2.8","W,0516","-4.4","W,0409","-6.7","W,0331","-8.9","W,0211","    3467.7","7","    3467.7","W","    744.7"," ,W","      9.63","W","     16.60","W","      2.66","W","       310","W","       340","W","      10.3","W","      17.4","W"
"USW00024215","2000","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.6","W","    135.1","","     135.1","W","       112","W","        65","W","        13","W","         0","W","       126","W","         2","W","       134","W","         9","W","","","","","   -8.3","W,1111, ","  77.2"," ,W,0222, ","   34.4","W,0802, ","-0.6","W,0923","-2.2","W,1023","-6.1","W,1110","-8.3","W,1111","","","-2.8","W,0512","-2.8","W,0512","-5.0","W,0301","-7.2","W,0128","","","    3009.0","0","    3009.0","W","   1044.1"," ,W","      9.96","W","     16.74","W","      3.17","W","       360","W","        10","W","      10.3","W","      15.6","W"
"USW00024215","2001","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.6","W","    166.1","","     166.1","W","       105","W","        61","W","        12","W","         0","W","       131","W","         2","W","       154","W","        21","W","","","","","  -10.6","W,0214, ","  66.5"," ,W,0304, ","   35.6","W,0808,+","-1.7","W,1024","-3.9","W,1107","-6.7","W,1126","-6.7","W,1126","-8.9","W,1127","0.0","W,0604","-2.2","W,0429","-6.1","W,0408","-7.2","W,0228","-10.6","W,0214","    3205.5","5","    3205.5","W","   1005.2"," ,W","     10.38","W","     17.30","W","      3.45","W","       340","W","       360","W","      10.3","W","      65.7","W"
"USW00024215","2002","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.7","W","    176.4","","     176.4","W","        85","W","        51","W","        11","W","         0","W","       131","W","         1","W","       151","W","        19","W","","","","","  -13.9","W,0128, ","  86.1"," ,W,1107, ","   38.3","W,0710, ","-0.6","W,1011","-2.2","W,1012","-5.6","W,1030","-9.4","W,1101","-9.4","W,1101","0.0","W,0523","-3.9","W,0326","-7.8","W,0318","-7.8","W,0318","-9.4","W,0308","    3081.5","5","    3081.5","W","    905.0"," ,W","     10.32","W","     17.75","W","      2.88","W","       340","W","       190","W","       9.8","W","      17.9","W"
"USW00024215","2003","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.5","W","    220.2","","     220.2","W","       102","W","        63","W","        12","W","         0","W","       114","W","         1","W","       151","W","        28","W","","","","","  -10.0","W,1227, ","  71.4"," ,W,1108, ","   36.7","W,0730, ","0.0","W,1011","-5.6","W,1031","-5.6","W,1031","-8.3","W,1101","-8.9","W,1226","-1.7","W,0519","-2.2","W,0419","-4.4","W,0415","-7.2","W,0226","","","    2997.7","7","    2997.7","W","    993.0"," ,W","     10.62","W","     17.39","W","      3.84","W","       360","W","       360","W","      10.3","W","      16.1","W"
"USW00024215","2004","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.6","W","    155.5","","     155.5","W","        91","W","        52","W","        10","W","         0","W","       125","W","         0","W","       155","W","        19","W","","","","","  -11.7","W,0103, ","  98.6"," ,W,0217, ","   35.6","W,0723, ","0.0","W,0921","-3.3","W,1025","-4.4","W,1120","-6.7","W,1128","-8.9","W,1129","-0.6","W,0512","-3.3","W,0303","-6.7","W,0210","-6.7","W,0210","-8.9","W,0105","    2907.6","6","    2907.6","W","   1047.9"," ,W","     10.53","W","     17.73","W","      3.33","W","       340","W","       320","W","       9.8","W","      15.6","W"
"USW00024215","2005","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.4","B","    144.7","","     144.7","B","       108","B","        68","B","        16","B","         0","B","       131","B","         0","B","       133","B","        18","B","","","","","   -9.4","B,0113, ","  63.0"," ,B,1230, ","   35.0","B,0718, ","-1.1","B,0925","-2.2","B,1002","-5.0","B,1126","-8.3","B,1130","","","0.0","W,0521","-3.3","W,0414","-4.4","W,0325","-9.4","W,0113","-9.4","W,0113","    3192.3","3","    3192.3","B","   1223.1"," ,B","      9.94","B","     16.93","B","      2.94","B","        40","B","       310","B","       9.4","B","      13.9","B"
"USW00024215","2006","41.314893","-122.317127","1083.0","MOUNT SHASTA, CA US","       1.2","W","    201.5","","     201.5","W","       119","W","        76","W","        13","W","         0","W","       132","W","         3","W","       144","W","        24","W","       133"," ","        28"," ","  -11.0","W,0219, ","  69.6"," ,W,1226, ","   36.7","W,0723, ","0.0","W,0916","-2.7","W,1026","-5.5","W,1112","-10.5","W,1129","-10.5","W,1129","-1.6","W,0419","-3.8","W,0418","-8.2","W,0312","-8.2","W,0312","-9.3","W,0310","    3215.2","2","    3215.2","W","   1217.8"," ,W","     10.18","W","     17.13","W","      3.23","W","       340","W","       310","W","       9.8","W","      17.9","W"
