"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017270","2000","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         0","S","       223","S","       119","S","","","","","   46.8","S,0730, ","","","","","","","","","","","","","     25.04","S","",""
"TUM00017270","2001","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         0","S","       217","S","       125","S","","","","","   44.0","S,0725, ","","","","","","","","","","","","","     24.98","S","",""
"TUM00017270","2002","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         0","S","       209","S","       117","S","","","","","   43.4","S,0721,+","","","","","","","","","","","","","     24.84","S","",""
"TUM00017270","2003","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         0","S","       202","S","       120","S","","","","","   44.3","S,0705, ","","","","","","","","","","","","","     24.62","S","",""
"TUM00017270","2004","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         1","S","       216","S","       122","S","","","","","   43.3","S,0730, ","","","","","","","","","","","","","     24.72","S","",""
"TUM00017270","2006","37.094","38.847","452.0","SANLIURFA, TU","        64","S","        30","S","         0","S","","","","","","","","","","","","","  24.4"," ,S,0121, ","","","","","","","","","","","","","    297.2"," ,S","","","",""
"TUM00017270","2009","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         0","S","       206","S","       121","S","","","","","   41.5","S,0723,+","","","","","","","","","","","","","     24.67","S","",""
"TUM00017270","2010","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         0","S","       247","S","       128","S","","","","","   45.2","S,0731, ","","","","","","","","","","","","","     26.77","S","",""
"TUM00017270","2011","37.094","38.847","452.0","SANLIURFA, TU","        78","S","        44","S","         3","S","","","","","         0","S","       205","S","       114","S","","","  39.1"," ,S,0412, ","   44.5","S,0728, ","","","","","","","","","","","    431.8"," ,S","     24.33","S","",""
"TUM00017270","2012","37.094","38.847","452.0","SANLIURFA, TU","        93","S","        57","S","         4","S","","","","","         0","S","       216","S","       125","S","","","  30.2"," ,S,0131, ","   44.2","S,0718, ","","","","","","","","","","","    635.7"," ,S","     25.16","S","",""
"TUM00017270","2013","37.094","38.847","452.0","SANLIURFA, TU","        73","S","        35","S","         4","S","         0"," ","         8","S","","","","","","","   -3.0","S,0111, ","  33.8"," ,S,0131, ","","","-0.4","S,1209","-2.5","S,1210","-3.0","S,0111","-3.0","S,0111","","","    412.5"," ,S","","","     13.88","S"
"TUM00017270","2014","37.094","38.847","452.0","SANLIURFA, TU","        84","S","        35","S","         2","S","","","","","","","","","","","","","  53.1"," ,S,0310, ","","","","","","","","","","","","","    414.2"," ,S","","","",""
"TUM00017270","2015","37.094","38.847","452.0","SANLIURFA, TU","        79","S","        35","S","         3","S","         0","S","         5","S","","","","","","","   -3.1","S,0110, ","  37.8"," ,S,0106, ","","","","","","","-0.6","S,0221","-3.1","S,0110","","","    390.2"," ,S","","","     13.99","S"
"TUM00017270","2016","37.094","38.847","452.0","SANLIURFA, TU","        62","S","        30","S","         0","S","","","","","","","","","","","","","  24.6"," ,S,1214, ","","","","","","","","","","","","","    324.2"," ,S","","","",""
"TUM00017270","2017","37.094","38.847","452.0","SANLIURFA, TU","        54","S","        19","S","         2","S","","","","","","","","","","","","","  34.0"," ,S,0303, ","","","","","","","","","","","","","    202.9"," ,S","","","",""
"TUM00017270","2019","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","         0"," ","         4","S","","","","","","","   -1.2","S,0110, ","","","","","","","","","-0.6","S,0120","","","","","","","","","     14.32","S"
"TUM00017270","2020","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","         0","S","         6","S","","","","","","","   -5.0","S,0210, ","","","","","","","","","-3.5","S,0214","-3.5","S,0214","-4.7","S,0211","","","","","     14.64","S"
"TUM00017270","2022","37.094","38.847","452.0","SANLIURFA, TU","","","","","","","","","","","         0","S","       218","S","       123","S","","","","","   43.2","S,0805, ","","","","","","","","","","","","","     25.31","S","",""
