"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSRS","1992","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","","","","","         0","U","         8","U","","","","","","","   -1.7","U,0120, ","","","0.0","U,1225","","","0.0","U,0124","","","","","","","","","","","      9.18","U"
"USR0000CSRS","1993","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","    257.8","","     257.8","U","         0","U","        10","U","         0","U","       156","U","        21","U","   -2.2","U,1223,+","   37.8","U,0801,+","-1.7","U,1220","-2.2","U,1223","-2.2","U,0111","-2.2","U,0111","","","","","     14.59","U","     20.20","U","      8.99","U"
"USR0000CSRS","1994","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","    128.6","","     128.6","U","         0","U","         2","U","         0","U","       177","U","        11","U","   -2.2","U,1230, ","   34.4","U,0806,+","-0.6","U,1209","-2.2","U,1230","","","","","    1558.0","0","    1558.0","U","     13.91","U","     19.83","U","      7.99","U"
"USR0000CSRS","1995","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","    1812.8","8","    1812.8"," ","","","","","",""
"USR0000CSRS","1996","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","    303.3","","     303.3","U","         0","U","         2","U","         0","U","       187","U","        30","U","   -0.6","U,0225, ","   37.8","U,1008, ","","","","","0.0","U,0226","","","","","","","     15.31","U","     21.29","U","      9.32","U"
"USR0000CSRS","1997","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","    289.5","","     289.5","U","         0","U","         2","U","         0","U","       193","U","        21","U","    0.0","U,0114,+","   36.1","U,0924,+","","","","","0.0","U,0114","","","    1301.1","1","    1301.1","U","     15.48","U","     21.31","U","      9.64","U"
"USR0000CSRS","1998","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","    1663.2","2","    1663.2"," ","","","","","",""
"USR0000CSRS","2000","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","    272.6","","     272.6","U","         0","U","         0","U","         0","U","       175","U","        30","U","    0.6","U,1114, ","   42.8","U,0614, ","","","","","","","","","","","","","     14.90","U","     21.02","U","      8.78","U"
"USR0000CSRS","2001","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","    329.9","","     329.9","U","         0","U","         0","U","         0","U","       195","U","        36","U","    0.6","U,0403, ","   39.4","U,0703, ","","","","","","","","","    1527.6","6","    1527.6","U","     15.28","U","     21.76","U","      8.79","U"
"USR0000CSRS","2002","38.4786","-122.7119","175.6","SANTA ROSA CALIFORNIA, CA US","    281.7","","     281.7","U","         0","U","         3","U","         0","U","       193","U","        31","U","   -1.7","U,0129, ","   38.9","U,0709, ","","","","","0.0","U,0308","","","    1518.1","1","    1518.1","U","     15.01","U","     21.53","U","      8.49","U"
