"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"KSW00043245","1953","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","","","        36"," ","         3"," ","","","","","",""
"KSW00043245","1954","37.916667","127.05","60.0","TONGDUCHON A 220, KS","        90","X","        69","X","        16","X","        3","","","","","","   127"," ,X,0201, ","  73.7"," ,X,0725, ","   1265.0"," ,X"
"KSW00043245","1955","37.916667","127.05","60.0","TONGDUCHON A 220, KS","        94","X","        63","X","        15","X","        8","","","","","","    76"," ,X,0130, "," 143.0"," ,X,0703, ","   1375.3"," ,X"
"KSW00043245","1957","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","       29","","","","","","   127"," ,X,0116,+","","","",""
"KSW00043245","1958","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","       31","","","","","","   127"," ,X,0212, ","","","",""
"KSW00043245","1959","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","        3","","","","","","    25"," ,X,0105,+","","","",""
"KSW00043245","1960","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","        0","","","","","","     0","T,X,1212,+","","","",""
"KSW00043245","1961","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","       14","","","","","","   102"," ,X,0125, ","","","",""
"KSW00043245","1962","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","       16","","","","","","    76"," ,X,0218, ","","","",""
"KSW00043245","1963","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","       49","","","","","","   102"," ,X,0226, ","","","",""
"KSW00043245","1964","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","        8","","","","","","    76"," ,X,0210,+","","","",""
"KSW00043245","1965","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","        1","","","","","","    51"," ,X,0118, ","","","",""
"KSW00043245","1966","37.916667","127.05","60.0","TONGDUCHON A 220, KS","","","","","","","        2","","","","","","   102"," ,X,0222, ","","","",""
