"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00021353","1964","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1748.3","","    1748.3","0","        27","0","        22","0","         5","0","        0","","         0","0","         0","0","         8","0","         0","0","       261","0","       153","0","","","   -2.8","0,0116,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.8"," ,0,0802, ","   42.8","0,0703, ","","","","","","","-1.1","0,0215","-2.8","0,0116","","","","","     936.7","7","     936.7","0","    339.1"," ,0","        0"," ,0","     20.30","0","     27.88","0","     12.72","0"
"USC00021353","1965","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1659.3","","    1659.3","0","        51","0","        44","0","        11","0","        0","","         0","0","         0","0","         5","0","         0","0","       279","0","       151","0","","","   -2.2","0,0303,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.9"," ,0,1210, ","   43.3","0,0704, ","","","","","","","-2.2","0,0303","-2.2","0,0303","","","","","     913.6","6","     913.6","0","    781.3"," ,0","        0"," ,0","     20.54","0","     27.97","0","     13.11","0"
"USC00021353","1966","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1992.6","","    1992.6","0","        26","0","        24","0","         5","0","        0","","         0","0","         0","0","        18","0","         0","0","       300","0","       164","0","","","   -3.3","0,0303, ","     0"," ,0,1231,+","     0","T,0,0302, "," 101.6"," ,0,0912, ","   44.4","0,0706,+","0.0","0,1227","","","","","-0.6","0,0305","-2.2","0,0304","","","","","     793.3","3","     793.3","0","    427.0"," ,0","        0","T,0","     21.56","0","     29.63","0","     13.49","0"
"USC00021353","1967","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1709.9","","    1709.9","0","        37","0","        32","0","         3","0","        0","","         0","0","         0","0","        12","0","         0","0","       294","0","       149","0","         1"," ","   -2.8","0,1222, ","     0"," ,0,1231,+","     0","T,0,1214,+","  64.8"," ,0,1219, ","   43.9","0,0702, ","0.0","0,1216","-2.2","0,1221","","","0.0","0,0110","-2.2","0,0103","","","","","     766.3","3","     766.3","0","    444.5"," ,0","        0","T,0","     20.59","0","     28.70","0","     12.48","0"
"USC00021353","1968","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     777.2","2","     777.2","0","","","","","","","","","",""
"USC00021353","1969","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1873.7","","    1873.7","0","        47","0","        35","0","         3","0","        0","","         0","0","         0","0","         8","0","         0","0","       278","0","       146","0","","","   -1.1","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.8"," ,0,0311, ","   44.4","0,0821,+","0.0","0,1227","","","","","-0.6","0,0308","","","","","","","","","","","    341.8"," ,0","        0"," ,0","     21.04","0","     28.69","0","     13.39","0"
"USC00021353","1970","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1727.4","","    1727.4","0","        31","0","        20","0","         4","0","        0","","         0","0","         0","0","         8","0","         0","0","       292","0","       142","0","","","   -2.8","0,0108,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  89.9"," ,0,0905, ","   46.7","0,0624, ","","","","","","","-2.8","0,0108","-2.8","0,0108","","","","","     824.8","8","     824.8","0","    375.0"," ,0","        0"," ,0","     20.80","0","     28.78","0","     12.81","0"
"USC00021353","1971","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1691.9","","    1691.9","0","        29","0","        20","0","         0","0","        0","","         0","0","         0","0","        21","0","         0","0","       277","0","       133","0","","","   -8.3","0,0107,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  18.3"," ,0,0803, ","   45.0","0,0711, ","0.0","0,1030","","","","","-4.4","0,0302","-4.4","0,0302","-4.4","0,0302","-8.3","0,0107","     797.9","9","     797.9","0","    184.0"," ,0","        0"," ,0","     20.36","0","     28.28","0","     12.43","0"
"USC00021353","1972","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1903.6","","    1903.6","0","        27","0","        22","0","         6","0","        0","","         0","0","         0","0","         9","0","         0","0","       290","0","       151","0","","","   -2.2","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.3"," ,0,1228, ","   46.7","0,0706, ","-1.7","0,1212","","","","","-1.1","0,0203","-2.2","0,0105","","","","","     807.9","9","     807.9","0","    392.9"," ,0","        0"," ,0","     21.27","0","     28.97","0","     13.58","0"
"USC00021353","1973","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1889.3","","    1889.3","0","        34","0","        24","0","         1","0","        0","","         0","0","         0","0","         8","0","         0","0","       252","0","       163","0","","","   -1.7","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.7"," ,0,0307, ","   47.2","0,0627, ","0.0","0,1203","","","","","0.0","0,0128","","","","","","","    1184.6","6","    1184.6","0","    228.2"," ,0","        0"," ,0","     20.57","0","     28.50","0","     12.64","0"
"USC00021353","1974","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1781.2","","    1781.2","0","        26","0","        23","0","         4","0","        0","","         0","0","         0","0","        13","0","         0","0","       285","0","       154","0","","","   -3.9","0,1225, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  47.8"," ,0,0718, ","   45.6","0,0627,+","-0.6","0,1214","-3.3","0,1224","","","0.0","0,0221","-2.2","0,0103","","","","","     835.2","2","     835.2","0","    344.9"," ,0","        0"," ,0","     20.76","0","     28.89","0","     12.63","0"
"USC00021353","1975","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1665.2","","    1665.2","0","        19","0","        16","0","         1","0","        0","","         0","0","         0","0","        20","0","         0","0","       284","0","       144","0","         4"," ","   -3.9","0,1121, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0407, ","   44.4","0,0804, ","-0.6","0,1117","-3.9","0,1121","","","0.0","0,0328","-2.2","0,0104","","","","","    1078.1","1","    1078.1","0","    205.5"," ,0","        0"," ,0","     20.07","0","     28.24","0","     11.90","0"
"USC00021353","1976","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     853.8","8","     853.8","0","","","","","","","","","",""
"USC00021353","1978","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","   1806.0","","    1806.0","0","        48","0","        44","0","        11","0","        0","","         0","0","         0","0","        12","0","         0","0","       265","0","       152","0","         2"," ","   -4.4","0,1207, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.1"," ,0,0228, ","   45.0","0,0719, ","0.0","0,1204","-4.4","0,1207","-4.4","0,1207","0.0","0,0219","","","","","","","     690.9","9","     690.9","0","    827.0"," ,0","        0"," ,0","     20.67","0","     28.31","0","     13.03","0"
"USC00021353","1979","33.9826","-112.3628","606.6","CASTLE HOT SPRINGS, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1127.4","4","    1127.4","0","","","","","","","","","",""
