"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES"
"USC00041194","1940","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    447.0","","     447.0","0","        47","0","        29","0","        12","0","        0","","         0","0","         0","0","         5","0","         0","0","       268","0","        40","0","         4"," ","","","         6"," ","    0.0","0,0313,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.2"," ,0,1216, ","   40.6","0,0710, ","","","","","","","0.0","0,0313","","","","","","","","","    603.3"," ,0","        0"," ,0","     17.23","0","     24.77","0","      9.70","0","","","",""
"USC00041194","1941","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    482.9","","     482.9","0","        72","0","        48","0","        11","0","        0","","         0","0","         0","0","         2","0","         0","0","       256","0","        48","0","        32"," ","","","         9"," ","    0.0","0,1225,+","     0"," ,0,1231,+","     0","T,0,1230,+","  64.5"," ,0,0228, ","   38.9","0,0719, ","0.0","0,1120","","","","","","","","","","","     879.0","0","     879.0","0","    953.3"," ,0","        0","T,0","     17.08","0","     24.29","0","      9.88","0","","","",""
"USC00041194","1942","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    524.0","","     524.0","0","        32","0","        17","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       261","0","        47","0","        20"," ","","","         1"," ","   -2.8","0,0215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,1028, ","   40.6","0,0520, ","","","","","","","-2.8","0,0215","-2.8","0,0215","","","     997.7","7","     997.7","0","    184.2"," ,0","        0"," ,0","     17.12","0","     24.70","0","      9.54","0","","","",""
"USC00041194","1943","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        27"," ","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","     802.4","4","     802.4","0","","","","","","","","","","","","","",""
"USC00041194","1944","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    396.9","","     396.9","0","        47","0","        26","0","         7","0","        0","","         0","0","         0","0","         5","0","         0","0","       259","0","        32","0","        33"," ","","","         3"," ","   -1.1","0,0126, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  91.7"," ,0,0220, ","   43.9","0,0826, ","","","","","","","0.0","0,0315","","","","","","","","","    530.9"," ,0","        0"," ,0","     16.62","0","     23.99","0","      9.25","0","","","",""
"USC00041194","1945","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    629.3","","     629.3","0","        36","0","        23","0","         3","0","        0","","         0","0","         0","0","         4","0","         0","0","       253","0","        65","0","       101"," ","","","         6"," ","   -1.7","0,1213, ","     0"," ,0,1231,+","     0","T,0,0719, ","  49.3"," ,0,1221,+","   40.6","0,0903, ","-1.7","0,1213","","","","","0.0","0,0305","","","","","    1039.3","3","    1039.3","0","    300.4"," ,0","        0","T,0","     17.15","0","     24.47","0","      9.82","0","","","",""
"USC00041194","1946","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    649.0","","     649.0","0","        40","0","        24","0","         5","0","        0","","         0","0","         0","0","         5","0","         0","0","       251","0","        60","0","       134"," ","","","         7"," ","   -1.1","0,0111, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.2"," ,0,1225, ","   38.9","0,0913, ","","","","","","","-0.6","0,0210","","","","","     980.5","5","     980.5","0","    450.5"," ,0","        0"," ,0","     17.27","0","     24.88","0","      9.66","0","","","",""
"USC00041194","1947","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    649.0","","     649.0","0","        26","0","        11","0","         0","0","        0","","         0","0","         0","0","         5","0","         0","0","       267","0","        60","0","       109"," ","","","         3"," ","   -0.6","0,1231, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.8"," ,0,1204, ","   41.7","0,0901, ","-0.6","0,1231","","","","","0.0","0,0129","","","","","     894.4","4","     894.4","0","     89.7"," ,0","        0"," ,0","     17.70","0","     25.35","0","     10.04","0","","","",""
"USC00041194","1948","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    468.3","","     468.3","0","        31","0","        19","0","         2","0","        0","","         0","0","         0","0","         9","0","         0","0","       254","0","        36","0","       113"," ","","","         3"," ","   -2.8","0,1224,+","     0"," ,0,1231,+","     0","T,0,0205, ","  31.0"," ,0,0324, ","   43.3","0,0910, ","-1.1","0,1215","-2.8","0,1224","","","-2.8","0,0213","-2.8","0,0213","","","    1098.6","6","    1098.6","0","    195.3"," ,0","        0","T,0","     16.53","0","     24.07","0","      8.98","0","","","",""
"USC00041194","1949","34.1866","-118.348","199.6","BURBANK VALLEY PUMP PLANT, CA US","    607.6","","     607.6","0","        43","0","        23","0","         1","0","        0","","         2","0","         0","0","        14","0","         0","0","       242","0","        39","0","       104"," ","","","         1"," ","   -2.2","0,0105,+","     0","T,0,0111, ","    64"," ,0,0110, ","  30.5"," ,0,1218, ","   40.0","0,0907, ","-1.1","0,1212","","","","","0.0","0,0215","-2.2","0,0105","","","    1230.9","9","    1230.9","0","    207.3"," ,0","      120"," ,0","     16.84","0","     23.53","0","     10.16","0","","","",""
