"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00035110","1951","34.1452","-93.7138","132.6","NARROWS DAM, AR US","   1017.6","","    1017.6","0","       112","0","        77","0","        19","0","        1","","         1","0","         0","0","        80","0","         5","0","       222","0","        84","0","  -12.8","0,0201, ","   127"," ,0,0201, ","   127"," ,0,0201, ","  83.8"," ,0,0113, ","   40.6","0,0901,+","-8.3","0,1103","-8.3","0,1103","-8.3","0,1103","-8.3","0,1103","-9.4","0,1216","-2.8","0,0417","-2.8","0,0417","-6.1","0,0209","-10.6","0,0205","-10.6","0,0205","","","","","   1451.0"," ,0","      127"," ,0","     16.02","0","     23.50","0","      8.54","0","     21668","0"
"USC00035110","1952","34.1452","-93.7138","132.6","NARROWS DAM, AR US","   1075.6","","    1075.6","0","        81","0","        63","0","        15","0","        0","","         0","0","         0","0","        85","0","         0","0","       229","0","       114","0","   -7.8","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.5"," ,0,1125, ","   38.9","0,0817,+","-0.6","0,1008","-3.3","0,1023","-4.4","0,1111","-6.7","0,1128","","","0.0","0,0415","-3.3","0,0324","-4.4","0,0221","","","","","    1677.4","4","    1677.4","0","   1364.2"," ,0","        0"," ,0","     16.53","0","     24.62","0","      8.43","0","",""
"USC00035110","1953","34.1452","-93.7138","132.6","NARROWS DAM, AR US","","","","","        88","0","        63","0","        20","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 131.3"," ,0,0721, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1488.3"," ,0","        0"," ,0","","","","","","","",""
"USC00035110","1954","34.1452","-93.7138","132.6","NARROWS DAM, AR US","","","","","        78","0","        56","0","        10","0","        0","","         0","0","         0","0","        85","0","","","","","","","   -9.4","0,0111, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 133.1"," ,0,1001, ","","","-1.7","0,1030","-3.3","0,1103","-4.4","0,1120","-7.2","0,1206","","","-0.6","0,0402","-2.8","0,0401","-5.6","0,0316","-7.2","0,0315","-8.9","0,0112","    1596.1","1","    1596.1","0","   1145.2"," ,0","        0"," ,0","","","","","      9.25","0","     25369","0"
"USC00035110","1955","34.1452","-93.7138","132.6","NARROWS DAM, AR US","","","","","        88","0","        70","0","        15","0","        0","","         0","0","         0","0","        89","0","","","","","","","  -12.2","0,1217,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  91.4"," ,0,0321, ","","","-0.6","0,1031","-2.2","0,1104","-5.0","0,1117","-6.7","0,1130","-8.9","0,1213","0.0","0,0401","-4.4","0,0329","-4.4","0,0329","-8.9","0,0327","-8.9","0,0327","","","","","   1338.4"," ,0","        0"," ,0","","","","","      8.99","0","     39680","0"
"USC00035110","1958","34.1452","-93.7138","132.6","NARROWS DAM, AR US","","","","","       100","0","        70","0","        25","0","        0","","         1","0","","","","","         2","0","       214","0","        82","0","","","     0"," ,0,1231,+","    89"," ,0,1213, "," 127.0"," ,0,0502, ","   36.7","0,0830,+","","","","","","","","","","","","","","","","","","","","","","","","","   1794.8"," ,0","       89"," ,0","","","     22.80","0","","","     17707","0"
"USC00035110","1959","34.1452","-93.7138","132.6","NARROWS DAM, AR US","   1029.4","","    1029.4","0","        96","0","        73","0","        14","0","        0","","         0","0","         0","0","        96","0","         2","0","       228","0","        74","0","  -13.3","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  95.0"," ,0,0214, ","   36.1","0,0831,+","-3.3","0,1106","-3.3","0,1106","-7.2","0,1107","-7.2","0,1107","-8.9","0,1118","-1.1","0,0414","-2.2","0,0323","-4.4","0,0322","-6.7","0,0222","-10.0","0,0124","    1892.6","6","    1892.6","0","   1354.6"," ,0","        0"," ,0","     15.97","0","     23.31","0","      8.63","0","     19272","0"
"USC00035110","1960","34.1452","-93.7138","132.6","NARROWS DAM, AR US","    961.8","","     961.8","0","        84","0","        75","0","        14","0","        4","","         0","0","         0","0","       104","0","         3","0","       226","0","        95","0","  -10.0","0,1223,+","   102"," ,0,0225, ","     0"," ,0,1231,+"," 104.1"," ,0,0627, ","   38.3","0,0808, ","-1.1","0,1021","-2.2","0,1106","-7.2","0,1111","-7.2","0,1111","-9.4","0,1202","0.0","0,0418","-2.8","0,0320","-4.4","0,0319","-6.7","0,0318","-9.4","0,0214","    2008.0","0","    2008.0","0","   1252.4"," ,0","        0"," ,0","     15.36","0","     23.15","0","      7.57","0","     18562","0"
"USC00035110","1961","34.1452","-93.7138","132.6","NARROWS DAM, AR US","    831.6","","     831.6","0","       106","0","        78","0","        17","0","        0","","         0","0","         0","0","        87","0","         3","0","       225","0","        61","0","  -12.2","0,0130, ","     0"," ,0,1231,+","     0","T,0,0225,+"," 126.5"," ,0,0506, ","   36.7","0,0811,+","0.0","0,1020","-4.4","0,1109","-4.4","0,1109","-9.4","0,1213","-9.4","0,1213","-0.6","0,0417","-2.2","0,0416","-4.4","0,0211","-8.9","0,0131","-8.9","0,0131","    1804.3","3","    1804.3","0","   1654.0"," ,0","        0","T,0","     15.50","0","     22.85","0","      8.16","0","",""
"USC00035110","1962","34.1452","-93.7138","132.6","NARROWS DAM, AR US","","","","","        99","0","        75","0","        17","0","        6","","         3","0","         2","0","        84","0","","","","","","","  -21.7","0,0112, ","   152"," ,0,0110, ","   102"," ,0,0110, "," 120.7"," ,0,0901, ","","","-2.2","0,1104","-2.2","0,1104","-5.6","0,1210","-11.7","0,1212","-11.7","0,1212","-0.6","0,0416","-2.2","0,0403","-4.4","0,0402","-7.2","0,0306","-14.4","0,0114","","","","","   1369.3"," ,0","      191"," ,0","","","","","      8.74","0","",""
