"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AGE00147710","1910","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        90","E","        71","E","        15","E","","","","","         0","E","       201","E","        13","E","","","  96.0"," ,E,1221, ","   42.0","E,0829, ","   1215.7"," ,E","","","     22.53","E","",""
"AGE00147710","1913","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        72","E","        51","E","         9","E","","","","","         0","E","       234","E","        25","E","","","  46.5"," ,E,1126, ","   44.0","E,0827, ","    667.4"," ,E","","","     24.11","E","",""
"AGE00147710","1914","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        96","E","        64","E","        11","E","","","","","         0","E","       245","E","        21","E","",""," 100.9"," ,E,1028, ","   41.0","E,0817,+","    948.9"," ,E","","","     24.08","E","",""
"AGE00147710","1915","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","       117","E","        73","E","        11","E","","","","","","","","","","","","","  90.7"," ,E,1121, ","","","   1064.7"," ,E","","","","","",""
"AGE00147710","1916","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","       106","E","        68","E","        16","E","","","","","         0","E","       199","E","         6","E","",""," 105.1"," ,E,1016, ","   44.0","E,0709, ","   1323.3"," ,E","","","     22.00","E","",""
"AGE00147710","1917","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        94","E","        58","E","         5","E","","","","","         0","E","       164","E","        13","E","",""," 109.2"," ,E,1226, ","   39.0","E,0812, ","    906.7"," ,E","","","     21.01","E","",""
"AGE00147710","1919","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        88","E","        62","E","         9","E","","","","","","","","","","","","","  65.6"," ,E,0327, ","","","    942.3"," ,E","","","","","",""
"AGE00147710","1920","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        87","E","        53","E","         6","E","","","","","         0","E","       203","E","        13","E","","","  72.0"," ,E,1027, ","   43.0","E,0805, ","    745.5"," ,E","","","     22.62","E","",""
"AGE00147710","1921","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","       106","E","        66","E","        19","E","         0","E","         0","E","         0","E","       162","E","        14","E","    2.0","E,1110, ","  66.4"," ,E,0403, ","   40.0","E,0920, ","   1259.9"," ,E","     17.36","E","     21.69","E","     13.03","E"
"AGE00147710","1922","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        72","E","        52","E","        13","E","","","","","","","","","","","","","  50.2"," ,E,1217, ","","","    896.7"," ,E","","","","","",""
"AGE00147710","1923","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","       111","E","        73","E","        11","E","","","","","         0","E","       164","E","        14","E","","","  59.5"," ,E,0121, ","   38.0","E,0717,+","   1045.6"," ,E","","","     21.32","E","",""
"AGE00147710","1924","36.75","5.1","9.0","BEJAIA BOUGIE PORT, AG","        77","E","        56","E","         6","E","","","","","         0","E","       200","E","        13","E","","","  49.3"," ,E,1214, ","   40.0","E,0909, ","    649.6"," ,E","","","     22.35","E","",""
