"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000HKEA","1989","19.4756","-155.3628","1706.9","KEAMOKU LAVA FLOW HAWAII, HI US","","","","","","","","","","","","","","","","","","","","","    1390.9","9","    1390.9","U","","","","","",""
"USR0000HKEA","1994","19.4756","-155.3628","1706.9","KEAMOKU LAVA FLOW HAWAII, HI US","     23.3","","      23.3","U","         0","U","         1","U","         0","U","       230","U","         0","U","    0.0","U,0103, ","   29.4","U,0818, ","0.0","U,0103","    1402.6","6","    1402.6","U","     14.76","U","     21.32","U","      8.20","U"
"USR0000HKEA","1995","19.4756","-155.3628","1706.9","KEAMOKU LAVA FLOW HAWAII, HI US","      8.5","","       8.5","U","         0","U","         1","U","         0","U","       256","U","         0","U","    0.0","U,0213, ","   27.8","U,0807, ","0.0","U,0213","    1276.3","3","    1276.3","U","     14.81","U","     21.82","U","      7.79","U"
"USR0000HKEA","1996","19.4756","-155.3628","1706.9","KEAMOKU LAVA FLOW HAWAII, HI US","     18.0","","      18.0","U","         0","U","         0","U","         0","U","       240","U","         0","U","    1.7","U,1218,+","   28.9","U,0811, ","","","    1246.1","1","    1246.1","U","     15.09","U","     21.62","U","      8.56","U"
"USR0000HKEA","1997","19.4756","-155.3628","1706.9","KEAMOKU LAVA FLOW HAWAII, HI US","","","","","","","","","","","","","","","","","","","","","    1197.8","8","    1197.8","U","","","","","",""
