"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00092000","1932","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       225","a","        93","a","         8","a","","","","","","","","","","","","","  54.6"," ,a,0613, ","","","","","","","","","","","","","","","","","","","   1144.0"," ,a","","","","","",""
"ASN00092000","1933","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       154","a","        82","a","         4","a","","","","","","","","","","","","","  52.1"," ,a,0527, ","","","","","","","","","","","","","","","","","","","    795.0"," ,a","","","","","",""
"ASN00092000","1934","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       171","a","        92","a","         9","a","","","","","","","","","","","","","  61.7"," ,a,1229, ","","","","","","","","","","","","","","","","","","","   1121.3"," ,a","","","","","",""
"ASN00092000","1935","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       230","a","       105","a","        12","a","","","","","","","","","","","","","  55.1"," ,a,0416, ","","","","","","","","","","","","","","","","","","","   1167.4"," ,a","","","","","",""
"ASN00092000","1936","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       149","a","        92","a","         6","a","","","","","","","","","","","","","  77.5"," ,a,0727, ","","","","","","","","","","","","","","","","","","","   1006.5"," ,a","","","","","",""
"ASN00092000","1937","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       135","a","        79","a","         9","a","","","","","","","","","","","","","  74.9"," ,a,1211, ","","","","","","","","","","","","","","","","","","","    953.5"," ,a","","","","","",""
"ASN00092000","1938","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       134","a","        83","a","         6","a","","","","","","","","","","","","","  87.9"," ,a,0205, ","","","","","","","","","","","","","","","","","","","    970.4"," ,a","","","","","",""
"ASN00092000","1939","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       148","a","        92","a","        10","a","","","","","","","","","","","","","  73.9"," ,a,0522, ","","","","","","","","","","","","","","","","","","","   1184.9"," ,a","","","","","",""
"ASN00092000","1940","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       122","a","        65","a","         2","a","","","","","","","","","","","","","  42.2"," ,a,0501, ","","","","","","","","","","","","","","","","","","","    601.9"," ,a","","","","","",""
"ASN00092000","1941","-41.6667","147.75","610.0","ROSSARDEN ABERFOYLE, AS","       116","a","        69","a","         5","a","","","","","","","","","","","","","  40.6"," ,a,0824, ","","","","","","","","","","","","","","","","","","","    725.8"," ,a","","","","","",""
