"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00041114","1984","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       310","S","         8","S","","","   32.7","S,0729, ","","","     26.75","S","",""
"SAM00041114","1985","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       314","S","        27","S","","","   33.5","S,0823,+","","","     26.53","S","",""
"SAM00041114","1986","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       281","S","        10","S","","","   33.0","S,0729, ","","","     25.92","S","",""
"SAM00041114","1992","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       263","S","        10","S","","","   33.0","S,0827, ","","","     25.46","S","",""
"SAM00041114","1993","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       294","S","        19","S","","","   33.6","S,0722, ","","","     26.36","S","",""
"SAM00041114","1995","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","         0","S","         0","S","         0","S","       289","S","        35","S","    4.5","S,0314, ","   34.0","S,0815, ","     19.89","S","     26.50","S","     13.29","S"
"SAM00041114","1996","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       301","S","        39","S","","","   34.0","S,0714, ","","","     26.86","S","",""
"SAM00041114","1997","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       284","S","        27","S","","","   34.2","S,0729, ","","","     26.45","S","",""
"SAM00041114","2000","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","         0","S","         0","S","         0","S","       333","S","        84","S","    5.0","S,1216, ","   34.8","S,0707, ","     20.83","S","     28.18","S","     13.47","S"
"SAM00041114","2001","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       327","S","        54","S","","","   34.4","S,0727, ","","","     27.80","S","",""
"SAM00041114","2003","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       329","S","        68","S","","","   34.6","S,0610,+","","","     28.05","S","",""
"SAM00041114","2004","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       306","S","        57","S","","","   34.8","S,0801, ","","","     27.63","S","",""
"SAM00041114","2005","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       325","S","        57","S","","","   35.0","S,0719, ","","","     27.86","S","",""
"SAM00041114","2007","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       311","S","        42","S","","","   34.5","S,0803, ","","","     27.49","S","",""
"SAM00041114","2008","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       322","S","        53","S","","","   34.4","S,0724, ","","","     27.92","S","",""
"SAM00041114","2009","18.297","42.804","2065.9","KING KHALED AB, SA","   1062.7","","    1062.7","S","         0","S","         0","S","         0","S","       330","S","        79","S","    5.0","S,0116, ","   34.6","S,0623, ","     20.80","S","     27.99","S","     13.61","S"
"SAM00041114","2010","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       344","S","        78","S","","","   35.2","S,0617, ","","","     27.95","S","",""
"SAM00041114","2011","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       320","S","        65","S","","","   35.5","S,0729, ","","","     27.82","S","",""
"SAM00041114","2012","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","         0","S","         0","S","         0","S","       338","S","        80","S","    4.4","S,0124, ","   38.0","S,0727, ","     20.45","S","     28.00","S","     12.90","S"
"SAM00041114","2014","18.297","42.804","2065.9","KING KHALED AB, SA","","","","","","","","","         0","S","       308","S","        42","S","","","   34.5","S,0604, ","","","     27.23","S","",""
