"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00272136","1893","42.91667","-72.06667","454.2","DUBLIN, NH US","        98","6","        78","6","        14","6","","","        17","6","       160","6","        73","6","        84","6","         0","6","","","","","  -25.6","6,0111, ","","","  50.8"," ,6,1023, ","   30.0","6,0810,+","0.0","6,1017","-3.3","6,1030","-5.0","6,1031","-7.8","6,1121","-11.7","6,1125","0.0","6,0504","-7.8","6,0426","-7.8","6,0426","-7.8","6,0426","-11.1","6,0329","   1149.0"," ,6","","","      5.60","6","     10.52","6","      0.68","6"
"USC00272136","1894","42.91667","-72.06667","454.2","DUBLIN, NH US","        95","6","        76","6","        10","6","","","        13","6","       144","6","        62","6","        97","6","         0","6","","","","","  -28.3","6,0224, ","","","  58.4"," ,6,0703, ","   31.7","6,0720, ","0.0","6,1012","-3.9","6,1106","-6.1","6,1107","-8.9","6,1108","-8.9","6,1108","-1.7","6,0413","-3.3","6,0412","-5.6","6,0407","-9.4","6,0404","-9.4","6,0404","   1021.9"," ,6","","","      6.98","6","     11.95","6","      2.01","6"
"USC00272136","1945","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00272136","1946","42.91667","-72.06667","454.2","DUBLIN, NH US","       121","6","        79","6","         9","6","","","","","","","","","","","","","         4"," ","","","","","",""," 100.3"," ,6,1230, ","","","","","","","","","","","","","","","","","","","","","","","   1145.7"," ,6","","","","","","","",""
"USC00272136","1947","42.91667","-72.06667","454.2","DUBLIN, NH US","       105","6","        72","6","        16","6","","","","","","","","","","","","","         9"," ","","","","","","","  70.4"," ,6,1112, ","","","","","","","","","","","","","","","","","","","","","","","   1146.7"," ,6","","","","","","","",""
"USC00272136","1948","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00272136","1949","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","        16"," ","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1075.8"," ,0","     1450"," ,0","","","","","",""
"USC00272136","1950","42.91667","-72.06667","454.2","DUBLIN, NH US","        93","0","        66","0","         9","0","","","","","","","","","","","","","        37"," ","        12"," ","","","","","  99.3"," ,0,1126, ","","","","","","","","","","","","","","","","","","","","","","","   1142.6"," ,0","","","","","","","",""
"USC00272136","1951","42.91667","-72.06667","454.2","DUBLIN, NH US","       103","0","        76","0","        14","0","        21","0","","","","","","","","","","","        34"," ","        12"," ","","","   254"," ,0,1215, ","  47.8"," ,0,1008, ","","","","","","","","","","","","","","","","","","","","","","","   1542.8"," ,0","     1760"," ,0","","","","","",""
"USC00272136","1952","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","        24"," ","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1231.7"," ,0","","","","","","","",""
"USC00272136","1953","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","","","","","","","","","","","","","        51"," ","        14"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1545.0"," ,0","","","","","","","",""
"USC00272136","1954","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","        17","0","","","","","","","","","","","        50"," ","        11"," ","","","   305"," ,0,1222, ","","","","","","","","","","","","","","","","","","","","","","","","","   1382.1"," ,0","     1378"," ,0","","","","","",""
"USC00272136","1955","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","        20","0","","","","","","","","","","","        33"," ","        17"," ","","","   305"," ,0,0217, ","","","","","","","","","","","","","","","","","","","","","","","","","   1256.6"," ,0","     1372"," ,0","","","","","",""
"USC00272136","1956","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","        23","0","","","","","","","","","","","        46"," ","        15"," ","","","   277"," ,0,1215, ","","","","","","","","","","","","","","","","","","","","","","","","","   1167.9"," ,0","     2727"," ,0","","","","","",""
"USC00272136","1957","42.91667","-72.06667","454.2","DUBLIN, NH US","","","","","","","         9","0","","","","","","","","","","","        24"," ","        15"," ","","","   178"," ,0,1212, ","","","","","","","","","","","","","","","","","","","","","","","","","   1134.7"," ,0","     1128"," ,0","","","","","",""
"USC00272136","1958","42.91667","-72.06667","454.2","DUBLIN, NH US","        98","0","        73","0","        12","0","        15","0","","","","","","","","","","","        49"," ","        10"," ","","","   284"," ,0,0108, ","  54.6"," ,0,0726, ","","","","","","","","","","","","","","","","","","","","","","","   1178.1"," ,0","     1307"," ,0","","","","","",""
"USC00272136","1959","42.91667","-72.06667","454.2","DUBLIN, NH US","       103","0","        76","0","        13","0","        14","0","","","","","","","","","","","        40"," ","         8"," ","","","   356"," ,0,0313, ","  80.3"," ,0,1025, ","","","","","","","","","","","","","","","","","","","","","","","   1520.6"," ,0","     1716"," ,0","","","","","",""
"USC00272136","1960","42.91667","-72.06667","454.2","DUBLIN, NH US","       103","0","        91","0","        18","0","        25","0","","","","","","","","","","","        30"," ","         6"," ","","","   221"," ,0,1217, ","  80.5"," ,0,0913, ","","","","","","","","","","","","","","","","","","","","","","","   1386.1"," ,0","     2804"," ,0","","","","","",""
"USC00272136","1961","42.91667","-72.06667","454.2","DUBLIN, NH US","       100","0","        77","0","         7","0","        23","0","","","","","","","","","","","        28"," ","        12"," ","","","   356"," ,0,0205, ","  54.6"," ,0,0922, ","","","","","","","","","","","","","","","","","","","","","","","    983.8"," ,0","     2840"," ,0","","","","","",""
