"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00026468","1931","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    477.6","","     477.6","6","","","","","","","","","","","        11","6","       138","6","        21","6","       191","6","        38","6","","","","","  -25.0","6,1123, ","","","","","","","   36.7","6,0723, ","0.0","6,1013","-2.8","6,1030","-5.0","6,1119","-8.3","6,1122","-25.0","6,1123","-2.2","6,0410","-2.2","6,0410","-5.0","6,0330","-10.0","6,0326","-10.0","6,0326","","","","","","","","","     11.48","6","     19.39","6","      3.57","6","",""
"USC00026468","1932","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    542.6","","     542.6","6","","","","","","","","","","","         9","6","       154","6","        23","6","       194","6","        61","6","","","","","  -26.7","6,1231, ","","","","","","","   36.7","6,0718,+","-3.9","6,1019","-3.9","6,1019","-6.7","6,1108","-6.7","6,1108","-8.9","6,1112","0.0","6,0506","-2.2","6,0428","-5.6","6,0407","-7.8","6,0327","-8.9","6,0313","    2936.6","6","    2936.6","6","","","","","     11.67","6","     20.35","6","      2.98","6","",""
"USC00026468","1933","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    686.1","","     686.1","6","","","","","","","","","","","        15","6","       150","6","        15","6","       183","6","        74","6","","","","","  -24.4","6,0103,+","","","","","","","   37.8","6,0711, ","-0.6","6,1103","-2.8","6,1105","-5.0","6,1106","-16.7","6,1217","-16.7","6,1217","-0.6","6,0513","-2.8","6,0512","-5.0","6,0412","-6.7","6,0406","-9.4","6,0221","    3289.3","3","    3289.3","6","","","","","     12.05","6","     20.53","6","      3.57","6","",""
"USC00026468","1934","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    585.9","","     585.9","6","","","","","","","","","","","         0","6","       127","6","         0","6","       227","6","        64","6","","","","","  -13.3","6,1203, ","","","","","","","   37.8","6,0730,+","0.0","6,1013","-3.9","6,1024","-4.4","6,1103","-9.4","6,1127","-9.4","6,1127","0.0","6,0405","-3.3","6,0404","-4.4","6,0310","-7.2","6,0218","-9.4","6,0119","    2122.0","0","    2122.0","6","","","","","     13.85","6","     22.92","6","      4.78","6","",""
"USC00026468","1935","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    461.5","","     461.5","6","","","","","","","","","","","         0","6","       155","6","         3","6","       171","6","        50","6","","","","","  -16.7","6,0119, ","","","","","","","   37.2","6,0726, ","-2.8","6,1023","-2.8","6,1023","-6.1","6,1024","-8.9","6,1104","-8.9","6,1104","-0.6","6,0505","-3.3","6,0418","-6.7","6,0410","-6.7","6,0410","-11.1","6,0226","    2653.8","8","    2653.8","6","","","","","     11.71","6","     20.08","6","      3.33","6","",""
"USC00026468","1936","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    571.9","","     571.9","6","        44","6","        31","6","         1","6","","","","","         1","6","       140","6","         2","6","       190","6","        64","6","","","","","  -20.0","6,1230, ","","","","","  40.6"," ,6,0725, ","   37.8","6,0724, ","0.0","6,1026","-7.2","6,1103","-7.2","6,1103","-7.2","6,1103","-8.9","6,1126","0.0","6,0507","-2.8","6,0410","-5.6","6,0402","-11.7","6,0326","-11.7","6,0326","    2664.0","0","    2664.0","6","    298.5"," ,6","","","     12.62","6","     21.25","6","      3.98","6","",""
"USC00026468","1937","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    586.3","","     586.3","6","        47","6","        27","6","         0","6","","","","","        17","6","       141","6","        13","6","       195","6","        65","6","","","","","  -29.4","6,0123, ","","","","","  14.7"," ,6,0709, ","   37.2","6,0813,+","0.0","6,1019","-3.3","6,1108","-5.0","6,1109","-6.7","6,1127","-10.0","6,1204","-0.6","6,0430","-2.2","6,0429","-5.0","6,0423","-6.7","6,0228","-9.4","6,0210","    3039.3","3","    3039.3","6","    163.5"," ,6","","","     11.92","6","     20.54","6","      3.30","6","",""
"USC00026468","1938","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","","","","","","","","","","","","","","","         0","6","       146","6","","","","","","","","","","","  -17.2","6,0218, ","","","","","","","","","-0.6","6,1009","-3.9","6,1017","-6.1","6,1103","-7.2","6,1106","-12.2","6,1107","0.0","6,0507","-2.2","6,0408","-5.0","6,0402","-6.7","6,0221","-17.2","6,0218","    2376.1","1","    2376.1","6","","","","","","","","","      3.89","6","",""
"USC00026468","1939","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    649.7","","     649.7","6","","","","","","","","","","","         2","6","       128","6","         3","6","       216","6","        71","6","","","","","  -19.4","6,0203, ","","","","","","","   38.9","6,0613, ","0.0","6,1009","-3.3","6,1027","-7.2","6,1119","-7.2","6,1119","-9.4","6,1224","0.0","6,0419","-5.6","6,0306","-5.6","6,0306","-6.7","6,0228","-10.0","6,0223","","","","","","","","","     13.38","6","     22.24","6","      4.51","6","",""
"USC00026468","1940","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    530.7","","     530.7","6","","","","","","","","","","","         0","6","       134","6","         0","6","       210","6","        61","6","","","","","  -12.2","6,0114, ","","","","","","","   38.3","6,0708, ","-0.6","6,1028","-2.2","6,1031","-7.8","6,1111","-7.8","6,1111","-9.4","6,1113","-1.1","6,0418","-2.2","6,0411","-6.7","6,0315","-6.7","6,0315","-8.9","6,0313","    2413.5","5","    2413.5","6","","","","","     12.96","6","     21.59","6","      4.32","6","",""
"USC00026468","1941","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    416.5","","     416.5","6","","","","","","","","","","","         0","6","       117","6","         0","6","       161","6","        36","6","","","","","  -10.6","6,1123, ","","","","","","","   35.0","6,0710, ","0.0","6,1022","-2.8","6,1031","-5.6","6,1108","-7.2","6,1120","-10.6","6,1123","-2.2","6,0427","-2.2","6,0427","-5.6","6,0419","-6.7","6,0203","","","    2566.5","5","    2566.5","6","","","","","     12.23","6","     19.90","6","      4.56","6","",""
"USC00026468","1942","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    460.8","","     460.8","6","        46","6","        20","6","         0","6","","","","","         2","6","       140","6","         5","6","       183","6","        56","6","","","","","  -20.0","6,0103, ","","","","","  17.3"," ,6,0802, ","   39.4","6,0707, ","-1.7","6,1030","-2.8","6,1031","-6.7","6,1121","-6.7","6,1121","","","0.0","6,0514","-2.8","6,0503","-5.0","6,0330","-7.8","6,0328","-10.0","6,0327","    2823.5","5","    2823.5","6","    148.2"," ,6","","","     12.24","6","     21.11","6","      3.37","6","",""
"USC00026468","1943","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    571.6","","     571.6","6","        58","6","        29","6","         0","6","","","","","         0","6","       136","6","         2","6","       203","6","        66","6","","","","","  -17.2","6,0119, ","","","","","  15.2"," ,6,0824, ","   37.2","6,0710, ","-1.1","6,1020","-5.0","6,1101","-5.0","6,1101","-7.8","6,1107","-8.9","6,1108","0.0","6,0518","-3.9","6,0412","-4.4","6,0321","-6.7","6,0319","-11.7","6,0211","    2214.2","2","    2214.2","6","    249.3"," ,6","","","     13.44","6","     22.21","6","      4.67","6","",""
"USC00026468","1944","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    507.8","","     507.8","6","        53","6","        31","6","         0","6","","","         8","6","         0","6","       145","6","         0","6","       183","6","        63","6","","","","","  -12.8","6,0102,+","","","   102"," ,6,0320, ","  12.2"," ,6,0510, ","   37.2","6,0710, ","-0.6","6,1107","-4.4","6,1114","-4.4","6,1114","-7.2","6,1126","-11.1","6,1210","-1.1","6,0429","-2.2","6,0423","-4.4","6,0331","-8.3","6,0329","-8.9","6,0308","    2727.8","8","    2727.8","6","    192.1"," ,6","      318"," ,6","     12.26","6","     20.67","6","      3.84","6","",""
"USC00026468","1945","34.7994","-109.885","1659.9","PETRIFIED FOREST NATIONAL PARK, AZ US","    543.3","","     543.3","6","        48","6","        18","6","         2","6","","","","","         2","6","       147","6","         6","6","       197","6","        72","6","","","","","  -20.6","6,1215, ","","","","","  41.9"," ,6,0722, ","   39.4","6,0814, ","-5.6","6,1024","-5.6","6,1024","-5.6","6,1024","-7.8","6,1109","-12.2","6,1121","-0.6","6,0417","-5.6","6,0415","-5.6","6,0415","-6.7","6,0414","-8.9","6,0227","    2576.4","4","    2576.4","6","    198.2"," ,6","","","     12.37","6","     21.23","6","      3.51","6","",""
