"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00156107","1896","38.516667","-84.816667","213.4","OWENTON 1, KY US","","","","","        93","6","        75","6","        13","6","         3","6","        98","6","","","","","","","","","  -18.3","6,0220, ","  63.0"," ,6,0721, ","","","-0.6","6,1018","-3.9","6,1113","-5.6","6,1128","-8.3","6,1129","-10.6","6,1130","-2.2","6,0408","-2.2","6,0408","-11.1","6,0324","-11.1","6,0324","-11.1","6,0324","","","","","   1153.7"," ,6","","","","","      8.14","6"
"USC00156107","1897","38.516667","-84.816667","213.4","OWENTON 1, KY US","","","","","       102","6","        78","6","        14","6","","","","","","","","","","","","","","","  74.9"," ,6,0222, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1309.3"," ,6","","","","","",""
"USC00156107","1898","38.516667","-84.816667","213.4","OWENTON 1, KY US","","","","","       108","6","        90","6","        14","6","","","","","","","","","","","","","","","  74.4"," ,6,0109, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1417.6"," ,6","","","","","",""
"USC00156107","1899","38.516667","-84.816667","213.4","OWENTON 1, KY US","    886.6","","     886.6","6","        98","6","        85","6","        13","6","        10","6","        98","6","        32","6","       175","6","        48","6","","","  -28.3","6,0210,+","  54.6"," ,6,0811, ","   39.4","6,0906, ","-0.6","6,0930","-2.2","6,1128","-7.2","6,1204","-7.2","6,1204","-9.4","6,1205","-2.8","6,0409","-2.8","6,0409","-4.4","6,0401","-6.7","6,0329","-16.1","6,0308","","","","","   1145.6"," ,6","     13.03","6","     18.32","6","      7.74","6"
"USC00156107","1900","38.516667","-84.816667","213.4","OWENTON 1, KY US","    878.1","","     878.1","6","        89","6","        76","6","         8","6","         5","6","       100","6","        23","6","       186","6","        58","6","","","  -21.1","6,0225, ","  70.9"," ,6,1120, ","   37.8","6,0910,+","-3.3","6,1108","-3.3","6,1108","-8.3","6,1114","-8.3","6,1114","-8.9","6,1210","0.0","6,0413","-3.9","6,0410","-7.2","6,0321","-7.2","6,0321","-15.6","6,0317","    2691.0","0","    2691.0","6","   1067.0"," ,6","     13.40","6","     19.08","6","      7.73","6"
"USC00156107","1901","38.516667","-84.816667","213.4","OWENTON 1, KY US","","","","","        89","6","        65","6","         8","6","","","","","","","","","","","         2"," ","","","  48.3"," ,6,1214, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    832.8"," ,6","","","","","",""
"USC00156107","1902","38.516667","-84.816667","213.4","OWENTON 1, KY US","","","","","","","","","","","         2","6","        93","6","        35","6","       161","6","        13","6","","","  -17.8","6,0205,+","","","   34.4","6,0717,+","-1.7","6,1123","-2.8","6,1130","-5.6","6,1201","-10.6","6,1208","-10.6","6,1208","-5.0","6,0408","-5.0","6,0408","-5.0","6,0408","-7.8","6,0319","-12.8","6,0318","","","","","","","     12.03","6","     16.93","6","      7.13","6"
"USC00156107","1903","38.516667","-84.816667","213.4","OWENTON 1, KY US","    656.5","","     656.5","6","        86","6","        73","6","        14","6","         4","6","       109","6","        23","6","       167","6","        35","6","","","  -19.4","6,0219, ","  49.5"," ,6,0102, ","   40.0","6,0709, ","-2.2","6,1024","-2.2","6,1024","-4.4","6,1108","-8.9","6,1118","-8.9","6,1118","-5.0","6,0405","-5.0","6,0405","-5.0","6,0405","-9.4","6,0222","-9.4","6,0222","    2524.4","4","    2524.4","6","   1152.5"," ,6","     12.37","6","     17.97","6","      6.76","6"
"USC00156107","1904","38.516667","-84.816667","213.4","OWENTON 1, KY US","","","","","        88","6","        66","6","         8","6","","","","","","","","","","","","","","","  54.4"," ,6,0708, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    899.4"," ,6","","","","","",""
"USC00156107","1906","38.516667","-84.816667","213.4","OWENTON 1, KY US","","","","","        98","6","        82","6","        14","6","         2","6","       101","6","","","","","","","","","  -19.4","6,0207, ","  70.6"," ,6,0527, ","","","-3.3","6,1011","-3.3","6,1011","-5.0","6,1202","-6.7","6,1206","-11.7","6,1223","-0.6","6,0509","-6.1","6,0325","-6.1","6,0325","-6.7","6,0324","-10.6","6,0318","","","","","   1250.0"," ,6","","","","","      7.24","6"
