"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027751","1900","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","         5","0","         3","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.2"," ,0,0719, ","","","","","","","","","","","","","","","","","     62.3"," ,0","        0"," ,0","","","","","",""
"USC00027751","1901","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","         4","0","         4","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.4"," ,0,0210, ","","","","","","","","","","","","","","","","","     48.6"," ,0","        0"," ,0","","","","","",""
"USC00027751","1902","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","         5","0","         5","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.1"," ,0,0129, ","","","","","","","","","","","","","","","","","    114.0"," ,0","        0"," ,0","","","","","",""
"USC00027751","1904","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","",""
"USC00027751","1905","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","         6","0","         3","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","   9.1"," ,0,0928, ","","","","","","","","","","","","","","","","","     21.1"," ,0","        0"," ,0","","","","","",""
"USC00027751","1906","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        16","0","         9","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,1123, ","","","","","","","","","","","","","","","","","     98.2"," ,0","        0"," ,0","","","","","",""
"USC00027751","1907","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027751","1908","32.86667","-113.21667","210.0","SENTINEL, AZ US","   2101.5","","    2101.5","0","        24","0","        17","0","         1","0","        0","","         0","0","         0","0","        18","0","         0","0","       311","0","       178","0","         9"," ","   -1.1","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0819, ","   46.7","0,0808, ","0.0","0,1219","","","-1.1","0,0215","","","","","     692.9","9","     692.9","0","    172.6"," ,0","        0"," ,0","     22.13","0","     31.16","0","     13.11","0"
"USC00027751","1912","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        18","0","        11","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.1"," ,0,0812, ","","","","","","","","","","","","","","","","","    152.4"," ,0","        0"," ,0","","","","","",""
"USC00027751","1913","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        11","0","         6","0","         1","0","        0","","         0","0","","","","","","","","","","","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.7"," ,0,0830, ","","","","","","","","","","","","","","","","","     82.1"," ,0","        0"," ,0","","","","","",""
"USC00027751","1914","32.86667","-113.21667","210.0","SENTINEL, AZ US","   2280.9","","    2280.9","0","        16","0","        15","0","         1","0","        0","","         0","0","         0","0","        11","0","         0","0","       316","0","       189","0","         4"," ","   -3.3","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.4"," ,0,1003, ","   48.3","0,0627, ","-1.1","0,1208","-2.8","0,1213","0.0","0,0209","","","","","","","","","    174.3"," ,0","        0"," ,0","     22.82","0","     31.66","0","     13.99","0"
"USC00027751","1915","32.86667","-113.21667","210.0","SENTINEL, AZ US","   2150.7","","    2150.7","0","        21","0","        15","0","         1","0","        0","","         0","0","         0","0","        18","0","         0","0","       305","0","       184","0","","","   -3.9","0,0118, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.2"," ,0,1230, ","   48.9","0,0819, ","-0.6","0,1129","-2.2","0,1217","0.0","0,0204","-3.9","0,0118","","","     808.7","7","     808.7","0","    164.0"," ,0","        0"," ,0","     22.10","0","     31.85","0","     12.34","0"
"USC00027751","1916","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00027751","1917","32.86667","-113.21667","210.0","SENTINEL, AZ US","","","","","        19","0","        15","0","         1","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  34.5"," ,0,0802, ","","","","","","","","","","","","","","","","","    169.5"," ,0","        0"," ,0","","","","","",""
