"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298289","1930","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","        45","6","        34","6","         6","6","","","","","","","","","","","","","","","","","  38.4"," ,6,0930, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    408.7"," ,6","","","","","","","","","",""
"USC00298289","1931","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","        68","6","        41","6","         2","6","","","         4","6","       168","6","","","","","","","  -17.8","6,1124,+","","","  39.6"," ,6,0717, ","","","-1.7","6,1014","-3.3","6,1028","-7.8","6,1030","-7.8","6,1030","-12.2","6,1120","-0.6","6,0522","-2.2","6,0426","-4.4","6,0422","-7.2","6,0405","-8.9","6,0404","","","","","    378.9"," ,6","","","","","","","      0.86","6","     51150","6"
"USC00298289","1932","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","    173.0","","     173.0","6","        52","6","        34","6","         2","6","","","         7","6","       174","6","        14","6","       187","6","         8","6","  -22.2","6,0312, ","","","  32.3"," ,6,0604, ","   33.3","6,0811,+","-2.8","6,1005","-2.8","6,1005","-5.6","6,1019","-6.7","6,1025","-10.6","6,1108","-1.1","6,0506","-2.2","6,0429","-7.8","6,0428","-7.8","6,0428","-10.6","6,0327","    3041.8","8","    3041.8","6","    356.0"," ,6","","","      9.98","6","     19.50","6","      0.45","6","",""
"USC00298289","1933","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","    196.1","","     196.1","6","        37","6","        27","6","         3","6","","","         6","6","       183","6","         4","6","       191","6","        24","6","  -31.7","6,0208, ","","","  38.9"," ,6,0613, ","   35.6","6,0720,+","-2.2","6,1016","-2.2","6,1016","-4.4","6,1022","-8.3","6,1103","-9.4","6,1206","0.0","6,0516","-2.2","6,0505","-5.6","6,0423","-8.9","6,0415","-8.9","6,0415","    3317.3","3","    3317.3","6","    285.8"," ,6","","","     10.55","6","     20.53","6","      0.57","6","     94175","6"
"USC00298289","1934","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","    307.2","","     307.2","6","        56","6","        21","6","         2","6","","","         1","6","       168","6","         4","6","       211","6","        42","6","  -17.8","6,0108, ","","","  36.1"," ,6,0820, ","   36.7","6,0713, ","-1.1","6,0926","-4.4","6,1024","-4.4","6,1024","-6.7","6,1103","-15.6","6,1129","0.0","6,0515","-3.3","6,0408","-6.7","6,0407","-6.7","6,0407","-13.9","6,0318","    2599.8","8","    2599.8","6","    229.0"," ,6","","","     11.51","6","     21.29","6","      1.74","6","",""
"USC00298289","1935","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","    190.8","","     190.8","6","        48","6","        30","6","         2","6","","","         0","6","       180","6","         2","6","       175","6","        24","6","  -16.7","6,0226,+","","","  28.7"," ,6,0817, ","   35.0","6,0620, ","0.0","6,0927","-2.2","6,1018","-4.4","6,1024","-7.8","6,1101","-10.6","6,1105","-1.1","6,0507","-3.9","6,0506","-4.4","6,0505","-7.8","6,0328","-10.0","6,0321","    2920.3","3","    2920.3","6","    346.5"," ,6","","","     10.42","6","     19.85","6","      0.99","6","     46513","6"
"USC00298289","1937","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","    197.1","","     197.1","6","        54","6","        27","6","         2","6","","","         9","6","       182","6","         8","6","       169","6","        23","6","  -24.4","6,0108, ","","","  87.9"," ,6,0603, ","   36.7","6,0801, ","-2.2","6,0926","-2.2","6,0926","-5.6","6,1019","-7.2","6,1113","-10.0","6,1117","0.0","6,0501","-2.8","6,0426","-4.4","6,0425","-6.7","6,0401","-9.4","6,0330","","","","","    330.7"," ,6","","","      9.97","6","     19.96","6","     -0.03","6","",""
"USC00298289","1938","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","        57","6","        40","6","         8","6","         6","6","","","","","","","","","","","","","   165"," ,6,0220, ","  57.9"," ,6,0626, ","","","","","","","","","","","","","","","","","","","","","","","    2949.9","9","    2949.9"," ","    543.7"," ,6","      496"," ,6","","","","","","","",""
"USC00298289","1939","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","    199.2","","     199.2","6","        52","6","        33","6","         0","6","        11","6","         7","6","       178","6","        11","6","       194","6","        38","6","  -26.1","6,1227, ","    76"," ,6,0406,+","  21.1"," ,6,0108, ","   36.1","6,0717, ","-2.8","6,1005","-2.8","6,1005","-5.0","6,1027","-7.2","6,1028","-10.6","6,1031","0.0","6,0514","-2.8","6,0419","-6.1","6,0418","-12.8","6,0417","-12.8","6,0417","","","","","    276.9"," ,6","      568"," ,6","      9.91","6","     19.89","6","     -0.07","6","",""
"USC00298289","1940","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","    202.5","","     202.5","6","        67","6","        39","6","         3","6","","","        13","6","       179","6","        18","6","       178","6","        34","6","  -27.8","6,0213, ","","","  36.8"," ,6,1124, ","   37.8","6,0725, ","-1.1","6,1007","-3.9","6,1015","-5.6","6,1029","-7.8","6,1105","-14.4","6,1111","0.0","6,0509","-5.0","6,0501","-5.0","6,0501","-9.4","6,0412","-9.4","6,0412","    3184.6","6","    3184.6","6","    429.1"," ,6","","","      9.41","6","     18.91","6","     -0.09","6","",""
