"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00118491","1942","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","       116","6","        77","6","        12","6","","","","","","","","","","","","","","","","","         1"," ","","","","","","","  43.9"," ,6,1122, ","","","","","","","","","","","","","","","","","","","","","","","    990.3"," ,6","","","","","","","",""
"USC00118491","1944","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","        97","6","        66","6","         7","6","","","","","","","","","","","","","","","","","","","","","","","","","  57.7"," ,6,0422, ","","","","","","","","","","","","","","","","","","","","","","","    881.4"," ,6","","","","","","","",""
"USC00118491","1945","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","       115","6","        81","6","        13","6","","","         8","6","","","","","","","","","","","","","","","","","","","   102"," ,6,1213,+","  55.9"," ,6,0806, ","","","","","","","","","","","","","","","","","","","","","","","   1193.0"," ,6","      613"," ,6","","","","","",""
"USC00118491","1947","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","       108","6","        67","6","        10","6","","","","","","","","","","","","","","","","","","","","","","","","","  50.0"," ,6,0606, ","","","","","","","","","","","","","","","","","","","","","","","    977.2"," ,6","","","","","","","",""
"USC00118491","1948","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","       114","0","        73","0","         8","0","","","","","","","","","","","","","","","         2"," ","","","","","","","","","  84.1"," ,0,0622, ","","","","","","","","","","","","","","","","","","","","","","","    965.9"," ,0","","","","","","","",""
"USC00118491","1949","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","       110","0","        62","0","         8","0","","","         5","0","","","","","","","","","","","         3"," ","","","","","","","    76"," ,0,0203, ","  46.5"," ,0,1221,+","","","","","","","","","","","","","","","","","","","","","","","    919.9"," ,0","      254"," ,0","","","","","",""
"USC00118491","1950","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","       105","0","        62","0","        12","0","","","         7","0","","","","","","","","","","","        10"," ","         3"," ","","","","","   114"," ,0,1206, "," 108.7"," ,0,0614, ","","","","","","","","","","","","","","","","","","","","","","","    992.6"," ,0","      450"," ,0","","","","","",""
"USC00118491","1951","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","       104","0","        77","0","         6","0","","","         6","0","","","","","","","","","","","         3"," ","","","","","","","   102"," ,0,1214, ","  84.6"," ,0,0628, ","","","","","","","","","","","","","","","","","","","","","","","    953.9"," ,0","      731"," ,0","","","","","",""
"USC00118491","1952","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","        87","0","        60","0","         5","0","","","         3","0","","","","","","","","","","","         4"," ","","","","","","","   104"," ,0,1202, ","  56.9"," ,0,0603, ","","","","","","","","","","","","","","","","","","","","","","","    837.1"," ,0","      231"," ,0","","","","","",""
"USC00118491","1953","39.52247","-89.26359","188.1","TAYLORVILLE 2 SE, IL US","","","","","        73","0","        44","0","         6","0","","","         3","0","","","","","","","","","","","","","","","","","","","   152"," ,0,0302, ","  50.3"," ,0,0626, ","","","","","","","","","","","","","","","","","","","","","","","    685.8"," ,0","      256"," ,0","","","","","",""
