"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"FRW00034048","1951","46.862194","1.730667","161.2","CHATEAUROUX, FR","","","","","","","","","","","","","","","","","","","","","","","","","        65"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRW00034048","1952","46.862194","1.730667","161.2","CHATEAUROUX, FR","    202.2","","     202.2","X","       171","X","       100","X","         0","X","        3","","         4","X","         0","X","        67","X","         4","X","       123","X","        12","X","       108"," ","        17"," ","   -8.3","X,0126, ","    51"," ,X,1119,+","    41"," ,X,1119, ","  25.1"," ,X,0927, ","   38.3","X,0701, ","0.0","X,1012","-2.8","X,1116","-5.6","X,1210","","","","","-1.1","X,0404","-2.8","X,0228","-6.1","X,0217","-7.2","X,0128","","","","","","","    858.5"," ,X","      191"," ,X","     11.46","X","     16.16","X","      6.76","X","","","",""
"FRW00034048","1953","46.862194","1.730667","161.2","CHATEAUROUX, FR","    151.0","","     151.0","X","       107","X","        57","X","         2","X","       10","","         3","X","         0","X","        79","X","        12","X","       119","X","         5","X","       150"," ","        15"," ","  -17.2","X,0208, ","   102"," ,X,0207,+","   178"," ,X,0207, ","  50.8"," ,X,0429, ","   34.4","X,0901, ","0.0","X,1107","-2.2","X,1109","","","","","","","0.0","X,0415","-2.2","X,0315","-17.2","X,0208","-17.2","X,0208","-17.2","X,0208","    2900.9","9","    2900.9","X","    504.4"," ,X","      342"," ,X","     11.35","X","     16.33","X","      6.37","X","","","",""
"FRW00034048","1954","46.862194","1.730667","161.2","CHATEAUROUX, FR","     74.4","","      74.4","X","       141","X","        61","X","         0","X","        0","","         0","X","         0","X","        42","X","        10","X","        96","X","         1","X","       194"," ","         4"," ","  -13.3","X,0202,+","     0","T,X,0305,+","    15"," ,X,0103, ","  24.4"," ,X,0323, ","   35.0","X,0803, ","-0.6","X,1115","-2.2","X,1120","","","","","","","-0.6","X,0420","-2.2","X,0221","-7.2","X,0207","-7.2","X,0207","-10.0","X,0205","    2717.9","9","    2717.9","X","    468.6"," ,X","       31"," ,X","     11.03","X","     15.40","X","      6.66","X","","","",""
"FRW00034048","1955","46.862194","1.730667","161.2","CHATEAUROUX, FR","    185.1","","     185.1","X","       134","X","        67","X","         1","X","        6","","         4","X","         0","X","        64","X","         0","X","       122","X","         5","X","       235"," ","        23"," ","   -7.2","X,1128, ","   102"," ,X,0306,+","   117"," ,X,0306, ","  35.3"," ,X,0609, ","   32.8","X,0717, ","0.0","X,1026","-2.8","X,1029","-6.1","X,1126","-7.2","X,1128","","","0.0","X,0417","-3.3","X,0320","-5.0","X,0307","","","","","    2628.2","2","    2628.2","X","    684.0"," ,X","      306"," ,X","     11.53","X","     16.33","X","      6.74","X","","","",""
"FRW00034048","1956","46.862194","1.730667","161.2","CHATEAUROUX, FR","     51.8","","      51.8","X","       150","X","        68","X","         2","X","        4","","         4","X","         0","X","        70","X","        19","X","        83","X","         1","X","       221"," ","        10"," ","  -13.9","X,0202, ","    25"," ,X,0222,+","    36"," ,X,0108, ","  46.7"," ,X,0131, ","   33.3","X,0809, ","-1.7","X,1102","-5.6","X,1122","-5.6","X,1122","-6.7","X,1124","","","0.0","X,0420","-2.2","X,0408","-4.4","X,0314","-7.8","X,0227","-12.2","X,0224","    2901.9","9","    2901.9","X","    696.9"," ,X","      138"," ,X","      9.98","X","     14.42","X","      5.54","X","","","",""
"FRW00034048","1957","46.862194","1.730667","161.2","CHATEAUROUX, FR","    153.5","","     153.5","X","       141","X","        66","X","         2","X","        0","","         1","X","         0","X","        45","X","         4","X","       101","X","         8","X","       218"," ","        15"," ","  -10.0","X,0120,+","     0","T,X,1215,+","    51"," ,X,0115, ","  31.5"," ,X,0213, ","   35.6","X,0705, ","0.0","X,1119","-2.2","X,1201","-4.4","X,1202","","","","","-0.6","X,0415","-2.8","X,0221","-5.0","X,0123","-6.7","X,0122","-10.0","X,0120","    2645.3","3","    2645.3","X","    611.4"," ,X","       51"," ,X","     11.50","X","     16.00","X","      7.01","X","","","",""
"FRW00034048","1958","46.862194","1.730667","161.2","CHATEAUROUX, FR","    113.1","","     113.1","X","       191","X","       104","X","         5","X","        2","","         4","X","         0","X","        43","X","         1","X","        86","X","         0","X","       208"," ","        23"," ","   -5.6","X,1207,+","    25"," ,X,0312,+","    74"," ,X,0312, ","  42.4"," ,X,0904, ","   30.6","X,0914,+","-1.7","X,1202","-3.9","X,1203","-5.6","X,1204","","","","","-0.6","X,0412","-2.2","X,0323","-4.4","X,0312","","","","","    2781.0","0","    2781.0","X","   1146.2"," ,X","      222"," ,X","     11.14","X","     14.87","X","      7.41","X","","","",""
"FRW00034048","1959","46.862194","1.730667","161.2","CHATEAUROUX, FR","    187.1","","     187.1","X","       134","X","        72","X","         1","X","        2","","         2","X","         0","X","        39","X","         1","X","       141","X","         8","X","       164"," ","        18"," ","   -4.4","X,0130, ","    25"," ,X,0114,+","    53"," ,X,0112, ","  27.4"," ,X,0429, ","   35.0","X,0709, ","0.0","X,1030","-2.2","X,1215","","","","","","","-1.1","X,0320","-2.2","X,0216","-4.4","X,0130","","","","","    2559.5","5","    2559.5","X","    624.1"," ,X","      104"," ,X","     12.31","X","     17.13","X","      7.49","X","","","",""
"FRW00034048","1960","46.862194","1.730667","161.2","CHATEAUROUX, FR","     50.4","","      50.4","X","       187","X","       104","X","         2","X","        7","","         3","X","         0","X","        47","X","        11","X","        93","X","         0","X","       184"," ","        22"," ","  -12.8","X,0116, ","   127"," ,X,0117,+","    97"," ,X,0113, ","  35.3"," ,X,0805, ","   31.1","X,0622, ","0.0","X,1016","-2.8","X,1213","-5.0","X,1215","","","","","-1.1","X,0321","-6.7","X,0210","-6.7","X,0210","-6.7","X,0210","-12.8","X,0116","    2424.2","2","    2424.2","X","    892.7"," ,X","      252"," ,X","     11.00","X","     15.09","X","      6.91","X","","","",""
"FRW00034048","1961","46.862194","1.730667","161.2","CHATEAUROUX, FR","    129.6","","     129.6","X","       139","X","        77","X","         2","X","        0","","         0","X","         0","X","        39","X","         8","X","       103","X","         7","X","       222"," ","        11"," ","   -8.9","X,1220,+","     0","T,X,0127,+","     0","T,X,1208,+","  26.2"," ,X,0714, ","   35.6","X,0829, ","-0.6","X,1104","-2.2","X,1207","-6.1","X,1217","-8.9","X,1218","-8.9","X,1218","-2.2","X,0329","-2.2","X,0329","-4.4","X,0113","","","","","    2714.8","8","    2714.8","X","    685.8"," ,X","        0","T,X","     11.60","X","     16.26","X","      6.94","X","       270","X","      22.6","X"
"FRW00034048","1962","46.862194","1.730667","161.2","CHATEAUROUX, FR","     65.5","","      65.5","X","       147","X","        77","X","         4","X","        2","","         4","X","         0","X","        89","X","        11","X","        97","X","         1","X","       211"," ","        17"," ","  -12.8","X,1228, ","    25"," ,X,0304,+","    56"," ,X,0304, ","  29.0"," ,X,0509, ","   32.2","X,0813, ","-0.6","X,1029","-3.3","X,1113","-4.4","X,1202","-7.2","X,1204","-10.6","X,1224","0.0","X,0407","-2.2","X,0326","-4.4","X,0319","-7.8","X,0131","","","    2986.9","9","    2986.9","X","    788.7"," ,X","      205"," ,X","      9.61","X","     14.27","X","      4.95","X","       225","X","      24.2","X"
"FRW00034048","1963","46.862194","1.730667","161.2","CHATEAUROUX, FR","     39.8","","      39.8","X","       147","X","        86","X","         2","X","        8","","         1","X","         0","X","        84","X","        35","X","        68","X","         1","X","       217"," ","        22"," ","  -15.0","X,0205, ","    51"," ,X,1221,+","    25"," ,X,0119, ","  43.7"," ,X,0627, ","   32.2","X,0722, ","-0.6","X,1121","-5.6","X,1214","-5.6","X,1214","-8.9","X,1215","-8.9","X,1215","-1.1","X,0403","-5.0","X,0325","-5.0","X,0325","-8.9","X,0226","-8.9","X,0226","    3429.3","3","    3429.3","X","    729.5"," ,X","      130"," ,X","      9.23","X","     13.54","X","      4.93","X","       225","X","      22.6","X"
