"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00086284","1971","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    992.3"," ,a"
"ASN00086284","1975","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    955.5"," ,a"
"ASN00086284","1976","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    734.2"," ,a"
"ASN00086284","1977","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    810.8"," ,a"
"ASN00086284","1979","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    608.0"," ,a"
"ASN00086284","1981","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    898.6"," ,a"
"ASN00086284","1982","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    674.7"," ,a"
"ASN00086284","1983","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    876.5"," ,a"
"ASN00086284","1984","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    860.7"," ,a"
"ASN00086284","1985","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    861.3"," ,a"
"ASN00086284","1986","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    801.2"," ,a"
"ASN00086284","1987","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    729.1"," ,a"
"ASN00086284","1988","-37.9333","145.25","165.0","LYSTERFIELD ALBION REID, AS","    794.6"," ,a"
