"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FMW00040306","1949","9.512778","138.133333","17.1","YAP ISLAND CAROLINE ISLANDS, FM FM","   3397.8","","    3397.8","X","       262","X","       165","X","        28","X","         0","X","         0","X","         0","X","       365","X","        59","X","         1"," ","        14"," ","   21.1","X,0806,+"," 129.0"," ,X,0928, ","   33.9","X,0805,+","","","","","   2562.3"," ,X","     27.64","X","     30.64","X","     24.63","X"
"FMW00040306","1950","9.512778","138.133333","17.1","YAP ISLAND CAROLINE ISLANDS, FM FM","   3441.7","","    3441.7","X","       246","X","       163","X","        35","X","         0","X","         0","X","         0","X","       364","X","        87","X","","","         2"," ","   21.1","X,0528, ","  88.4"," ,X,0312, ","   35.6","X,0717, ","       0.0","0","       0.0","X","   3052.6"," ,X","     27.79","X","     31.11","X","     24.47","X"
"FMW00040306","1951","9.512778","138.133333","17.1","YAP ISLAND CAROLINE ISLANDS, FM FM","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","",""
