"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"CA003012091","1976","53.1667","-112.3667","706.0","DODDS ROUND HILL, AB CA","        77","C","        84","C","         0","C","   31.1","C,0806, ","","","","","      9.72","C"
"CA003012091","1977","53.1667","-112.3667","706.0","DODDS ROUND HILL, AB CA","","","","","","","","","    5225.1","1","    5225.1","C","",""
