"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"SPW00014010","1957","41.666242","-1.041553","263.0","ZARAGOZA, SP","","","","","","","","","","","","","","","","","","","","","","","","","        56"," ","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPW00014010","1958","41.666242","-1.041553","263.0","ZARAGOZA, SP","    616.3","","     616.3","X","        68","X","        34","X","         1","X","        0","","         0","X","         0","X","        15","X","         0","X","       163","X","        42","X","        53"," ","        23"," ","   -3.3","X,0124,+","     0"," ,X,1231,+","    13"," ,X,0226, ","  35.1"," ,X,1222, ","   40.0","X,0731, ","","","","","","","","","","","-1.1","X,0312","-3.3","X,0124","","","","","","","    1923.6","6","    1923.6","X","    266.0"," ,X","       13"," ,X","     15.15","X","     19.98","X","     10.32","X","","","",""
"SPW00014010","1959","41.666242","-1.041553","263.0","ZARAGOZA, SP","    516.8","","     516.8","X","        98","X","        52","X","         5","X","        1","","         1","X","         0","X","         5","X","         0","X","       147","X","        29","X","       110"," ","        37"," ","   -1.1","X,0203, ","    25"," ,X,0203, ","    46"," ,X,0203, ","  63.2"," ,X,1121, ","   37.8","X,0705, ","","","","","","","","","","","0.0","X,0219","","","","","","","","","    1708.0","0","    1708.0","X","    611.0"," ,X","       46"," ,X","     14.92","X","     19.41","X","     10.43","X","","","",""
"SPW00014010","1960","41.666242","-1.041553","263.0","ZARAGOZA, SP","    517.5","","     517.5","X","       109","X","        49","X","         3","X","        1","","         2","X","         0","X","        14","X","         1","X","       155","X","        28","X","        86"," ","        24"," ","   -5.6","X,0111, ","    25"," ,X,0111, ","    58"," ,X,1214, ","  43.7"," ,X,0926, ","   36.1","X,0824,+","0.0","X,1204","","","","","","","","","-1.1","X,0209","-3.9","X,0116","-5.6","X,0111","","","","","    1717.5","5","    1717.5","X","    435.6"," ,X","      119"," ,X","     14.65","X","     19.32","X","      9.99","X","       270","X","      25.2","X"
"SPW00014010","1961","41.666242","-1.041553","263.0","ZARAGOZA, SP","    587.1","","     587.1","X","        84","X","        46","X","         3","X","        0","","         0","X","         0","X","        12","X","         0","X","       176","X","        38","X","       102"," ","        34"," ","   -6.7","X,1222, ","     0"," ,X,1231,+","     0"," ,X,1231,+"," 132.1"," ,X,0809, ","   38.9","X,0711, ","0.0","X,1218","-2.2","X,1219","-5.6","X,1220","-6.7","X,1222","","","0.0","X,0121","-2.2","X,0106","","","","","","","    1749.7","7","    1749.7","X","    554.4"," ,X","        0"," ,X","     15.47","X","     20.88","X","     10.06","X","       293","X","      24.7","X"
"SPW00014010","1962","41.666242","-1.041553","263.0","ZARAGOZA, SP","    633.7","","     633.7","X","        59","X","        31","X","         1","X","        1","","         0","X","         0","X","        33","X","         1","X","       155","X","        47","X","        93"," ","        15"," ","   -8.9","X,1225, ","    25"," ,X,1228, ","    18"," ,X,1228, ","  33.5"," ,X,0925, ","   37.8","X,0725,+","-1.1","X,1124","-2.2","X,1126","-4.4","X,1201","-7.2","X,1224","-8.9","X,1225","-0.6","X,0324","-5.0","X,0318","-5.0","X,0318","","","","","    1900.2","2","    1900.2","X","    322.6"," ,X","       18"," ,X","     14.39","X","     19.60","X","      9.19","X","       293","X","      22.1","X"
"SPW00014010","1963","41.666242","-1.041553","263.0","ZARAGOZA, SP","    396.5","","     396.5","X","        93","X","        36","X","         2","X","        7","","         2","X","         0","X","        50","X","         3","X","       156","X","        20","X","        98"," ","        26"," ","   -8.9","X,0205, ","   102"," ,X,0205, ","   119"," ,X,0204, ","  26.4"," ,X,0916, ","   37.2","X,0724,+","-1.7","X,1201","-2.2","X,1215","-5.0","X,1217","-6.7","X,1219","","","-1.1","X,0407","-6.1","X,0206","-6.1","X,0206","-8.9","X,0205","-8.9","X,0205","    2191.5","5","    2191.5","X","    333.6"," ,X","      210"," ,X","     13.41","X","     18.47","X","      8.33","X","       315","X","      22.6","X"
"SPW00014010","1964","41.666242","-1.041553","263.0","ZARAGOZA, SP","","","","","","","","","","","        0","","         0","X","","","","","","","","","","","        46"," ","        10"," ","","","     0"," ,X,1231,+","     0","T,X,1226,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0","T,X","","","","","","","       320","X","      25.2","X"
"SPW00014010","1965","41.666242","-1.041553","263.0","ZARAGOZA, SP","","","","","","","","","","","        0","","         0","X","","","","","","","","","","","","","","","","","     0"," ,X,1231,+","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,X","","","","","","","       290","X","      28.8","X"
"SPW00014010","1974","41.666242","-1.041553","263.0","ZARAGOZA, SP","","","","","        60","S","        21","S","         5","S","","","","","","","","","","","","","","","","","","","","","","","","","  39.1"," ,S,0917, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    331.2"," ,S","","","","","","","","","","","",""
