"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00466960","1979","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","",""
"USC00466960","1980","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","",""
"USC00466960","1981","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","","","         7"," ","","","","","","","","","","","",""
"USC00466960","1982","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","",""
"USC00466960","1983","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","       104","0","        73","0","         6","0","         5","0","        16","0","       159","0","        46","0","         1"," ","         3"," ","   254"," ,0,0212, ","  51.6"," ,0,0617, ","   38.3","0,0823,+","    922.9"," ,0","      597"," ,0","     17.97","0"
"USC00466960","1984","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","",""
"USC00466960","1985","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","",""
"USC00466960","1987","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","         1"," ","         2"," ","","","","","","","","","","","",""
"USC00466960","1989","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","",""
"USC00466960","1990","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","         1"," ","         1"," ","","","","","","","","","","","",""
"USC00466960","1991","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","        84","0","        59","0","         5","0","         2","0","         3","0","       196","0","        71","0","         1"," ","","","   152"," ,0,0111, ","  42.9"," ,0,1202, ","   37.8","0,0831, ","    608.0"," ,0","      279"," ,0","     21.15","0"
"USC00466960","1992","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","",""
"USC00466960","1993","38.88333","-79.2","342.9","PETERSBURG 9 SSW, WV US","","","","","","","","","","","","","","","         2"," ","         1"," ","","","","","","","","","","","",""
