"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009131","1985","-30.3081","115.0311","1.6","JURIEN BAY, AS","    719.5","","     719.5","a","        78","a","        42","a","         3","a","         0","a","         0","a","         0","a","       280","a","        38","a","    1.8","a,0619,+","  35.0"," ,a,0714, ","   44.1","a,0225, ","","","     527.4","4","     527.4","a","    483.6"," ,a","     18.98","a","     25.01","a","     12.95","a"
"ASN00009131","1986","-30.3081","115.0311","1.6","JURIEN BAY, AS","    609.0","","     609.0","a","        93","a","        50","a","         8","a","         0","a","         0","a","         0","a","       241","a","        28","a","    2.4","a,0816,+","  98.2"," ,a,0221, ","   44.6","a,0121, ","","","     664.8","8","     664.8","a","    744.3"," ,a","     18.24","a","     23.76","a","     12.72","a"
"ASN00009131","1987","-30.3081","115.0311","1.6","JURIEN BAY, AS","    643.7","","     643.7","a","        81","a","        47","a","         7","a","         0","a","         0","a","         0","a","       269","a","        31","a","    3.4","a,0802, ","  64.8"," ,a,0729, ","   41.7","a,1218, ","","","     513.7","7","     513.7","a","    601.6"," ,a","     18.77","a","     24.34","a","     13.20","a"
"ASN00009131","1988","-30.3081","115.0311","1.6","JURIEN BAY, AS","    825.6","","     825.6","a","       105","a","        56","a","         3","a","         0","a","         0","a","         0","a","       275","a","        47","a","    3.8","a,0720, ","  45.3"," ,a,0521, ","   40.7","a,0219, ","","","     429.9","9","     429.9","a","    654.0"," ,a","     19.51","a","     25.14","a","     13.88","a"
"ASN00009131","1989","-30.3081","115.0311","1.6","JURIEN BAY, AS","    783.9","","     783.9","a","        94","a","        49","a","         3","a","         0","a","         0","a","         0","a","       246","a","        40","a","    2.4","a,0709,+","  42.6"," ,a,0225, ","   40.6","a,0215,+","","","     597.1","1","     597.1","a","    510.2"," ,a","     18.73","a","     24.51","a","     12.93","a"
"ASN00009131","1990","-30.3081","115.0311","1.6","JURIEN BAY, AS","    633.0","","     633.0","a","        99","a","        52","a","         1","a","         0","a","         3","a","         0","a","       231","a","        36","a","   -1.0","a,0628,+","  77.4"," ,a,0129, ","   39.4","a,0305, ","0.0","a,0626","     716.4","4","     716.4","a","    549.6"," ,a","     18.18","a","     23.81","a","     12.54","a"
"ASN00009131","1991","-30.3081","115.0311","1.6","JURIEN BAY, AS","    730.0","","     730.0","a","       110","a","        67","a","         1","a","         0","a","         0","a","         0","a","       237","a","        46","a","    3.6","a,0813, ","  28.0"," ,a,1105, ","   45.2","a,0131, ","","","     518.3","3","     518.3","a","    544.8"," ,a","     18.90","a","     24.46","a","     13.35","a"
"ASN00009131","1992","-30.3081","115.0311","1.6","JURIEN BAY, AS","    665.9","","     665.9","a","       117","a","        68","a","         1","a","         0","a","         0","a","         0","a","       243","a","        33","a","    3.2","a,1007,+","  26.8"," ,a,0804, ","   42.2","a,0116, ","","","     575.8","8","     575.8","a","    595.4"," ,a","     18.72","a","     24.12","a","     13.33","a"
"ASN00009131","1993","-30.3081","115.0311","1.6","JURIEN BAY, AS","    606.7","","     606.7","a","        80","a","        45","a","         2","a","         0","a","         0","a","         0","a","       236","a","        40","a","    0.7","a,0717, ","  29.2"," ,a,0528, ","   40.5","a,1226, ","","","     693.5","5","     693.5","a","    421.2"," ,a","     18.09","a","     23.89","a","     12.30","a"
"ASN00009131","1994","-30.3081","115.0311","1.6","JURIEN BAY, AS","    730.2","","     730.2","a","        65","a","        37","a","         3","a","         0","a","         0","a","         0","a","       277","a","        60","a","    2.8","a,0730, ","  95.8"," ,a,0701, ","   40.5","a,0120, ","","","     450.6","6","     450.6","a","    490.3"," ,a","     19.34","a","     25.57","a","     13.11","a"
"ASN00009131","1995","-30.3081","115.0311","1.6","JURIEN BAY, AS","    894.8","","     894.8","a","        95","a","        55","a","         4","a","         0","a","         0","a","         0","a","       256","a","        48","a","    3.4","a,0615, ","  65.4"," ,a,0605, ","   40.6","a,0208, ","","","     514.7","7","     514.7","a","    670.4"," ,a","     19.21","a","     25.17","a","     13.25","a"
"ASN00009131","1996","-30.3081","115.0311","1.6","JURIEN BAY, AS","    836.1","","     836.1"," ","        99","a","        54","a","         1","a","         0","a","         0","a","         0","a","       275","a","        45","a","    4.7","a,0814, ","  30.4"," ,a,0627, ","   42.3","a,0211, ","","","","","","","    505.2"," ,a","     19.56","a","     25.20","a","     13.93","a"
"ASN00009131","1997","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        77","a","        49","a","         2","a","         0","a","         0","a","         0","a","       270","a","        41","a","    2.0","a,0715, ","  37.8"," ,a,1112, ","   44.7","a,1226, ","","","     486.4","4","     486.4","a","    521.0"," ,a","     19.23","a","     24.83","a","     13.63","a"
"ASN00009131","1998","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        94","a","        58","a","         4","a","         0","a","         0","a","","","","","","","    2.1","a,0905, ","  34.0"," ,a,0706, ","","","","","","","","","    575.6"," ,a","","","","","     13.89","a"
"ASN00009131","1999","-30.3081","115.0311","1.6","JURIEN BAY, AS","    820.7","","     820.7","a","        86","a","        55","a","         8","a","         0","a","         0","a","         0","a","       268","a","        33","a","    3.4","a,0813, "," 125.2"," ,a,0410, ","   39.9","a,0206, ","","","     451.6","6","     451.6","a","    970.8"," ,a","     19.45","a","     24.77","a","     14.13","a"
"ASN00009131","2000","-30.3081","115.0311","1.6","JURIEN BAY, AS","    883.3","","     883.3","a","        88","a","        43","a","         2","a","         0","a","         0","a","         0","a","       250","a","        45","a","    3.3","a,0821, ","  35.8"," ,a,0310, ","   39.0","a,1225,+","","","","","","","    449.9"," ,a","     19.49","a","     24.93","a","     14.05","a"
"ASN00009131","2001","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        85","a","        44","a","         3","a","","","","","         0","a","       256","a","        32","a","","","  56.2"," ,a,0530, ","   41.2","a,0130, ","","","","","","","    585.5"," ,a","","","     24.48","a","",""
"ASN00009131","2002","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    348.9"," ,a","","","","","",""
"ASN00009131","2003","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        91","a","        51","a","         1","a","         0","a","         0","a","         0","a","       247","a","        39","a","    3.0","a,0830, ","  36.6"," ,a,0811, ","   42.0","a,1299, ","","","","","","","    473.6"," ,a","     19.06","a","     24.99","a","     13.13","a"
"ASN00009131","2004","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    419.8"," ,a","","","","","",""
"ASN00009131","2005","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        92","a","        48","a","         1","a","","","","","         0","a","       237","a","        21","a","","","  29.9"," ,a,0818, ","   44.0","a,0215, ","","","","","","","    531.5"," ,a","","","     23.98","a","",""
"ASN00009131","2006","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","         0","a","         0","a","","","","","","","    3.2","a,0713, ","","","","","","","","","","","    302.6"," ,a","","","","","     12.78","a"
"ASN00009131","2007","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        89","a","        41","a","         1","a","","","","","","","","","","","","","  36.2"," ,a,1216, ","","","","","","","","","    420.3"," ,a","","","","","",""
"ASN00009131","2008","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        92","a","        52","a","         2","a","         0","a","         0","a","         0","a","       261","a","        41","a","    1.0","a,0799, ","  41.0"," ,a,0716, ","   42.0","a,0102, ","","","","","","","    631.9"," ,a","     19.02","a","     25.19","a","     12.84","a"
"ASN00009131","2009","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        79","a","        43","a","         2","a","         0","a","         0","a","         0","a","       250","a","        50","a","    1.5","a,0714, ","  33.6"," ,a,0624, ","   42.0","a,0115, ","","","","","","","    435.4"," ,a","     18.74","a","     25.50","a","     11.98","a"
"ASN00009131","2011","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        86","a","        51","a","         6","a","","","","","         0","a","       286","a","        68","a","","","  64.5"," ,a,0721, ","   42.0","a,1228, ","","","","","","","    684.7"," ,a","","","     26.55","a","",""
"ASN00009131","2012","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        87","a","        48","a","         4","a","         0","a","         0","a","         0","a","       287","a","        54","a","    0.5","a,0725, ","  37.2"," ,a,0506, ","   43.2","a,0124, ","","","","","","","    520.8"," ,a","     19.88","a","     26.23","a","     13.54","a"
"ASN00009131","2013","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    556.7"," ,a","","","","","",""
"ASN00009131","2015","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    387.4"," ,a","","","","","",""
"ASN00009131","2016","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","         0","a","         0","a","         0","a","       237","a","        37","a","    0.2","a,0802, ","","","   42.5","a,0314,+","","","","","","","    603.8"," ,a","     18.80","a","     24.59","a","     13.00","a"
"ASN00009131","2017","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    464.4"," ,a","","","","","",""
"ASN00009131","2019","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        64","a","        32","a","         2","a","         0","a","         0","a","         0","a","       285","a","        43","a","    2.6","a,0822, ","  47.6"," ,a,0705, ","   42.6","a,1213, ","","","","","","","    365.7"," ,a","     19.47","a","     25.76","a","     13.19","a"
"ASN00009131","2021","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        91","a","        56","a","         5","a","","","","","","","","","","","","","  98.0"," ,a,0207, ","","","","","","","","","    681.5"," ,a","","","","","",""
"ASN00009131","2022","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","        76","a","        42","a","         7","a","","","","","","","","","","","","","  66.2"," ,a,0816, ","","","","","","","","","    635.6"," ,a","","","","","",""
"ASN00009131","2023","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    332.7"," ,a","","","","","",""
"ASN00009131","2024","-30.3081","115.0311","1.6","JURIEN BAY, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    470.6"," ,a","","","","","",""
