"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00290992","1951","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","","","","","        28","0","        18","0","         2","0","","","         1","0","","","","","         4","0","       260","0","       127","0","","","","","","","","","    51"," ,0,1208, ","  51.3"," ,0,0822, ","   43.3","0,0708, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    223.4"," ,0","       64"," ,0","","","     26.59","0","","","",""
"USC00290992","1952","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","    950.5","","     950.5","0","        30","0","        18","0","         0","0","        0","","         0","0","         0","0","       124","0","         0","0","       258","0","       123","0","","","","","  -14.4","0,0226, ","     0","T,0,0225,+","    20"," ,0,1124, ","  22.4"," ,0,0708, ","   41.7","0,0623, ","","","-1.1","0,1007","-2.2","0,1016","-6.1","0,1110","-8.3","0,1111","-10.6","0,1119","-2.2","0,0410","-2.2","0,0410","-5.6","0,0328","-11.1","0,0323","-11.1","0,0323","    1795.3","3","    1795.3","0","    174.7"," ,0","       20"," ,0","     15.53","0","     25.79","0","      5.26","0","     40817","0"
"USC00290992","1953","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","","","","","        37","0","        25","0","         1","0","","","         1","0","","","","","         1","0","       265","0","       119","0","","","","","","","","","   178"," ,0,0223, ","  39.9"," ,0,0722, ","   42.2","0,0624, ","","","","","","","","","","","","","","","","","","","","","","","    1965.1","1","    1965.1","0","    224.7"," ,0","      178"," ,0","","","     26.46","0","","","",""
"USC00290992","1954","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","    990.4","","     990.4","0","        25","0","        12","0","         2","0","        2","","         2","0","         0","0","       121","0","         0","0","       276","0","       127","0","","","","","  -17.2","0,0102, ","    51"," ,0,1228, ","    38"," ,0,1228, ","  99.8"," ,0,1007, ","   41.7","0,0727, ","    2348.3","0","0.0","0,1017","-2.8","0,1031","-5.0","0,1105","-6.7","0,1206","-8.9","0,1209","-1.1","0,0405","-2.8","0,0328","-4.4","0,0317","-8.3","0,0315","-9.4","0,0307","","","","","    224.3"," ,0","       71"," ,0","     16.41","0","     26.89","0","      5.93","0","     45728","0"
"USC00290992","1955","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","","","","","        26","0","        19","0","         3","0","        0","","         2","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","    51"," ,0,0114, "," 104.4"," ,0,0926, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    388.4"," ,0","       87"," ,0","","","","","","","",""
"USC00290992","1956","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","    966.0","","     966.0","0","        11","0","         7","0","         0","0","","","         0","0","         1","0","       139","0","         2","0","       256","0","       146","0","","","","","  -17.8","0,0205, ","","","     5"," ,0,0209, ","  13.7"," ,0,1018, ","   40.0","0,0915,+","","","0.0","0,1027","-6.1","0,1031","-6.1","0,1031","-6.7","0,1111","-9.4","0,1126","0.0","0,0422","-2.2","0,0411","-6.7","0,0319","-6.7","0,0319","-8.9","0,0212","    1813.7","7","    1813.7","0","     79.0"," ,0","      386"," ,0","     15.65","0","     27.02","0","      4.28","0","     56806","0"
"USC00290992","1957","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","    856.4","","     856.4","0","        33","0","        21","0","         0","0","","","         1","0","         1","0","       100","0","         0","0","       249","0","       111","0","         1"," ","","","  -17.8","0,0117, ","","","    76"," ,0,1122, ","  22.6"," ,0,1012, ","   42.8","0,0629, ","","","-0.6","0,1024","-2.2","0,1108","-7.8","0,1122","-7.8","0,1122","-15.0","0,1123","-1.1","0,0414","-2.2","0,0328","-5.0","0,0307","-6.7","0,0203","-9.4","0,0121","    1709.7","7","    1709.7","0","    191.1"," ,0","       76"," ,0","     15.77","0","     25.91","0","      5.63","0","     54974","0"
"USC00290992","1958","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","   1028.8","","    1028.8","0","        55","0","        38","0","         2","0","","","         6","0","         0","0","       119","0","         0","0","       227","0","       114","0","","","","","  -16.1","0,1229, ","","","   102"," ,0,0119, ","  45.7"," ,0,0927, ","   44.4","0,0714,+","    2151.0","0","0.0","0,1023","-2.2","0,1031","-9.4","0,1119","-9.4","0,1119","-9.4","0,1119","-1.7","0,0414","-3.3","0,0320","-4.4","0,0312","-7.2","0,0212","-10.6","0,0106","    2007.1","1","    2007.1","0","    335.5"," ,0","      266"," ,0","     15.51","0","     25.17","0","      5.86","0","     39180","0"
"USC00290992","1959","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","    794.3","","     794.3","0","        39","0","        23","0","         4","0","","","         1","0","         0","0","       149","0","         1","0","       248","0","       133","0","","","","","  -15.6","0,1117, ","","","    38"," ,0,1215, ","  35.6"," ,0,0630, ","   40.6","0,0611, ","    2273.0","0","-1.1","0,1005","-2.8","0,1018","-12.2","0,1106","-12.2","0,1106","-12.2","0,1106","-4.4","0,0506","-4.4","0,0506","-4.4","0,0506","-7.2","0,0414","-8.9","0,0318","    2063.8","8","    2063.8","0","    318.9"," ,0","       38"," ,0","     14.77","0","     25.91","0","      3.63","0","     33783","0"
"USC00290992","1960","33.4594","-104.4041","1116.8","BITTER LAKES WL REFUGE, NM US","    885.6","","     885.6","0","        35","0","        27","0","         3","0","","","         5","0","         1","0","       124","0","         2","0","       244","0","       122","0","","","","","  -20.6","0,0225, ","","","   254"," ,0,1209, ","  89.7"," ,0,1017, ","   43.3","0,0618, ","","","0.0","0,1021","-2.2","0,1031","-5.6","0,1111","-7.2","0,1119","-11.1","0,1210","-1.1","0,0502","-5.0","0,0403","-5.0","0,0403","-6.7","0,0318","-8.9","0,0303","    2038.4","4","    2038.4","0","    395.9"," ,0","      470"," ,0","     15.16","0","     25.20","0","      5.12","0","     30162","0"
