"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00023738","1914","-35.39","138.4652","216.0","MYPONGA, AS","        61","a","        34","a","         1","a","","","","","","","","","","","","","  52.8"," ,a,1125, ","","","","","","","","","","","    363.6"," ,a","","","",""
"ASN00023738","1915","-35.39","138.4652","216.0","MYPONGA, AS","       102","a","        60","a","         4","a","","","","","","","","","","","","","  29.0"," ,a,0516, ","","","","","","","","","","","    680.2"," ,a","","","",""
"ASN00023738","1916","-35.39","138.4652","216.0","MYPONGA, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    980.3"," ,a","","","",""
"ASN00023738","1917","-35.39","138.4652","216.0","MYPONGA, AS","       148","a","        97","a","         6","a","","","","","","","","","","","","","  59.7"," ,a,0214, ","","","","","","","","","","","    992.2"," ,a","","","",""
"ASN00023738","1918","-35.39","138.4652","216.0","MYPONGA, AS","       113","a","        56","a","         2","a","","","","","","","","","","","","","  32.5"," ,a,0510, ","","","","","","","","","","","    568.1"," ,a","","","",""
"ASN00023738","1919","-35.39","138.4652","216.0","MYPONGA, AS","       116","a","        60","a","         3","a","","","","","","","","","","","","","  37.1"," ,a,0218, ","","","","","","","","","","","    658.8"," ,a","","","",""
"ASN00023738","1920","-35.39","138.4652","216.0","MYPONGA, AS","       134","a","        84","a","         1","a","","","","","","","","","","","","","  72.6"," ,a,0601, ","","","","","","","","","","","    809.9"," ,a","","","",""
"ASN00023738","1921","-35.39","138.4652","216.0","MYPONGA, AS","       101","a","        65","a","         7","a","","","","","","","","","","","","","  76.2"," ,a,0520, ","","","","","","","","","","","    869.8"," ,a","","","",""
"ASN00023738","1922","-35.39","138.4652","216.0","MYPONGA, AS","       114","a","        80","a","         5","a","","","","","","","","","","","","","  39.4"," ,a,0707, ","","","","","","","","","","","    886.6"," ,a","","","",""
"ASN00023738","1923","-35.39","138.4652","216.0","MYPONGA, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    896.0"," ,a","","","",""
"ASN00023738","1925","-35.39","138.4652","216.0","MYPONGA, AS","       127","a","        62","a","         0","a","","","","","","","","","","","","","  20.3"," ,a,0912, ","","","","","","","","","","","    562.8"," ,a","","","",""
