"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012959","1961","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","       100"," ","","","        18"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012959","1962","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2277.5","","    2277.5","0","        49","0","        24","0","         5","0","        0","","         0","0","         0","0","         5","0","         2","0","       325","0","       168","0","        86"," ","","","        15"," ","  -10.6","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.1"," ,0,0627, ","   39.4","0,0810,+","","","","","","","","","-1.7","0,0113","-10.6","0,0112","-10.6","0,0112","-10.6","0,0112","-10.6","0,0112","     409.9","9","     409.9","0","    345.3"," ,0","        0"," ,0","     23.41","0","     29.65","0","     17.16","0","","","","","","","",""
"USW00012959","1963","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2256.8","","    2256.8","0","        46","0","        27","0","         5","0","        0","","         0","0","         0","0","        11","0","         0","0","       310","0","       153","0","       113"," ","","","        24"," ","   -5.0","0,0124, ","     0"," ,0,1231,+","     0","T,0,0211, ","  54.9"," ,0,0913, ","   41.1","0,0409, ","-1.1","0,1223","-2.8","0,1224","","","","","-1.7","0,0214","-5.0","0,0124","-5.0","0,0124","","","","","     485.4","4","     485.4","0","    443.5"," ,0","        0","T,0","     22.92","0","     28.83","0","     17.00","0","","","","","","","",""
"USW00012959","1964","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2270.1","","    2270.1","0","        42","0","        25","0","         2","0","        0","","         0","0","         0","0","         4","0","         0","0","       315","0","       150","0","       100"," ","","","        23"," ","   -1.7","0,0117, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.8"," ,0,0511, ","   40.0","0,0428, ","0.0","0,1218","","","","","","","-1.1","0,0208","","","","","","","","","     513.0","0","     513.0","0","    325.3"," ,0","        0"," ,0","     23.33","0","     29.17","0","     17.49","0","","","","","","","",""
"USW00012959","1965","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2260.1","","    2260.1","0","        50","0","        32","0","         5","0","        0","","         0","0","         0","0","         0","0","         0","0","       323","0","       157","0","        95"," ","        20"," ","        24"," ","    0.6","0,0304,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.9"," ,0,0518, ","   40.6","0,0411, ","","","","","","","","","","","","","","","","","","","     417.0","0","     417.0","0","    579.7"," ,0","        0"," ,0","     23.67","0","     29.26","0","     18.06","0","","","","","","","",""
"USW00012959","1966","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2048.8","","    2048.8","0","        61","0","        43","0","        10","0","        0","","         0","0","         0","0","         6","0","         0","0","       303","0","       133","0","       131"," ","        35"," ","        30"," ","   -2.8","0,1213, ","     0"," ,0,1231,+","     0","T,0,1223, "," 185.4"," ,0,1015, ","   38.9","0,0927, ","-0.6","0,1212","-2.8","0,1213","","","","","-1.7","0,0130","","","","","","","","","     447.1","1","     447.1","0","    944.1"," ,0","        0","T,0","     22.42","0","     28.08","0","     16.75","0","","","","","","","",""
"USW00012959","1967","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","       120"," ","        23"," ","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     391.6","6","     391.6","0","","","","","","","","","","","","","","","","","",""
"USW00012959","1968","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2094.0","","    2094.0","0","        73","0","        41","0","         6","0","        0","","         0","0","         0","0","         2","0","         0","0","       305","0","       138","0","       124"," ","        20"," ","        42"," ","   -0.6","0,0113,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.6"," ,0,0930, ","   39.4","0,0916, ","","","","","","","","","-0.6","0,0113","","","","","","","","","","","","","    483.6"," ,0","        0"," ,0","     22.63","0","     28.01","0","     17.24","0","","","","","","","",""
"USW00012959","1969","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2256.7","","    2256.7","0","        63","0","        36","0","         3","0","        0","","         0","0","         0","0","         1","0","         0","0","       319","0","       148","0","       145"," ","        40"," ","        21"," ","   -1.7","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.4"," ,0,0830, ","   39.4","0,0817,+","","","","","","","","","-1.7","0,0105","","","","","","","","","     354.1","1","     354.1","0","    400.1"," ,0","        0"," ,0","     23.50","0","     29.07","0","     17.94","0","","","","","","","",""
"USW00012959","1970","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2009.2","","    2009.2","0","        65","0","        41","0","         9","0","        0","","         0","0","         0","0","         1","0","         0","0","       316","0","       127","0","       142"," ","        32"," ","        22"," ","   -1.7","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 108.7"," ,0,0626, ","   38.9","0,0824,+","","","","","","","","","-1.7","0,0107","","","","","","","","","     432.4","4","     432.4","0","    756.4"," ,0","        0"," ,0","     22.70","0","     28.23","0","     17.18","0","","","","","","","",""
"USW00012959","1971","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2276.8","","    2276.8","0","        74","0","        39","0","         5","0","        0","","         0","0","         0","0","         1","0","         0","0","       338","0","       133","0","       145"," ","        31"," ","        27"," ","    0.0","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,0626, ","   38.9","0,0907, ","","","","","","","","","0.0","0,0107","","","","","","","","","     271.0","0","     271.0","0","    621.7"," ,0","        0"," ,0","     23.89","0","     29.42","0","     18.36","0","","","","","","","",""
"USW00012959","1972","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2299.3","","    2299.3","0","        71","0","        41","0","         8","0","        0","","         0","0","         0","0","         0","0","         0","0","       324","0","       151","0","       144"," ","        32"," ","        32"," ","    0.6","0,0116,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.0"," ,0,0313, ","   37.8","0,0904,+","","","","","","","","","","","","","","","","","","","     216.8","8","     216.8","0","    630.2"," ,0","        0"," ,0","     23.61","0","     29.09","0","     18.13","0","","","","","","","",""
"USW00012959","1973","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2161.0","","    2161.0","0","        69","0","        48","0","        10","0","        0","","         0","0","         0","0","        10","0","         0","0","       321","0","       143","0","       169"," ","        44"," ","        25"," ","   -4.4","0,1221, ","     0"," ,0,1231,+","     0","T,0,0209, "," 224.8"," ,0,0914, ","   41.7","0,0527, ","-0.6","0,1220","-4.4","0,1221","-4.4","0,1221","","","-2.8","0,0210","-2.8","0,0210","","","","","","","     552.8","8","     552.8","0","    893.4"," ,0","        0","T,0","     23.02","0","     28.46","0","     17.58","0","","","","","","","",""
"USW00012959","1974","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2194.8","","    2194.8","0","        50","0","        20","0","         7","0","        0","","         0","0","         0","0","         0","0","         0","0","       323","0","       141","0","       119"," ","        31"," ","        24"," ","    0.6","0,1126,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 111.3"," ,0,1025, ","   41.1","0,0511, ","","","","","","","","","","","","","","","","","","","     301.7","7","     301.7","0","    596.1"," ,0","        0"," ,0","     23.32","0","     28.88","0","     17.77","0","","","","","","","",""
"USW00012959","1975","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2183.1","","    2183.1","0","        56","0","        38","0","        11","0","        0","","         0","0","         0","0","         2","0","         0","0","       325","0","       137","0","       135"," ","        30"," ","        37"," ","   -5.0","0,0113, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  85.3"," ,0,0713, ","   37.2","0,0711,+","","","","","","","","","-2.2","0,0114","-2.2","0,0114","-5.0","0,0113","","","","","     370.3","3","     370.3","0","    804.2"," ,0","        0"," ,0","     23.33","0","     28.98","0","     17.68","0","","","","","","","",""
"USW00012959","1976","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   1838.2","","    1838.2","0","        85","0","        53","0","        13","0","        0","","         0","0","         0","0","         2","0","         0","0","       307","0","       111","0","       129"," ","        22"," ","        28"," ","   -2.2","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.5"," ,0,0915, ","   37.2","0,0619,+","","","","","","","","","-2.2","0,0109","-2.2","0,0109","","","","","","","     343.4","4","     343.4","0","    908.3"," ,0","        0"," ,0","     21.98","0","     27.38","0","     16.57","0","","","","","","","",""
"USW00012959","1977","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2186.6","","    2186.6","0","        53","0","        32","0","         7","0","        0","","         0","0","         0","0","         3","0","         0","0","       314","0","       141","0","       124"," ","        28"," ","        24"," ","   -2.2","0,0110, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  82.8"," ,0,0829, ","   38.9","0,0802, ","0.0","0,1222","","","","","","","-1.7","0,0119","-2.2","0,0110","","","","","","","     650.9","9","     650.9","0","    570.8"," ,0","        0"," ,0","     23.13","0","     28.66","0","     17.59","0","","","","","","","",""
"USW00012959","1978","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2250.8","","    2250.8","0","        61","0","        33","0","         3","0","        0","","         0","0","         0","0","         1","0","         0","0","       301","0","       141","0","       141"," ","        22"," ","        17"," ","   -1.1","0,1210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  64.3"," ,0,0118, ","   38.3","0,0721,+","-1.1","0,1210","","","","","","","","","","","","","","","","","     503.1","1","     503.1","0","    439.1"," ,0","        0"," ,0","     22.97","0","     28.33","0","     17.61","0","","","","","","","",""
"USW00012959","1979","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2279.2","","    2279.2","0","        57","0","        37","0","         5","0","        0","","         0","0","         0","0","         4","0","         0","0","       308","0","       162","0","       166"," ","        18"," ","        26"," ","   -5.6","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  82.3"," ,0,0827, ","   39.4","0,0725,+","","","","","","","","","0.0","0,0115","-5.6","0,0103","-5.6","0,0103","","","","","     462.5","5","     462.5","0","    587.2"," ,0","        0"," ,0","     23.20","0","     28.99","0","     17.41","0","","","","","","","",""
"USW00012959","1980","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2491.0","","    2491.0","0","        52","0","        25","0","         4","0","        0","","         0","0","         0","0","         1","0","         0","0","       307","0","       179","0","       148"," ","        24"," ","        19"," ","   -0.6","0,0302, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 239.3"," ,0,0810, ","   41.7","0,0627, ","","","","","","","","","-0.6","0,0302","","","","","","","","","     360.1","1","     360.1","0","    596.2"," ,0","        0"," ,0","     23.97","0","     30.06","0","     17.87","0","","","","","","","",""
"USW00012959","1981","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2358.9","","    2358.9","0","        63","0","        41","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       324","0","       167","0","       160"," ","        27"," ","        34"," ","    1.1","0,0211, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.2"," ,0,0503, ","   39.4","0,0817, ","","","","","","","","","","","","","","","","","","","     435.0","0","     435.0","0","    656.3"," ,0","        0"," ,0","     23.92","0","     29.85","0","     17.99","0","","","","","","","",""
"USW00012959","1982","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2446.4","","    2446.4","0","        49","0","        28","0","         3","0","        0","","         0","0","         0","0","         5","0","         0","0","       316","0","       175","0","       141"," ","        18"," ","        23"," ","   -3.3","0,0111, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.5"," ,0,0524, ","   39.4","0,0816, ","","","","","","","","","-0.6","0,0206","-2.2","0,0114","","","","","","","     364.8","8","     364.8","0","    388.8"," ,0","        0"," ,0","     23.86","0","     29.66","0","     18.07","0","","","","","","","",""
"USW00012959","1983","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2282.0","","    2282.0","0","        78","0","        42","0","         4","0","        0","","         0","0","         0","0","         7","0","         0","0","       329","0","       164","0","       178"," ","        26"," ","        30"," ","   -7.2","0,1225, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,0225, ","   40.0","0,0626, ","0.0","0,1222","-3.3","0,1224","-7.2","0,1225","-7.2","0,1225","","","","","","","","","","","     295.2","2","     295.2","0","    584.7"," ,0","        0"," ,0","     23.55","0","     29.50","0","     17.60","0","","","","","","","",""
"USW00012959","1984","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2387.6","","    2387.6","0","        73","0","        42","0","         4","0","        0","","         0","0","         0","0","         0","0","         0","0","       329","0","       150","0","       159"," ","        24"," ","        31"," ","    0.6","0,0121,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.4"," ,0,0124, ","   41.7","0,0503,+","","","","","","","","","","","","","","","","","","","     483.9","9","     483.9","0","    537.9"," ,0","        0"," ,0","     23.92","0","     29.48","0","     18.37","0","","","","","","","",""
"USW00012959","1985","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2462.5","","    2462.5","0","        78","0","        41","0","         3","0","        0","","         0","0","         0","0","         7","0","         0","0","       305","0","       164","0","       177"," ","        22"," ","        21"," ","   -3.3","0,0121, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  98.8"," ,0,0619, ","   39.4","0,0903, ","-0.6","0,1214","","","","","","","-2.2","0,0202","-2.2","0,0202","","","","","","","     416.4","4","     416.4","0","    560.6"," ,0","        0"," ,0","     23.74","0","     29.00","0","     18.47","0","","","","","","","",""
"USW00012959","1986","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2541.0","","    2541.0","0","        86","0","        49","0","         5","0","        0","","         0","0","         0","0","         0","0","         0","0","       321","0","       167","0","       143"," ","        18"," ","        42"," ","    2.2","0,1212,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  54.6"," ,0,0528, ","   41.1","0,0726, ","","","","","","","","","","","","","","","","","","","     276.0","0","     276.0","0","    598.6"," ,0","        0"," ,0","     24.37","0","     29.89","0","     18.85","0","","","","","","","",""
"USW00012959","1987","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2314.4","","    2314.4","0","        75","0","        35","0","         6","0","        0","","         0","0","         0","0","         0","0","         0","0","       318","0","       165","0","        62"," ","         7"," ","         2"," ","    1.7","0,0123, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.0"," ,0,0928, ","   41.1","0,0815, ","","","","","","","","","","","","","","","","","","","     396.5","5","     396.5","0","    590.6"," ,0","        0"," ,0","     23.76","0","     29.68","0","     17.84","0","","","","","","","",""
"USW00012959","1988","26.17912","-98.2445","30.1","MCALLEN MILLER INTERNATIONAL AIRPORT, TX US","","","   2434.3","","    2434.3","0","        64","0","        36","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       317","0","       196","0","        32"," ","         4"," ","         2"," ","    0.6","0,0212, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 103.6"," ,0,0916, ","   42.2","0,0810, ","","","","","","","","","","","","","","","","","","","     409.6","6","     409.6","0","    449.6"," ,0","        0"," ,0","     23.90","0","     30.12","0","     17.68","0","","","","","","","",""
