"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KE000063723","1957","-0.467","39.633","147.0","GARISSA, KE","        45","Q","        31","Q","         7","Q","","","","","","","","","","","","","  54.1"," ,Q,1208, ","","","    507.5"," ,Q","","","",""
"KE000063723","1958","-0.467","39.633","147.0","GARISSA, KE","        39","Q","        19","Q","         1","Q","","","","","","","","","","","","","  62.7"," ,Q,1206, ","","","    203.9"," ,Q","","","",""
"KE000063723","1959","-0.467","39.633","147.0","GARISSA, KE","        34","Q","        16","Q","         3","Q","","","","","","","","","","","","","  47.8"," ,Q,0430, ","","","    231.1"," ,Q","","","",""
"KE000063723","1960","-0.467","39.633","147.0","GARISSA, KE","        42","Q","        29","Q","         8","Q","","","","","","","","","","","",""," 115.8"," ,Q,0328, ","","","    661.0"," ,Q","","","",""
"KE000063723","1961","-0.467","39.633","147.0","GARISSA, KE","        66","Q","        38","Q","         7","Q","","","","","","","","","","","",""," 127.0"," ,Q,1110, ","","","    757.1"," ,Q","","","",""
"KE000063723","1962","-0.467","39.633","147.0","GARISSA, KE","        59","Q","        28","Q","         5","Q","","","","","","","","","","","","","  53.3"," ,Q,1127, ","","","    350.5"," ,Q","","","",""
"KE000063723","1963","-0.467","39.633","147.0","GARISSA, KE","        62","Q","        35","Q","         3","Q","","","","","","","","","","","","","  66.8"," ,Q,0419, ","","","    446.2"," ,Q","","","",""
"KE000063723","1964","-0.467","39.633","147.0","GARISSA, KE","        52","Q","        24","Q","         3","Q","","","","","","","","","","","","","  95.2"," ,Q,1203, ","","","    329.7"," ,Q","","","",""
"KE000063723","1965","-0.467","39.633","147.0","GARISSA, KE","        58","Q","        28","Q","         1","Q","","","","","","","","","","","","","  33.0"," ,Q,1019, ","","","    307.1"," ,Q","","","",""
"KE000063723","1966","-0.467","39.633","147.0","GARISSA, KE","        40","Q","        18","Q","         2","Q","","","","","","","","","","","","","  65.8"," ,Q,1031, ","","","    272.0"," ,Q","","","",""
"KE000063723","1967","-0.467","39.633","147.0","GARISSA, KE","        57","Q","        28","Q","         7","Q","","","","","","","","","","","","","  46.9"," ,Q,1120, ","","","    490.7"," ,Q","","","",""
