"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"ASN00023363","1975","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    616.8"," ,a"
"ASN00023363","1976","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    364.5"," ,a"
"ASN00023363","1977","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    460.1"," ,a"
"ASN00023363","1978","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    587.4"," ,a"
"ASN00023363","1979","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    708.7"," ,a"
"ASN00023363","1980","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    563.6"," ,a"
"ASN00023363","1981","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    643.9"," ,a"
"ASN00023363","1982","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    335.3"," ,a"
"ASN00023363","1984","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    504.3"," ,a"
"ASN00023363","1985","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    479.3"," ,a"
"ASN00023363","1986","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    464.3"," ,a"
"ASN00023363","1987","-34.5833","138.9333","229.0","ROWLAND FLAT 4, AS","    479.7"," ,a"
