"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00332170","1978","39.76667","-83.2","278.0","DERBY, OH US","       117","6","        81","6","         9","6","        10"," ","","","  57.2"," ,6,0608, ","    965.9"," ,6"
"USC00332170","1979","39.76667","-83.2","278.0","DERBY, OH US","       132","6","        75","6","        10","6","         4"," ","",""," 116.8"," ,6,0914, ","   1101.7"," ,6"
"USC00332170","1980","39.76667","-83.2","278.0","DERBY, OH US","       113","6","        80","6","         7","6","         6"," ","        19"," ","  78.7"," ,6,0812, ","    991.5"," ,6"
"USC00332170","1981","39.76667","-83.2","278.0","DERBY, OH US","        95","6","        69","6","         8","6","         5"," ","        13"," ","  43.2"," ,6,0606, ","    901.0"," ,6"
"USC00332170","1982","39.76667","-83.2","278.0","DERBY, OH US","        96","6","        65","6","         8","6","         8"," ","        15"," ","  74.2"," ,6,0825, ","    842.4"," ,6"
"USC00332170","1983","39.76667","-83.2","278.0","DERBY, OH US","       104","6","        74","6","        12","6","         2"," ","        12"," ","  73.2"," ,6,0718, ","   1037.9"," ,6"
"USC00332170","1984","39.76667","-83.2","278.0","DERBY, OH US","       110","6","        74","6","         7","6","         2"," ","         9"," ","  37.6"," ,6,0321, ","    879.4"," ,6"
"USC00332170","1985","39.76667","-83.2","278.0","DERBY, OH US","       115","6","        69","6","        16","6","         1"," ","        21"," ","  69.1"," ,6,1111, ","   1084.5"," ,6"
"USC00332170","1986","39.76667","-83.2","278.0","DERBY, OH US","        99","6","        69","6","         7","6","         7"," ","        27"," ","  64.8"," ,6,0527, ","    869.4"," ,6"
"USC00332170","1987","39.76667","-83.2","278.0","DERBY, OH US","        95","6","        57","6","         7","6","         2"," ","         7"," ","  61.0"," ,6,0515, ","    691.0"," ,6"
"USC00332170","1988","39.76667","-83.2","278.0","DERBY, OH US","","","","","","","","","        19"," ","","","",""
