"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093225","1999","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","","","","","","","        65","W","        27","W","         1","W","","","","","","","","","","","","","","","","","","","  42.2"," ,W,0405, ","","","","","","","","","","","","","","","","","","","","","    294.2"," ,W","","","","","","","","","       350","W","","","      19.7","W"
"USW00093225","2000","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.4","W","    643.3","","     643.3","W","        91","W","        39","W","         4","W","         0","W","        23","W","         0","W","       202","W","        78","W","","","","","","","   -3.3","W,0106, ","  51.8"," ,W,0124, ","   41.7","W,0614, ","0.0","W,1111","-2.2","W,1112","","","","","-0.6","W,0109","-3.3","W,0106","","","","","","","    514.5"," ,W","     15.96","W","     23.08","W","      8.86","W","       340","W","       360","W","      17.0","W","      20.6","W"
"USW00093225","2001","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.7","W","    776.1","","     776.1","W","        79","W","        49","W","         3","W","         0","W","        16","W","         0","W","       221","W","        90","W","","","","","","","   -2.2","W,0118,+","  29.7"," ,W,1228, ","   41.7","W,0703, ","","","","","","","","","-0.6","W,0403","-2.2","W,0118","","","    1587.5","5","    1587.5","W","    547.7"," ,W","     16.67","W","     24.07","W","      9.26","W","       160","W","       150","W","      20.6","W","      25.0","W"
"USW00093225","2002","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.5","W","    670.6","","     670.6","W","        71","W","        30","W","         4","W","         0","W","        25","W","         0","W","       211","W","        86","W","","","","","","","   -3.3","W,0130,+","  53.3"," ,W,1107, ","   42.8","W,0710, ","-0.6","W,1031","","","","","","","-0.6","W,0315","-2.2","W,0204","","","    1442.3","3","    1442.3","W","    445.0"," ,W","     15.97","W","     23.67","W","      8.28","W","       150","W","       140","W","      20.6","W","      25.0","W"
"USW00093225","2003","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.4","W","    794.6","","     794.6","W","       101","W","        43","W","         2","W","         0","W","        14","W","         0","W","       190","W","        89","W","","","","","","","   -2.8","W,1123, ","  32.8"," ,W,1229, ","   40.6","W,0627, ","0.0","W,1104","-2.8","W,1123","","","","","-0.6","W,0226","-2.2","W,0209","","","    1490.7","7","    1490.7","W","    448.1"," ,W","     16.39","W","     23.49","W","      9.28","W","       140","W","       140","W","      21.0","W","      25.0","W"
"USW00093225","2004","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.6","W","    723.5","","     723.5","W","        88","W","        36","W","         4","W","         0","W","        14","W","         0","W","       210","W","        83","W","","","","","","","   -3.3","W,1204, ","  64.0"," ,W,0225, ","   40.0","W,0811, ","-1.7","W,1129","-2.2","W,1201","","","","","-0.6","W,0123","","","","","    1308.0","0","    1308.0","W","    479.0"," ,W","     16.44","W","     23.48","W","      9.40","W","       140","W","       140","W","      21.5","W","      27.3","W"
"USW00093225","2005","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.4","B","    689.7","","     689.7","B","        92","B","        50","B","         3","B","         0","B","         6","B","         0","B","       213","B","        74","B","","","","","","","   -1.7","B,1206, ","  49.0"," ,B,1231, ","   41.1","B,0716, ","-0.6","B,1127","","","","","","","-0.6","W,0113","","","","","    1546.6","6","    1546.6","B","    575.9"," ,B","     16.37","B","     23.43","B","      9.30","B","       150","B","       150","B","      17.0","B","      21.0","B"
"USW00093225","2006","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.5","W","    742.1","","     742.1","W","        91","W","        41","W","         1","W","         0","W","        23","W","         0","W","       197","W","        85","W","       144"," ","        25"," ","         3"," ","   -3.2","W,1219,+","  27.7"," ,W,0227, ","   43.9","W,0723,+","0.0","W,1124","-2.7","W,1207","","","","","0.0","W,0311","-3.2","W,0216","","","    1422.1","1","    1422.1","W","    436.3"," ,W","     16.14","W","     23.26","W","      9.02","W","       140","W","","","      23.7","W","      80.9","W"
"USW00093225","2007","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.6","W","    701.3","","     701.3","W","        51","W","        28","W","         1","W","         0","W","        39","W","         0","W","       223","W","        82","W","       120"," ","        15"," ","         4"," ","   -6.0","W,0115,+","  32.8"," ,W,1206, ","   41.7","W,0705, ","-1.0","W,1124","-2.7","W,1214","","","","","-1.0","W,0228","-2.7","W,0125","-5.5","W,0116","    1445.1","1","    1445.1","W","    266.6"," ,W","     16.28","W","     24.05","W","      8.51","W","       330","W","       260","W","      14.8","W","      17.9","W"
"USW00093225","2008","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","       3.4","W","    743.9","","     743.9","W","        69","W","        30","W","         4","W","         0","W","        16","W","         0","W","       217","W","        96","W","       126"," ","        38"," ","","","   -4.9","W,1218, ","  39.6"," ,W,1101, ","   41.7","W,0709,+","0.0","W,1205","-4.9","W,1218","-4.9","W,1218","","","0.0","W,0205","","","","","    1534.4","4","    1534.4","W","    353.8"," ,W","     16.15","W","     23.93","W","      8.37","W","       140","W","       330","W","      25.9","W","      38.5","W"
