"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00364667","1942","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","","","","","","","","","        25","6","        47","6","       131","6","         3","6","","","","","","","   368"," ,6,0303, ","","","   34.4","6,0811, ","","","     2324"," ,6","     13.95","6"
"USC00364667","1943","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       151","6","       110","6","        12","6","","","","","","","","","","","","","","","","","","","  47.0"," ,6,0813, ","","","   1296.5"," ,6","","","",""
"USC00364667","1944","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       142","6","       111","6","        18","6","","","","","","","","","","","         4"," ","","","","","","","  90.2"," ,6,0524, ","","","   1635.7"," ,6","","","",""
"USC00364667","1945","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       177","6","       149","6","        15","6","","","","","","","","","","","","","","","","","","","  68.1"," ,6,0306, ","","","   1813.8"," ,6","","","",""
"USC00364667","1946","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       147","6","       107","6","         8","6","","","        16","6","","","","","","","","","","","","","   127"," ,6,0219, ","  48.5"," ,6,0731, ","","","   1308.6"," ,6","      760"," ,6","",""
"USC00364667","1947","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       188","6","       121","6","         7","6","","","","","","","","","","","","","","","","","","","  63.0"," ,6,0607, ","","","   1482.2"," ,6","","","",""
"USC00364667","1948","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       196","0","       135","0","        18","0","","","        20","0","","","","","","","","","","","","","   218"," ,0,1219, ","  59.4"," ,0,1215, ","","","   1704.6"," ,0","     1727"," ,0","",""
"USC00364667","1949","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       188","0","       130","0","        15","0","       65","","        25","0","","","","","","","        40"," ","         7"," ","   330"," ,0,0319,+","   155"," ,0,0228, ","  47.0"," ,0,0712, ","","","   1619.1"," ,0","     1893"," ,0","",""
"USC00364667","1950","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       218","0","       141","0","        14","0","       82","","        40","0","","","","","","","        69"," ","         9"," ","   787"," ,0,1130,+","   330"," ,0,1124, ","  36.8"," ,0,0201, ","","","   1601.7"," ,0","     3132"," ,0","",""
"USC00364667","1951","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       180","0","       123","0","        11","0","       84","","        31","0","","","","","","","        70"," ","        18"," ","   406"," ,0,1219,+","   221"," ,0,1218, ","  68.1"," ,0,0613, ","","","   1495.2"," ,0","     2013"," ,0","",""
"USC00364667","1952","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       194","0","       117","0","        11","0","       80","","        24","0","","","","","","","        72"," ","        23"," ","   229"," ,0,1215, ","   191"," ,0,0301, ","  51.6"," ,0,0816, ","","","   1517.8"," ,0","     2054"," ,0","",""
"USC00364667","1953","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       169","0","       109","0","        11","0","       72","","        32","0","","","","","","","        75"," ","        25"," ","   406"," ,0,0106, ","   147"," ,0,0307, ","  50.3"," ,0,0904, ","","","   1283.8"," ,0","     2071"," ,0","",""
"USC00364667","1954","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       192","0","       140","0","        13","0","       92","","        37","0","","","","","","","        72"," ","        26"," ","   533"," ,0,1222, ","   160"," ,0,1220, "," 119.9"," ,0,1015, ","","","   1688.0"," ,0","     2597"," ,0","",""
"USC00364667","1955","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       179","0","       119","0","         8","0","       77","","        25","0","","","","","","","        65"," ","        23"," ","   533"," ,0,0215, ","   216"," ,0,0211, ","  84.3"," ,0,0813, ","","","   1378.8"," ,0","     2197"," ,0","",""
"USC00364667","1956","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       212","0","       140","0","        12","0","       96","","        43","0","","","","","","","        78"," ","        32"," ","   381"," ,0,0127,+","   208"," ,0,0316, ","  62.7"," ,0,0805, ","","","   1668.2"," ,0","     2540"," ,0","",""
"USC00364667","1957","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       166","0","       116","0","         8","0","       79","","        37","0","","","","","","","        71"," ","        14"," ","   406"," ,0,0119,+","   213"," ,0,0214, ","  54.9"," ,0,1226, ","","","   1313.3"," ,0","     2682"," ,0","",""
"USC00364667","1958","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","       187","0","       132","0","        10","0","      126","","        45","0","","","","","","","        67"," ","        22"," ","  1219"," ,0,0219, ","   234"," ,0,0320, ","  46.0"," ,0,0921, ","","","   1463.4"," ,0","     3714"," ,0","",""
"USC00364667","1959","40.1","-79.23333","772.1","KREGAR 4 SE, PA US","","","","","","","","","","","","","","","","","        10"," ","         1"," ","","","","","","","","","","","","","",""
