"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"GMW00034075","1964","49.96667","8.15","232.3","MAINZ, GM","","","","","","","","","","","        37"," ","","","","","","","","","","","","","","","",""
"GMW00034075","1965","49.96667","8.15","232.3","MAINZ, GM","","","","","","","","","        10","X","       194"," ","        25"," ","","","    86"," ,X,0302, ","","","","","","","","","      627"," ,X"
"GMW00034075","1966","49.96667","8.15","232.3","MAINZ, GM","       173","X","        77","X","         1","X","","","","","       180"," ","        30"," ","","","","","  36.6"," ,X,1024, ","    3135.3","3","    3135.3","X","    571.3"," ,X","",""
"GMW00034075","1967","49.96667","8.15","232.3","MAINZ, GM","       165","X","        65","X","         2","X","       14","","","","","","","","    76"," ,X,1219,+","","","  36.8"," ,X,0922, ","","","","","    598.8"," ,X","",""
