"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYTS","DYTS_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00480708","1964","43.78333","-107.31667","1455.1","BIG TRAILS, WY US","         5"," ","","","",""
"USC00480708","1965","43.78333","-107.31667","1455.1","BIG TRAILS, WY US","","","    4076.1","1","    4076.1","0"
