"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00028647","1899","33.95","-111.316667","758.3","TONTO, AZ US","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00028647","1900","33.95","-111.316667","758.3","TONTO, AZ US","","","","","        26","6","        22","6","         3","6","         0","6","        80","6","","","","","","","         3"," ","","","   -9.4","6,0209, ","  36.6"," ,6,0405, ","","","0.0","6,1031","-2.8","6,1214","-4.4","6,1217","","","-2.2","6,0429","-2.2","6,0429","-5.0","6,0225","-7.2","6,0218","-9.4","6,0209","    265.3"," ,6","","","","","      7.39","6"
"USC00028647","1901","33.95","-111.316667","758.3","TONTO, AZ US","","","","","        30","6","        24","6","         3","6","","","","","","","","","","","         1"," ","","","","","  35.1"," ,6,0125, ","","","","","","","","","","","","","","","","","","","","","    279.4"," ,6","","","","","",""
"USC00028647","1902","33.95","-111.316667","758.3","TONTO, AZ US","   1221.5","","    1221.5","6","        34","6","        23","6","         2","6","         0","6","        72","6","         0","6","       244","6","       132","6","         5"," ","        14"," ","   -6.7","6,1230, ","  38.1"," ,6,1212, ","   45.0","6,0624, ","0.0","6,1114","-2.2","6,1128","-4.4","6,1221","-6.7","6,1230","-0.6","6,0326","-2.2","6,0220","-4.4","6,0206","","","","","    311.5"," ,6","     17.80","6","     27.21","6","      8.39","6"
"USC00028647","1903","33.95","-111.316667","758.3","TONTO, AZ US","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00028647","1904","33.95","-111.316667","758.3","TONTO, AZ US","","","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
