"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"USC00410977","1918","34.51667","-102.88333","1250.9","BOVINA, TX US","        0","","","","     0"," ,0,1231,+"
"USC00410977","1920","34.51667","-102.88333","1250.9","BOVINA, TX US","","","         2"," ","",""
