"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00094388","1940","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1170.5","","    1170.5","6","       106","6","        73","6","        12","6","","","","","         0","6","        49","6","         1","6","       257","6","        83","6","  -11.1","6,0128, ","","","","","  76.2"," ,6,0218, ","   37.2","6,0725, ","","","-1.1","6,1109","-3.3","6,1115","-7.2","6,1116","-7.2","6,1116","","","-0.6","6,0413","-3.3","6,0226","-4.4","6,0204","-11.1","6,0128","-11.1","6,0128","","","","","   1221.2"," ,6","","","     18.18","6","     25.01","6","     11.34","6","",""
"USC00094388","1941","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1441.6","","    1441.6","6","       112","6","        69","6","        12","6","","","","","         0","6","        43","6","         0","6","       262","6","       110","6","   -5.0","6,0302,+","","","",""," 117.3"," ,6,1008, ","   38.3","6,0610,+","","","0.0","6,1112","-3.3","6,1126","","","","","","","0.0","6,0330","-2.2","6,0315","-5.0","6,0302","","","","","    1048.9","9","    1048.9","6","   1125.7"," ,6","","","     19.21","6","     25.95","6","     12.48","6","",""
"USC00094388","1942","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1213.5","","    1213.5","6","       118","6","        77","6","        20","6","","","","","         0","6","        54","6","         0","6","       273","6","        91","6","  -10.6","6,0111, ","","","",""," 102.6"," ,6,0102, ","   38.3","6,0721, ","","","-1.7","6,1112","-2.8","6,1128","-5.0","6,1217","","","","","-2.2","6,0304","-2.2","6,0304","-4.4","6,0203","-7.2","6,0112","-10.6","6,0111","    1106.1","1","    1106.1","6","   1561.9"," ,6","","","     18.46","6","     25.68","6","     11.24","6","",""
"USC00094388","1943","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1367.3","","    1367.3","6","","","","","","","","","","","         0","6","        63","6","         0","6","       276","6","       114","6","   -8.9","6,1218, ","","","","","","","   40.0","6,0723, ","","","-1.1","6,1017","-2.2","6,1111","-6.1","6,1217","-8.9","6,1218","-8.9","6,1218","0.0","6,0415","-2.8","6,0308","-7.8","6,0304","-7.8","6,0304","","","     989.5","5","     989.5","6","","","","","     18.84","6","     26.35","6","     11.34","6","",""
"USC00094388","1944","31.2","-84.45","39.9","HOGGARDS MILL, GA US","","","","","       108","6","        77","6","        19","6","","","","","","","","","         0","6","       281","6","        94","6","","","","","",""," 101.6"," ,6,0307, ","   39.4","6,0624,+","","","","","","","","","","","","","","","","","","","","","","","","","","","   1563.6"," ,6","","","","","     26.25","6","","","",""
"USC00094388","1945","31.2","-84.45","39.9","HOGGARDS MILL, GA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     896.9","9","     896.9","6","","","","","","","","","","","",""
"USC00094388","1949","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1423.7","","    1423.7","0","       131","0","        82","0","        15","0","        0","","         0","0","         0","0","        24","0","         0","0","       294","0","       100","0","   -4.4","0,1206,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.0"," ,0,0430, ","   37.8","0,0729, ","    1331.0","0","0.0","0,1104","-2.2","0,1107","-4.4","0,1206","","","","","0.0","0,0319","-4.4","0,0102","-4.4","0,0102","","","","","     644.8","8","     644.8","0","   1127.6"," ,0","        0"," ,0","     20.19","0","     26.86","0","     13.53","0","     37862","0"
"USC00094388","1950","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1323.6","","    1323.6","0","       117","0","        75","0","        16","0","","","","","         0","0","        36","0","         0","0","       285","0","       100","0","   -8.3","0,1219,+","","","","","  61.2"," ,0,0901, ","   39.4","0,0627, ","","","-2.2","0,1106","-2.2","0,1106","-8.3","0,1125","-8.3","0,1125","","","0.0","0,0416","-2.2","0,0331","","","","","","","     760.8","8","     760.8","0","   1175.3"," ,0","","","     19.30","0","     26.44","0","     12.15","0","",""
"USC00094388","1951","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1454.8","","    1454.8","0","       117","0","        74","0","         8","0","        0","","         0","0","         0","0","        40","0","         0","0","       284","0","       121","0","  -10.0","0,0203, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  64.3"," ,0,1115, ","   40.0","0,0715, ","","","0.0","0,1104","-2.2","0,1108","-6.1","0,1216","","","","","-2.2","0,0316","-2.2","0,0316","-4.4","0,0209","-6.7","0,0205","-8.9","0,0204","    1129.9","9","    1129.9","0","   1037.6"," ,0","        0"," ,0","     19.50","0","     26.84","0","     12.17","0","     39808","0"
"USC00094388","1952","31.2","-84.45","39.9","HOGGARDS MILL, GA US","   1366.1","","    1366.1","0","       100","0","        71","0","        15","0","        0","","         0","0","         0","0","        32","0","         0","0","       279","0","       103","0","   -5.0","0,1217, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  55.4"," ,0,0922, ","   40.6","0,0627, ","","","0.0","0,1029","-3.9","0,1030","-5.0","0,1217","","","","","0.0","0,0407","-2.2","0,0317","","","","","","","     892.5","5","     892.5","0","   1084.4"," ,0","        0"," ,0","     19.39","0","     26.46","0","     12.31","0","",""
