"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023066","1900","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    672.2","","     672.2","0","        49","0","        12","0","         0","0","        2","","         1","0","         0","0","       131","0","         2","0","       172","0","        69","0","","","","","","","  -16.1","0,1231, ","    25"," ,0,0102,+","    25"," ,0,1120, ","  11.7"," ,0,0924, ","   40.0","0,0628, ","-1.1","0,1021","-3.3","0,1031","-5.6","0,1101","-7.2","0,1114","-9.4","0,1214","0.0","0,0417","-5.0","0,0329","-5.0","0,0329","-9.4","0,0217","-9.4","0,0217","","","","","     91.2"," ,0","","","       25"," ,0","     12.54","0","     20.08","0","      4.99","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1901","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    717.9","","     717.9","0","        70","0","        26","0","         0","0","        7","","         6","0","         2","0","       144","0","         9","0","       174","0","        66","0","","","","","","","  -17.8","0,1213,+","    51"," ,0,1215,+","    81"," ,0,0404, ","  13.0"," ,0,0404, ","   39.4","0,0718, ","-0.6","0,1102","-5.0","0,1104","-5.0","0,1104","-7.2","0,1122","-9.4","0,1209","0.0","0,0418","-3.9","0,0417","-8.9","0,0405","-8.9","0,0405","-8.9","0,0405","    2974.4","4","    2974.4","0","    207.9"," ,0","","","      478"," ,0","     12.26","0","     19.77","0","      4.75","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1902","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    594.6","","     594.6","0","        50","0","        21","0","         0","0","       15","","         7","0","         5","0","       137","0","        28","0","       174","0","        67","0","","","","","","","  -20.0","0,0203, ","    51"," ,0,1221,+","    56"," ,0,1213, ","  15.7"," ,0,1112, ","   39.4","0,0802, ","0.0","0,1003","-4.4","0,1103","-4.4","0,1103","-7.2","0,1127","-8.9","0,1203","0.0","0,0415","-5.6","0,0331","-5.6","0,0331","-8.3","0,0330","-17.2","0,0205","    2881.5","5","    2881.5","0","    155.5"," ,0","","","      343"," ,0","     11.37","0","     18.89","0","      3.86","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1903","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3528.3","3","    3528.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1904","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    544.6","","     544.6","0","        62","0","        25","0","         0","0","        9","","         5","0","         2","0","       133","0","        15","0","       165","0","        41","0","","","","","","","  -18.3","0,1229,+","   102"," ,0,0208, ","   119"," ,0,0208, ","  11.7"," ,0,0524, ","   36.7","0,0719, ","-1.7","0,1018","-2.8","0,1104","-4.4","0,1109","-6.7","0,1111","-8.9","0,1113","0.0","0,0424","-7.8","0,0326","-7.8","0,0326","-7.8","0,0326","-10.0","0,0212","","","","","    169.3"," ,0","","","      365"," ,0","     11.61","0","     18.96","0","      4.27","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1905","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    613.5","","     613.5","0","        73","0","        30","0","         1","0","       29","","         8","0","         8","0","       132","0","        33","0","       153","0","        60","0","","","","","","","  -25.6","0,0214, ","   229"," ,0,0211, ","   188"," ,0,0211, ","  25.7"," ,0,0503, ","   36.7","0,0822, ","-1.1","0,1009","-4.4","0,1019","-4.4","0,1019","-6.7","0,1126","-12.2","0,1202","0.0","0,0503","-2.8","0,0328","-5.0","0,0221","-10.6","0,0218","-10.6","0,0218","    3168.1","1","    3168.1","0","    260.6"," ,0","","","      913"," ,0","     10.99","0","     17.69","0","      4.30","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1906","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    486.3","","     486.3","0","        79","0","        31","0","         1","0","       13","","         6","0","         0","0","       122","0","        12","0","       162","0","        38","0","","","","","","","  -17.2","0,0109, ","    51"," ,0,1122,+","    97"," ,0,1122, ","  46.5"," ,0,0524, ","   37.2","0,0722, ","-0.6","0,1018","-2.8","0,1023","-6.7","0,1118","-6.7","0,1118","-10.6","0,1120","-0.6","0,0403","-4.4","0,0320","-4.4","0,0320","-10.0","0,0319","-10.0","0,0319","    3143.1","1","    3143.1","0","    295.4"," ,0","","","      457"," ,0","     11.51","0","     18.37","0","      4.64","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1907","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    474.7","","     474.7","0","        75","0","        27","0","         1","0","        3","","         4","0","         0","0","       111","0","         5","0","       165","0","        35","0","","","","","","","  -15.6","0,1230, ","    51"," ,0,1229,+","   107"," ,0,0228, ","  29.2"," ,0,1006, ","   36.7","0,0707,+","-2.2","0,1106","-2.2","0,1106","-5.6","0,1112","-6.7","0,1113","-9.4","0,1204","-1.7","0,0514","-2.8","0,0329","-4.4","0,0228","-6.7","0,0123","-11.1","0,0103","    2676.8","8","    2676.8","0","    236.8"," ,0","","","      270"," ,0","     12.30","0","     19.10","0","      5.49","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1908","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    524.0","","     524.0","0","        64","0","        33","0","         2","0","       32","","        11","0","         7","0","       151","0","        19","0","       160","0","        48","0","","","","","","","  -21.1","0,1220, ","   152"," ,0,1215, ","   140"," ,0,1215, ","  34.3"," ,0,1018, ","   36.7","0,0804, ","-2.2","0,0927","-2.2","0,0927","-4.4","0,1111","-6.7","0,1117","-8.9","0,1214","0.0","0,0505","-2.8","0,0402","-5.0","0,0321","-8.9","0,0219","-8.9","0,0219","    3030.3","3","    3030.3","0","    260.5"," ,0","","","      564"," ,0","     10.54","0","     17.50","0","      3.57","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1909","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    591.4","","     591.4","0","        71","0","        24","0","         0","0","       17","","         2","0","         7","0","       142","0","        33","0","       163","0","        47","0","","","","","","","  -26.1","0,1225, ","   152"," ,0,1225,+","   152"," ,0,1223, ","  13.7"," ,0,0122, ","   37.8","0,0702, ","-1.1","0,1009","-2.2","0,1031","-6.7","0,1116","-6.7","0,1116","-9.4","0,1206","-1.7","0,0501","-2.2","0,0430","-6.1","0,0408","-7.2","0,0406","-8.9","0,0206","    3297.6","6","    3297.6","0","    177.8"," ,0","","","      353"," ,0","     10.90","0","     17.58","0","      4.23","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1910","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    750.6","","     750.6","0","        59","0","        22","0","         0","0","       26","","         6","0","         7","0","       123","0","        23","0","       181","0","        71","0","","","","","","","  -23.3","0,0108,+","   102"," ,0,1231,+","   102"," ,0,0103, ","  15.5"," ,0,0727, ","   38.3","0,0722, ","-1.7","0,1020","-2.8","0,1029","-5.6","0,1205","-6.7","0,1218","-13.9","0,1222","-0.6","0,0417","-3.3","0,0416","-6.7","0,0222","-6.7","0,0222","-9.4","0,0218","    3186.7","7","    3186.7","0","    193.8"," ,0","","","      444"," ,0","     12.39","0","     19.48","0","      5.31","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1911","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    553.7","","     553.7","0","        82","0","        27","0","         1","0","       17","","         7","0","         8","0","       119","0","        18","0","       162","0","        37","0","","","","","","","  -22.2","0,0104, ","   102"," ,0,0107,+","    91"," ,0,0228, ","  26.2"," ,0,1005, ","   36.1","0,0817, ","-1.1","0,1019","-5.0","0,1021","-5.0","0,1021","-9.4","0,1111","-9.4","0,1111","-1.1","0,0417","-2.8","0,0415","-5.0","0,0413","-16.7","0,0109","-16.7","0,0109","    2748.6","6","    2748.6","0","    215.0"," ,0","","","      492"," ,0","     11.46","0","     18.12","0","      4.79","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00023066","1912","39.13437","-108.54081","1470.4","GRAND JUNCTION WALKER FIELD, CO US","","","    469.3","","     469.3","0","        81","0","        25","0","         1","0","       16","","         4","0","         6","0","       147","0","        30","0","       142","0","        35","0","","","","","","","  -22.2","0,0103, ","    76"," ,0,0108, ","    81"," ,0,0108, ","  28.4"," ,0,0608, ","   36.1","0,0826, ","0.0","0,1006","-3.3","0,1101","-5.6","0,1119","-7.2","0,1126","-8.9","0,1201","-0.6","0,0423","-2.8","0,0414","-6.1","0,0229","-6.7","0,0228","-8.9","0,0203","    3441.5","5","    3441.5","0","    230.0"," ,0","","","      343"," ,0","      9.94","0","     16.74","0","      3.13","0","","","","","","","","","","","","","","","","","","","","","","","",""
