"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00399136","1980","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","","","","","","","","","        10"," ","","","",""
"USC00399136","1981","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","","","","","","","","","         3"," ","","","",""
"USC00399136","1982","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","","","","","","","         3"," ","         5"," ","","","",""
"USC00399136","1983","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","        64","0","        42","0","         4","0","","","","","  78.7"," ,0,0715, ","    646.7"," ,0"
"USC00399136","1984","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","        36","0","        34","0","         3","0","","","","","  34.3"," ,0,0701, ","    460.1"," ,0"
"USC00399136","1985","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","        51","0","        42","0","         7","0","","","","","  44.5"," ,0,0305, ","    552.4"," ,0"
"USC00399136","1986","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","        44","0","        38","0","        11","0","         9"," ","        17"," ","  57.7"," ,0,0509, ","    718.8"," ,0"
"USC00399136","1987","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","","","","","","","        12"," ","        11"," ","","","",""
"USC00399136","1988","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","","","","","","","","","         2"," ","","","",""
"USC00399136","1989","45.65611","-98.49667","404.8","WESTPORT 1 N, SD US","","","","","","","         1"," ","         5"," ","","","",""
