"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00253785","1924","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        63","6","        34","6","         1","6","        11","6","","","    64"," ,6,0303, ","  29.2"," ,6,0910, ","    274.4"," ,6","      598"," ,6"
"USC00253785","1925","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","","","","","","","        10","6","","","   229"," ,6,1214, ","","","","","      619"," ,6"
"USC00253785","1926","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        55","6","        43","6","         0","6","        13","6","","","   102"," ,6,0407, ","  19.1"," ,6,0615, ","    298.5"," ,6","      602"," ,6"
"USC00253785","1929","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        79","6","        40","6","         2","6","        10","6","","","   102"," ,6,1030, ","  42.7"," ,6,0602, ","    379.7"," ,6","      653"," ,6"
"USC00253785","1930","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","","","","","","","         7","6","","","   102"," ,6,0116, ","","","","","      388"," ,6"
"USC00253785","1931","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        35","6","        26","6","         0","6","         8","6","","","   203"," ,6,1230, ","  20.6"," ,6,1230, ","    208.4"," ,6","      571"," ,6"
"USC00253785","1932","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        40","6","        33","6","         2","6","        10","6","","","   102"," ,6,0428,+","  35.1"," ,6,0423, ","    299.7"," ,6","      616"," ,6"
"USC00253785","1934","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        32","6","        28","6","         1","6","","","","","","","  29.2"," ,6,0614, ","    267.3"," ,6","",""
"USC00253785","1935","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        48","6","        34","6","         2","6","","","","","","","  29.2"," ,6,0424, ","    331.9"," ,6","",""
"USC00253785","1936","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        44","6","        30","6","         1","6","","","","","","","  25.4"," ,6,0604, ","    297.7"," ,6","",""
"USC00253785","1938","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        38","6","        33","6","         2","6","","","","","","","  36.6"," ,6,0619, ","    362.5"," ,6","",""
"USC00253785","1945","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        63","6","        38","6","         2","6","","","","","","","  34.0"," ,6,0413, ","    409.9"," ,6","",""
"USC00253785","1947","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        43","6","        34","6","         3","6","","","","","","","  57.2"," ,6,0621, ","    372.8"," ,6","",""
"USC00253785","1948","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","        39","0","        32","0","         2","0","","","","","","","  43.2"," ,0,0713, ","    323.6"," ,0","",""
"USC00253785","1949","42.08333","-104.03333","1281.1","HENRY 6 N, NE US","","","","","","","","","         5"," ","","","","","","","",""
