"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"DRW00011650","1965","18.5","-69.75","35.1","SAN ISIDRO, DR","        29"," ","        69"," ","","","",""
"DRW00011650","1966","18.5","-69.75","35.1","SAN ISIDRO, DR","        35"," ","        43"," ","       0.0","0","       0.0","X"
