"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00518805","1915","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2135.0","","    2135.0","6","        74","6","        25","6","         5","6","","","","","         0","6","         0","6","         0","6","       365","6","        38","6","","","   10.0","6,0126, ","","","","","  83.3"," ,6,1111, ","   33.3","6,0824, ","","","","","","","    483.0"," ,6","","","     24.16","6","     28.85","6","     19.47","6","",""
"USC00518805","1916","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2023.7","","    2023.7","6","","","","","","","","","","","         0","6","         0","6","         0","6","       365","6","         1","6","","","   11.7","6,0217, ","","","","","","","   32.2","6,0806, ","","","       0.3","3","       0.3","6","","","","","     23.86","6","     28.43","6","     19.29","6","",""
"USC00518805","1917","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1979.5","","    1979.5","6","        89","6","        51","6","         7","6","","","","","         0","6","         0","6","         0","6","       364","6","        14","6","","","   11.1","6,0131,+","","","",""," 138.4"," ,6,0320, ","   32.8","6,0904,+","","","       2.7","7","       2.7","6","    992.3"," ,6","","","     23.74","6","     28.63","6","     18.85","6","",""
"USC00518805","1918","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2063.9","","    2063.9","6","        71","6","        38","6","        11","6","","","","","         0","6","         0","6","         0","6","       363","6","        27","6","","","   12.2","6,0121, ","","","","","  77.2"," ,6,0419, ","   33.3","6,0807, ","","","       0.9","9","       0.9","6","    788.6"," ,6","","","     23.99","6","     28.60","6","     19.37","6","",""
"USC00518805","1919","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2125.1","","    2125.1","6","        55","6","        18","6","         2","6","","","","","         0","6","         0","6","         0","6","       365","6","        18","6","","","   11.1","6,0105, ","","","","","  40.9"," ,6,1006, ","   33.3","6,0808, ","","","       1.7","7","       1.7","6","    183.3"," ,6","","","     24.14","6","     29.26","6","     19.02","6","",""
"USC00518805","1920","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2069.9","","    2069.9","6","        81","6","        26","6","         4","6","","","","","         0","6","         0","6","         0","6","       366","6","         0","6","","","   13.3","6,0124,+","","","",""," 210.3"," ,6,1223, ","   31.7","6,0919,+","","","       0.0","0","       0.0","6","    519.5"," ,6","","","     24.03","6","     28.77","6","     19.29","6","",""
"USC00518805","1921","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1997.1","","    1997.1","6","","","","","","","","","","","         0","6","         0","6","         0","6","       362","6","        10","6","","","   12.2","6,0307, ","","","","","","","   32.8","6,0605,+","","","       0.2","2","       0.2","6","","","","","     23.79","6","     28.70","6","     18.88","6","",""
"USC00518805","1922","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   2045.7","","    2045.7","6","","","","","","","","","","","         0","6","         0","6","         0","6","       365","6","        17","6","","","   12.2","6,1122,+","","","","","","","   32.8","6,0822,+","","","       0.0","0","       0.0","6","","","","","     23.93","6","     29.04","6","     18.81","6","",""
"USC00518805","1923","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1955.0","","    1955.0","6","","","","","","","","","","","         0","6","         0","6","         0","6","       365","6","        11","6","","","   10.6","6,0214, ","","","","","","","   33.3","6,1006, ","","","       2.5","5","       2.5","6","","","","","     23.66","6","     28.35","6","     18.97","6","",""
"USC00518805","1924","21.3","-158.1","3.0","U S MAGNETIC OBSERVA, HI US","   1840.1","","    1840.1","6","","","","","","","","","","","         0","6","         0","6","         0","6","       364","6","         1","6","","","   10.6","6,0124,+","","","","","","","   32.2","6,0912, ","","","       1.9","9","       1.9","6","","","","","     23.39","6","     28.22","6","     18.55","6","",""
